sample,universe,target,horizon,outcome,n,net_breadth_beta,conflict_beta,conflict_nw_t
TRAIN_2017_2022,K200,FLOW,5,top,291,-0.001408015111765425,0.00020466648722267485,0.058458517553468946
TRAIN_2017_2022,K200,FLOW,5,spread,291,-0.0009945848296005568,-0.0015799629788602965,-0.5486660309754133
TRAIN_2017_2022,K200,FLOW,20,top,291,-0.00032504806441015265,0.006838431280239716,0.7045307071285548
TRAIN_2017_2022,K200,FLOW,20,spread,291,0.009927994245097894,-0.007045372074347267,-1.3593968817161282
TRAIN_2017_2022,K200,MOMENTUM,5,top,291,0.002836115761451305,0.0041126661973920784,0.9458994096169092
TRAIN_2017_2022,K200,MOMENTUM,5,spread,291,0.002560627757191987,-0.0019984954062970957,-0.541356313775558
TRAIN_2017_2022,K200,MOMENTUM,20,top,291,0.012259299492227461,0.002795745669867892,0.26010814896436796
TRAIN_2017_2022,K200,MOMENTUM,20,spread,291,0.01798567003867149,0.0017057099978922549,0.225908673951232
TRAIN_2017_2022,K200,REVISION,5,top,291,-0.00330840160378718,-0.00020519420405036153,-0.052397830912226474
TRAIN_2017_2022,K200,REVISION,5,spread,291,-0.00018738226352800426,-0.0011592850917987083,-0.4488150715533468
TRAIN_2017_2022,K200,REVISION,20,top,291,-0.005890182911158303,-0.0007287523838790729,-0.06672271033097944
TRAIN_2017_2022,K200,REVISION,20,spread,291,0.0040763324671106785,-0.00543047949489683,-0.9243722070624553
TRAIN_2017_2022,K200,VALUE,5,top,291,0.002421670750427958,0.007425772273772793,1.8541227765007218
TRAIN_2017_2022,K200,VALUE,5,spread,291,0.005806437458582296,0.006965006350895879,1.2796089166611921
TRAIN_2017_2022,K200,VALUE,20,top,291,-0.0021837413758016367,0.00965642295343833,0.7467836712150581
TRAIN_2017_2022,K200,VALUE,20,spread,291,0.014859135144469687,0.005338468353253407,0.4450981776606244
TRAIN_2017_2022,KOSDAQ,FLOW,5,top,291,-0.005182309906963439,-0.005342812447523291,-1.035403036535875
TRAIN_2017_2022,KOSDAQ,FLOW,5,spread,291,-0.00016879768093219013,-0.0009740903087265807,-0.3599241563106605
TRAIN_2017_2022,KOSDAQ,FLOW,20,top,291,-0.027364022598336677,-0.028349944388628086,-2.377584685656756
TRAIN_2017_2022,KOSDAQ,FLOW,20,spread,291,0.0040097421967219896,-0.0023670537531008096,-0.4320619859975162
TRAIN_2017_2022,KOSDAQ,MOMENTUM,5,top,291,-0.002263815987654247,-0.005774386377268056,-0.8118115785097565
TRAIN_2017_2022,KOSDAQ,MOMENTUM,5,spread,291,-0.0020056540415707355,0.0030731340382947154,0.5602011361819105
TRAIN_2017_2022,KOSDAQ,MOMENTUM,20,top,291,-0.017187963840236544,-0.010215187848386818,-0.6975388091510512
TRAIN_2017_2022,KOSDAQ,MOMENTUM,20,spread,291,0.006617468612760085,0.02367973660246802,2.175625347830299
TRAIN_2017_2022,KOSDAQ,REVISION,5,top,291,-0.00274040375100574,-0.0022453703946989857,-0.45742553593845847
TRAIN_2017_2022,KOSDAQ,REVISION,5,spread,291,0.0006335547381056155,0.0031547172767904066,0.8967912132031299
TRAIN_2017_2022,KOSDAQ,REVISION,20,top,291,-0.010275261540696806,-0.011966124803617433,-0.8861462609357639
TRAIN_2017_2022,KOSDAQ,REVISION,20,spread,291,0.008416628096536616,-0.005681977686945632,-0.5700864358084128
TRAIN_2017_2022,KOSDAQ,VALUE,5,top,291,-0.00436584284520147,0.003392742292992849,0.5766371728790135
TRAIN_2017_2022,KOSDAQ,VALUE,5,spread,291,-0.0020325725693139405,0.006058468153300361,1.6515714280124443
TRAIN_2017_2022,KOSDAQ,VALUE,20,top,291,-0.009816376191255647,0.013231456688008436,0.8797631127205976
TRAIN_2017_2022,KOSDAQ,VALUE,20,spread,291,0.00925500307275493,-0.002827548597934793,-0.2889507125468691
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,5,top,291,-0.0026171358719465315,-0.00150548797567782,-0.31484985126452597
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,5,spread,291,0.002220111566405534,-0.00011973841654919356,-0.06452077769645223
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,20,top,291,-0.021872087909927354,0.005407855577051759,0.5298874780298619
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,20,spread,291,0.0034402745111432997,-0.005868533266050709,-1.3996185721066425
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,5,top,291,0.0013097022982187037,-0.0034237196408098977,-0.5498385810399202
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,5,spread,291,-0.0021302716076840606,-0.004461141166043525,-0.822241357302595
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,20,top,291,-0.01859277373381776,-0.002226219795057706,-0.16949969556855954
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,20,spread,291,-0.0034559836373313363,-0.00837812501985969,-0.7620424430075038
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,5,top,291,0.00699269047791717,0.005176579284286926,1.2459961301980234
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,5,spread,291,0.0013589506837152234,0.00012079076246672025,0.055158188823995334
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,20,top,291,-0.004692603232563505,0.013108432281874326,1.3065090826794339
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,20,spread,291,0.00665803105269471,-0.0015693869778528012,-0.22356949885445676
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,5,top,291,0.005844898873132283,-0.0025370107509105734,-0.5421564322717513
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,5,spread,291,0.0027954493842507577,-0.002600558836876563,-0.5939969776385755
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,20,top,291,0.003104133668066512,-0.01586651972042832,-1.1690819790995295
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,20,spread,291,0.024881792523610488,-0.013685841899722207,-1.325647217132735
