metric,n_pairs,train_median_hl,post_median_hl,train_positive_share,post_positive_share,same_positive_share,sign_agreement_share
FH_A_HEALTHY_BREADTH,24,0.00027548391134660005,0.0074239251637005,0.5,0.6666666666666666,0.2916666666666667,0.4166666666666667
FH_B_NET_BREADTH,24,-0.00079166531793205,0.00111450720806945,0.4583333333333333,0.5833333333333334,0.20833333333333334,0.375
FH_C_CONTINUOUS,24,-0.003687269610372,-0.0064101323383094,0.375,0.3333333333333333,0.125,0.5416666666666666
