sample,universe,target,horizon,outcome,metric,n,spearman
TRAIN_2017_2022,K200,MOMENTUM,20,top,FH_C_CONTINUOUS,291,0.06182060784323275
TRAIN_2017_2022,K200,MOMENTUM,20,spread,FH_A_HEALTHY_BREADTH,291,0.14396016806529174
TRAIN_2017_2022,K200,MOMENTUM,20,spread,FH_B_NET_BREADTH,291,0.14271298118760942
TRAIN_2017_2022,K200,MOMENTUM,20,spread,FH_C_CONTINUOUS,291,0.1734456948901626
TRAIN_2017_2022,K200,REVISION,5,top,FH_A_HEALTHY_BREADTH,291,-0.01827672464351652
TRAIN_2017_2022,K200,REVISION,5,top,FH_B_NET_BREADTH,291,-0.045024048565383355
TRAIN_2017_2022,K200,REVISION,5,top,FH_C_CONTINUOUS,291,-0.0037881849923788284
TRAIN_2017_2022,K200,REVISION,5,spread,FH_A_HEALTHY_BREADTH,291,0.03048775781205614
TRAIN_2017_2022,K200,REVISION,5,spread,FH_B_NET_BREADTH,291,-0.021387855819798463
TRAIN_2017_2022,K200,REVISION,5,spread,FH_C_CONTINUOUS,291,0.07482481044465764
TRAIN_2017_2022,K200,REVISION,20,top,FH_A_HEALTHY_BREADTH,291,0.014674734450276878
TRAIN_2017_2022,K200,REVISION,20,top,FH_B_NET_BREADTH,291,-0.024877146354107777
TRAIN_2017_2022,K200,REVISION,20,top,FH_C_CONTINUOUS,291,0.00765964285192526
TRAIN_2017_2022,K200,REVISION,20,spread,FH_A_HEALTHY_BREADTH,291,0.061602351933393966
TRAIN_2017_2022,K200,REVISION,20,spread,FH_B_NET_BREADTH,291,0.06673513306523428
TRAIN_2017_2022,K200,REVISION,20,spread,FH_C_CONTINUOUS,291,0.12201471640962461
TRAIN_2017_2022,K200,VALUE,5,top,FH_A_HEALTHY_BREADTH,291,0.07371857437895284
TRAIN_2017_2022,K200,VALUE,5,top,FH_B_NET_BREADTH,291,0.01644287924938097
TRAIN_2017_2022,K200,VALUE,5,top,FH_C_CONTINUOUS,291,0.05163502135389021
TRAIN_2017_2022,K200,VALUE,5,spread,FH_A_HEALTHY_BREADTH,291,0.15319195922168002
TRAIN_2017_2022,K200,VALUE,5,spread,FH_B_NET_BREADTH,291,0.12596333182961372
TRAIN_2017_2022,K200,VALUE,5,spread,FH_C_CONTINUOUS,291,0.0857467043910611
TRAIN_2017_2022,K200,VALUE,20,top,FH_A_HEALTHY_BREADTH,291,0.004081852921632672
TRAIN_2017_2022,K200,VALUE,20,top,FH_B_NET_BREADTH,291,-0.029952453830057173
TRAIN_2017_2022,K200,VALUE,20,top,FH_C_CONTINUOUS,291,0.004019498512288835
TRAIN_2017_2022,K200,VALUE,20,spread,FH_A_HEALTHY_BREADTH,291,0.07025222814912767
TRAIN_2017_2022,K200,VALUE,20,spread,FH_B_NET_BREADTH,291,0.09076997315309271
TRAIN_2017_2022,K200,VALUE,20,spread,FH_C_CONTINUOUS,291,0.061777753970070466
TRAIN_2017_2022,KOSDAQ,FLOW,5,top,FH_A_HEALTHY_BREADTH,291,-0.0530329241227328
TRAIN_2017_2022,KOSDAQ,FLOW,5,top,FH_B_NET_BREADTH,291,-0.04802820225277749
TRAIN_2017_2022,KOSDAQ,FLOW,5,top,FH_C_CONTINUOUS,291,-0.03602501107870017
TRAIN_2017_2022,KOSDAQ,FLOW,5,spread,FH_A_HEALTHY_BREADTH,291,0.012172854776953958
TRAIN_2017_2022,KOSDAQ,FLOW,5,spread,FH_B_NET_BREADTH,291,0.032732586787130535
TRAIN_2017_2022,KOSDAQ,FLOW,5,spread,FH_C_CONTINUOUS,291,0.02197868019810177
TRAIN_2017_2022,KOSDAQ,FLOW,20,top,FH_A_HEALTHY_BREADTH,291,-0.18135497073973258
TRAIN_2017_2022,KOSDAQ,FLOW,20,top,FH_B_NET_BREADTH,291,-0.14097587735592182
TRAIN_2017_2022,KOSDAQ,FLOW,20,top,FH_C_CONTINUOUS,291,-0.15135501025084128
TRAIN_2017_2022,KOSDAQ,FLOW,20,spread,FH_A_HEALTHY_BREADTH,291,0.03184764602035155
TRAIN_2017_2022,KOSDAQ,FLOW,20,spread,FH_B_NET_BREADTH,291,0.05846169219060477
