date,universe,target,FH_A_HEALTHY_BREADTH,FH_B_NET_BREADTH,FH_C_CONTINUOUS,CONFLICT,other_wplus_n,other_rminus_n,target_state,target_top_abs20,target_spread20,top_fwd5,spread_fwd5,top_fwd20,spread_fwd20,FH_C_BIN
2017-02-07,K200,MOMENTUM,0.3333333333333333,0.3333333333333333,0.14447674702724603,0,1,0,R-,-0.0066625486941598,-0.0207272071876765,0.0135727344844294,0.0004612807419395,0.00242496025634531,-0.023098342329099242,HIGH
2017-02-07,K200,REVISION,0.3333333333333333,0.0,0.0201236785298801,1,1,1,N,0.024265387507268,0.0156785900933424,0.010004178469895,-0.0139692449525495,0.004079753360782146,-0.014706057025257735,MID
2017-02-07,K200,VALUE,0.3333333333333333,0.0,0.08121439562043813,1,1,1,N,0.003051287247886,0.0070482113320793,0.0257012511539422,0.0162181669243395,0.033523030469075676,0.03274606256318835,MID
2017-02-07,K200,FLOW,0.0,-0.3333333333333333,0.021827436232087816,0,0,1,W+,0.0066770897399375,0.0175926710785291,0.02930288351405,0.0117867642054985,0.018454848384258593,0.0014173503735948056,MID
2017-02-14,K200,MOMENTUM,0.3333333333333333,0.3333333333333333,0.1438086515423193,0,1,0,R-,-0.0142903369620138,-0.0374820697546068,-0.0002318333012078,-0.0248388200553679,-0.018591122727994902,-0.03270270837822542,HIGH
2017-02-14,K200,REVISION,0.3333333333333333,0.0,0.025731864981900388,1,1,1,N,0.0174424273027411,0.0015166561847952,0.0102791987750428,-0.000858431452658,-0.011331518262778895,0.0016922742606955143,MID
2017-02-14,K200,VALUE,0.3333333333333333,0.0,-0.005899715350095924,1,1,1,N,0.015398160240758,0.0012534504868964,0.0128668410932307,0.000357946139613,0.0071745397319482596,0.007698403469488246,MID
2017-02-14,K200,FLOW,0.0,-0.3333333333333333,-0.12320489662847166,0,0,1,W+,0.0253367408323286,0.020707447992877,-0.0018388710265724,-0.0181466014291106,-0.01578462996936103,-0.01660836419856071,MID
2017-02-21,K200,MOMENTUM,0.0,0.0,0.09260586628684804,0,0,0,R+,0.006096097557553,-0.0343088974752594,-0.0038492403385254,-0.0131908964567613,-0.011311905429245761,-0.003594441959264061,MID
2017-02-21,K200,REVISION,0.0,0.0,0.009011137806118943,0,0,0,N,0.0320036925012097,0.0012054937394836,-0.0113644484227101,-0.0200524397284405,0.0038102206953432027,0.018144039731584405,MID
2017-02-21,K200,VALUE,0.0,0.0,-0.027844963872304045,0,0,0,N,0.0276786947060723,0.0051665858459164,-0.0016997662228202,-0.0194830859299817,0.008536824593559533,0.008475281931570988,MID
2017-02-21,K200,FLOW,0.0,0.0,0.02807146908961859,0,0,0,N,0.029087674319757,-0.0054663644151249,0.003122591790523,0.0064115939798117,-0.005898640217221085,0.0033430948720079012,MID
