sample,universe,target,horizon,outcome,metric,n_high,n_low,high_mean,low_mean,high_minus_low,nw_t,high_positive_share,low_positive_share
TRAIN_2017_2022,K200,FLOW,5,top,FH_A_HEALTHY_BREADTH,55,236,0.0013519938950555018,0.001417357753006509,-6.536385795100725e-05,-0.01646378775549207,0.45454545454545453,0.576271186440678
TRAIN_2017_2022,K200,FLOW,5,top,FH_B_NET_BREADTH,107,95,0.0016037848366810227,0.0010700569725595147,0.000533727864121508,0.12540608801574357,0.514018691588785,0.5894736842105263
TRAIN_2017_2022,K200,FLOW,5,top,FH_C_CONTINUOUS,97,97,0.0034520965919520963,0.0010700473039315895,0.0023820492880205065,0.5244888116964763,0.5567010309278351,0.5876288659793815
TRAIN_2017_2022,K200,FLOW,5,spread,FH_A_HEALTHY_BREADTH,55,236,-0.0006118372193631291,0.0016557477137713057,-0.0022675849331344347,-0.9891284529001769,0.45454545454545453,0.5805084745762712
TRAIN_2017_2022,K200,FLOW,5,spread,FH_B_NET_BREADTH,107,95,0.0014677544224591895,0.0013597831976588774,0.00010797122480031215,0.05009012530341942,0.5233644859813084,0.6
TRAIN_2017_2022,K200,FLOW,5,spread,FH_C_CONTINUOUS,97,97,0.0024723540605038267,0.0016295256772863023,0.0008428283832175244,0.39461156850201956,0.5670103092783505,0.5773195876288659
TRAIN_2017_2022,K200,FLOW,20,top,FH_A_HEALTHY_BREADTH,55,236,0.003983972935189359,0.006493073995741469,-0.00250910106055211,-0.23242962160646882,0.509090909090909,0.5720338983050848
TRAIN_2017_2022,K200,FLOW,20,top,FH_B_NET_BREADTH,107,95,0.004543833829377063,0.004476742235703301,6.709159367376209e-05,0.005027152266579659,0.5233644859813084,0.6
TRAIN_2017_2022,K200,FLOW,20,top,FH_C_CONTINUOUS,97,97,0.009846717179698414,0.007299295893583515,0.0025474212861148985,0.18151722244083057,0.5463917525773195,0.6185567010309279
TRAIN_2017_2022,K200,FLOW,20,spread,FH_A_HEALTHY_BREADTH,55,236,0.008902605663821245,0.004172992938734903,0.004729612725086343,0.5910813893250519,0.5272727272727272,0.5677966101694916
TRAIN_2017_2022,K200,FLOW,20,spread,FH_B_NET_BREADTH,107,95,0.012271923740938993,0.0014791511262598244,0.010792772614679168,1.672173825851064,0.6261682242990654,0.5157894736842106
TRAIN_2017_2022,K200,FLOW,20,spread,FH_C_CONTINUOUS,97,97,0.013412439321483022,0.002490901172311728,0.010921538149171295,1.5789257524860734,0.6494845360824743,0.5670103092783505
TRAIN_2017_2022,K200,MOMENTUM,5,top,FH_A_HEALTHY_BREADTH,58,233,0.0007267431977402837,-0.0007288559552720592,0.001455599153012343,0.3135843734970745,0.4482758620689655,0.5236051502145923
TRAIN_2017_2022,K200,MOMENTUM,5,top,FH_B_NET_BREADTH,120,74,0.002195362124471825,-0.003423229902912554,0.005618592027384379,1.2611228681977575,0.49166666666666664,0.47297297297297297
TRAIN_2017_2022,K200,MOMENTUM,5,top,FH_C_CONTINUOUS,97,97,0.0033402632304341813,-0.00330585154442275,0.006646114774856932,1.4966543404286468,0.5154639175257731,0.4948453608247423
TRAIN_2017_2022,K200,MOMENTUM,5,spread,FH_A_HEALTHY_BREADTH,58,233,-0.002222393990265183,-0.001862762185242072,-0.0003596318050231109,-0.08363496474266463,0.4827586206896552,0.4978540772532189
TRAIN_2017_2022,K200,MOMENTUM,5,spread,FH_B_NET_BREADTH,120,74,0.00031326137946183474,-0.0025750924334420867,0.0028883538129039214,0.6262169517400584,0.5083333333333333,0.5
TRAIN_2017_2022,K200,MOMENTUM,5,spread,FH_C_CONTINUOUS,97,97,0.0008387960688339651,-0.005381119722388613,0.006219915791222577,1.4295863388992254,0.5567010309278351,0.422680412371134
TRAIN_2017_2022,K200,MOMENTUM,20,top,FH_A_HEALTHY_BREADTH,58,233,0.008345753351849911,-0.00422405178771122,0.012569805139561132,1.0034721240266826,0.5344827586206896,0.48068669527896996
TRAIN_2017_2022,K200,MOMENTUM,20,top,FH_B_NET_BREADTH,120,74,0.004794737977612318,-0.0069307448943679165,0.011725482871980233,0.9631807939757115,0.5083333333333333,0.4864864864864865
TRAIN_2017_2022,K200,MOMENTUM,20,top,FH_C_CONTINUOUS,97,97,0.008644901390117816,-0.005442267247883652,0.014087168638001468,1.0917935505224599,0.5670103092783505,0.4845360824742268
TRAIN_2017_2022,K200,MOMENTUM,20,spread,FH_A_HEALTHY_BREADTH,58,233,0.004510092480299748,-0.011350643975662558,0.015860736455962306,1.600184536548398,0.5172413793103449,0.4206008583690987
TRAIN_2017_2022,K200,MOMENTUM,20,spread,FH_B_NET_BREADTH,120,74,0.002495584819043332,-0.016407019001027093,0.018902603820070425,1.6155449455970212,0.525,0.3918918918918919
TRAIN_2017_2022,K200,MOMENTUM,20,spread,FH_C_CONTINUOUS,97,97,0.0014289036580363032,-0.018574263848881032,0.020003167506917337,1.7689691490376198,0.4948453608247423,0.3711340206185567
TRAIN_2017_2022,K200,REVISION,5,top,FH_A_HEALTHY_BREADTH,37,254,-0.0018048386672024404,0.002201592963194365,-0.0040064316303968055,-0.7493221465652343,0.4864864864864865,0.5866141732283464
TRAIN_2017_2022,K200,REVISION,5,top,FH_B_NET_BREADTH,93,85,0.003919818265645112,0.00418685285921058,-0.0002670345935654678,-0.05586388833790954,0.6129032258064516,0.6
TRAIN_2017_2022,K200,REVISION,5,top,FH_C_CONTINUOUS,97,97,0.002890860626988872,0.0011512322023223185,0.0017396284246665537,0.3611363984978454,0.5773195876288659,0.5876288659793815
TRAIN_2017_2022,K200,REVISION,5,spread,FH_A_HEALTHY_BREADTH,37,254,0.002498430380092165,0.0024101999534714073,8.823042662075772e-05,0.02853699990987929,0.5135135135135135,0.610236220472441
TRAIN_2017_2022,K200,REVISION,5,spread,FH_B_NET_BREADTH,93,85,0.0030564772764511954,0.004788754338506834,-0.0017322770620556384,-0.6766481991414455,0.6129032258064516,0.6941176470588235
TRAIN_2017_2022,K200,REVISION,5,spread,FH_C_CONTINUOUS,97,97,0.00312265268989103,0.0009263031646144384,0.0021963495252765915,0.8192012180810008,0.5773195876288659,0.5876288659793815
TRAIN_2017_2022,K200,REVISION,20,top,FH_A_HEALTHY_BREADTH,37,254,-0.0014900668555463605,0.008759179187497976,-0.010249246043044337,-0.6567856870079787,0.43243243243243246,0.6062992125984252
TRAIN_2017_2022,K200,REVISION,20,top,FH_B_NET_BREADTH,93,85,0.014957498713130409,0.0116422386947205,0.0033152600184099077,0.2292980983598875,0.5698924731182796,0.6352941176470588
TRAIN_2017_2022,K200,REVISION,20,top,FH_C_CONTINUOUS,97,97,0.013682514459829239,0.007142618205958742,0.006539896253870497,0.45087642722133364,0.5773195876288659,0.5876288659793815
