era,universe,confirmed,n_candidates,mean_future_raw5,median_future_raw5,mean_alpha_vs_ew8,median_alpha_vs_ew8
2016-19,K200,False,38,-0.0003225371611791894,-0.0007561879852518499,0.0004043063982332857,0.0028484184516081195
2016-19,K200,True,346,0.0006560571050058273,5.476104091004701e-05,0.00020074104014263612,-0.0004410534844617311
2016-19,KOSDAQ,False,31,0.001120817182584245,0.0021704465339318,0.001901242926521211,0.006799772944803788
2016-19,KOSDAQ,True,353,0.002528641016474004,0.0017816641348044,0.0013760329989053696,0.00020101341957361272
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,False,17,0.003688521704920871,0.0023275049734714,0.006820226343426515,0.0075316117972623504
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,True,367,0.0030266601106937303,0.0030682482282539,0.0017201839071244438,0.0015752901654852384
2016-19,KOSPI_ALL,False,25,0.0040415056161056395,0.0026321098214389,0.003205421295717314,0.00010284377909613833
2016-19,KOSPI_ALL,True,359,0.0014245991512423554,0.0014659683418934,0.0007255263468725499,0.0013953050596839899
2016-19,KOSPI_EX_K200,False,24,9.951793694522922e-05,0.0028169007572452,-0.0025397337647406286,-0.000555687295937294
2016-19,KOSPI_EX_K200,True,360,0.0028517445538262932,0.0028072511149734502,0.0015135259894118727,0.0018447144405614921
2016-19,KOSPI_KOSDAQ_ALL,False,19,-0.0001690881447076894,0.0047810937070988,-0.00035248468424815236,7.19895622276999e-05
2016-19,KOSPI_KOSDAQ_ALL,True,365,0.0020350357800782318,0.0022701573358445,0.001220785784297182,0.0022453941516785494
2020-22,K200,False,24,-0.010710126607631194,-0.009330619758318951,-0.007932898255509207,-0.007590645792527476
2020-22,K200,True,274,0.002922553232621214,0.00368321755687635,0.0010246411144238543,0.0013058567251388064
2020-22,KOSDAQ,False,26,0.004064082713413335,0.00294106966757485,0.007612225363946984,0.004693881481115006
2020-22,KOSDAQ,True,272,0.0023093980574549616,0.0028398164270245,0.0011667631835614828,0.0018905046168441611
2020-22,KOSDAQ_PLUS_KOSPI_EX_K200,False,13,0.0019358857894484537,-0.0040413649714725,0.0017835347729220918,-0.004793727953382128
2020-22,KOSDAQ_PLUS_KOSPI_EX_K200,True,285,0.0030085486189612726,0.0024065396039394,0.0018434638989534508,-0.0006442699745168
2020-22,KOSPI_ALL,False,11,0.007303522789852518,0.0053365784718759,0.003594885190753376,0.0031474702323020377
2020-22,KOSPI_ALL,True,287,0.0013060120216128177,0.001808343278416,-5.235893803707944e-05,0.0012501035495513628
2020-22,KOSPI_EX_K200,False,17,-0.010880251920664847,-0.0057654484691088,-0.011261379395995733,-0.004025538358661013
2020-22,KOSPI_EX_K200,True,281,0.003568838765745734,0.0014189446701311,0.0020651430849278076,0.0003779714368001997
2020-22,KOSPI_KOSDAQ_ALL,False,18,-0.005989050521525428,-0.0016147230638772,-0.006329506316005482,-0.005477618289355607
2020-22,KOSPI_KOSDAQ_ALL,True,280,0.003478389756836148,0.0042062077123702,0.0019222347805203396,0.0010933866333651806
2023-24,K200,False,13,-0.007206934739590754,-0.0075533122989671,-0.008059362162600978,-0.010214163547462062
2023-24,K200,True,181,0.0015049684191902985,0.0004213762665454,-0.0004558979584310223,0.00030268299847970026
2023-24,KOSDAQ,False,16,-0.005188042345021068,0.00230754801920545,-0.006935927720512047,-0.0035758496649368815
2023-24,KOSDAQ,True,178,0.0020901233926034013,0.00419857167040905,0.0011886054993690402,0.003674539867741575
2023-24,KOSDAQ_PLUS_KOSPI_EX_K200,False,12,-0.003646571484010833,-0.007777984849453651,-0.005777379522042027,-0.010881864941914125
2023-24,KOSDAQ_PLUS_KOSPI_EX_K200,True,182,0.0015579509280529559,0.00063522598511255,0.0004453432479312816,0.0006721433299837626
2023-24,KOSPI_ALL,False,17,-0.0034988445467567762,0.0011544018203401,-0.003204443759679796,0.0004149642845214371
2023-24,KOSPI_ALL,True,177,0.0036343597179213987,0.004114564295852,0.0018844310788994243,0.0009039397201543384
2023-24,KOSPI_EX_K200,False,21,-0.005229431122806357,0.0027109860632658,-0.005450075693510296,-0.0012054421266281005
2023-24,KOSPI_EX_K200,True,173,0.0021678826792403253,0.0005175029008773,0.0010999161920729932,0.0004292419945090499
2023-24,KOSPI_KOSDAQ_ALL,False,11,0.007503656700992036,0.0018431093996553,0.003347356022235938,-0.00022495930601845
2023-24,KOSPI_KOSDAQ_ALL,True,183,0.0018825301421089955,0.0015942567146868,0.00028498640760318,-0.0013898212085322252
2025,K200,False,5,0.02309602496627336,0.0292547977457199,0.013698884476982323,0.00941698244767334
2025,K200,True,93,0.0015241537927975742,0.0017738880232463,-0.0023194549437389697,-0.003595218505853672
2025,KOSDAQ,False,5,0.0037012330856913598,0.0144078132247853,-0.0008431100124791938,0.004376873618907375
2025,KOSDAQ,True,93,0.006581734558987579,0.0058834221166573,0.0045854421419619035,0.003512816551975775
2025,KOSDAQ_PLUS_KOSPI_EX_K200,False,2,-0.0015701785324943995,-0.0015701785324943995,0.0002648568736935801,0.0002648568736935801
2025,KOSDAQ_PLUS_KOSPI_EX_K200,True,96,0.006929624396857651,0.0079974341392071,0.004735121588946267,0.0032486714557231878
2025,KOSPI_ALL,False,4,-0.007577818157497975,-0.0051578897212715,-0.009265395643101184,-0.006119961415878506
2025,KOSPI_ALL,True,94,0.002160482698663135,0.00256246156827165,-0.0013113297089842836,-0.0012113703635183567
2025,KOSPI_EX_K200,False,3,0.0385702610236897,0.0322796307592864,0.029281905351498345,0.02593237424238945
2025,KOSPI_EX_K200,True,95,-0.0007563360794678795,-5.081096131245855e-06,-0.002432396280417067,-0.001837062969145937
2025,KOSPI_KOSDAQ_ALL,False,2,0.002020973968628499,0.002020973968628499,-0.004912712454584158,-0.004912712454584158
2025,KOSPI_KOSDAQ_ALL,True,96,0.003886276634747506,0.00453105802930605,0.0009593024275793115,-0.0006990647566762183
2026,K200,False,1,0.0038636926904424,0.0038636926904424,0.008996417004873265,0.008996417004873265
2026,K200,True,55,0.007411148554879474,0.0092426633295987,0.0005628972107200957,0.0036944276885006143
2026,KOSDAQ,False,1,-0.023919401497961,-0.023919401497961,-0.04857189094516756,-0.04857189094516756
2026,KOSDAQ,True,55,0.014461492201622702,0.0199466380808456,0.009391150302104698,0.008229746124388777
2026,KOSDAQ_PLUS_KOSPI_EX_K200,False,5,0.029235956547531677,0.0260118181700376,0.020430100191460146,0.026699184283907336
