era,n_primitive_universes,median_universe_mean_pair_diff,positive_mean_universes,pooled_n_pairs,pooled_mean_pair_diff,pooled_median_pair_diff,pooled_win_rate,pooled_tstat
2016-19,3,-0.0004029086254900456,1,73,-0.0002009572912198569,-0.001108224615785,0.4794520547945205,-0.06199246916597498
2020-22,3,0.015787640967766265,2,47,0.006089661269672295,0.006134523469411297,0.5531914893617021,1.2080369392981312
2023-24,3,0.010793383633810513,2,38,0.01085996442363776,0.0111250680955947,0.631578947368421,1.5606259391343615
2025,3,-0.025430233570520305,1,9,-0.016409795532524155,0.0011602501477751027,0.5555555555555556,-1.0906015417205144
2026,3,0.011475251939991283,2,8,0.006050437239466036,-0.0026806032111533493,0.375,0.3072149444587571
