era,universe,n_pairs,mean_pair_diff,median_pair_diff,win_rate,tstat
2016-19,K200,24,-0.0004029086254900456,3.1156580903499414e-05,0.5,-0.13158975509886814
2016-19,KOSDAQ,31,-0.0026277661003005453,-0.0040387311497854,0.4838709677419355,-0.41889608493814623
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,11,-0.0059180647548380365,-0.011346333030599998,0.09090909090909091,-0.5063434474381316
2016-19,KOSPI_ALL,15,-0.004148985266466359,-0.005912896616863894,0.4666666666666667,-1.2268243470520932
2016-19,KOSPI_EX_K200,18,0.004247815214557139,-0.0023766032236104,0.4444444444444444,0.653733982051622
2016-19,KOSPI_KOSDAQ_ALL,15,0.002231768656524953,-0.0024408262332288,0.4666666666666667,0.39575696622279904
2020-22,K200,14,0.015787640967766265,0.013317606648298952,0.7142857142857143,2.691472917593455
2020-22,KOSDAQ,18,-0.010424390474656911,-0.0128221766984064,0.3888888888888889,-1.6420373266837083
2020-22,KOSDAQ_PLUS_KOSPI_EX_K200,11,0.015243427614501138,0.0216309383949164,0.7272727272727273,1.9583985551254723
2020-22,KOSPI_ALL,9,-0.006148695392939744,-0.0030745848726443,0.4444444444444444,-0.5981176329184785
2020-22,KOSPI_EX_K200,15,0.01685507564464631,0.016017639937896,0.6,1.4498797990089052
2020-22,KOSPI_KOSDAQ_ALL,12,0.005516052128594617,0.01088026095794425,0.75,0.6076264260593774
2023-24,K200,7,0.010793383633810513,0.014699716085436899,0.7142857142857143,1.0156381468728837
2023-24,KOSDAQ,14,-0.0021393066026235653,0.0031702160035181003,0.5714285714285714,-0.2129672364468845
2023-24,KOSDAQ_PLUS_KOSPI_EX_K200,12,1.1132747464716783e-05,0.0051563900342335,0.5833333333333334,0.0017289052712173728
2023-24,KOSPI_ALL,11,0.00468444357679951,0.0098510635255242,0.6363636363636364,0.8678422098118813
2023-24,KOSPI_EX_K200,17,0.021592662064605365,0.0120169513916451,0.6470588235294118,1.7662508070312
2023-24,KOSPI_KOSDAQ_ALL,9,-0.006181996359516632,-0.0040825914235327,0.3333333333333333,-0.9358977003732014
2025,K200,3,-0.025430233570520305,0.0171320420455746,0.6666666666666666,-0.5844963724065962
2025,KOSDAQ,3,0.009537023894692968,0.004345114202948301,1.0,1.393007568582389
2025,KOSDAQ_PLUS_KOSPI_EX_K200,2,0.012154054543868798,0.012154054543868798,0.5,0.3271505267440741
2025,KOSPI_ALL,4,0.008025088877704725,0.0114282096149442,0.75,0.46084428680846934
2025,KOSPI_EX_K200,3,-0.033336176921745134,-0.0190604298728086,0.0,-2.081811831208849
2025,KOSPI_KOSDAQ_ALL,2,-0.012598991089533398,-0.012598991089533398,0.5,-0.25759559415866445
2026,K200,1,-0.0812509598973357,-0.0812509598973357,0.0,
2026,KOSDAQ,1,0.060802946173116296,0.060802946173116296,1.0,
2026,KOSDAQ_PLUS_KOSPI_EX_K200,5,-0.009784317607682579,-0.029335042900561395,0.4,-0.6307798524139839
2026,KOSPI_ALL,2,0.012774631082815902,0.012774631082815902,0.5,0.24411559908282504
2026,KOSPI_EX_K200,6,0.011475251939991283,-0.0026806032111533493,0.3333333333333333,0.6013314589702016
2026,KOSPI_KOSDAQ_ALL,1,-0.039472768317263804,-0.039472768317263804,0.0,
