signal_date,era,universe,factor,raw20,within20,confirmed,future_raw5,same_date_ew8,future_alpha_vs_ew8
2016-02-01,2016-19,K200,OP12_REV,0.07615798486607539,0.0456728635650002,True,-0.0248853431317719,-0.003828401239459888,-0.02105694189231201
2016-02-01,2016-19,K200,MOM12_1,0.0684684027881296,0.0245727777429142,True,-0.0508090941900714,-0.003828401239459888,-0.04698069295061151
2016-02-01,2016-19,KOSDAQ,OP12_REV,0.0603568678302534,0.0381323657073072,True,0.0216173474131319,0.006396529346670187,0.015220818066461712
2016-02-01,2016-19,KOSDAQ,FOREIGN_FLOW,0.041120099680312897,-0.014791357213876102,False,0.0079788711402371,0.006396529346670187,0.0015823417935669128
2016-02-01,2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,PRIVATE_FLOW,0.0492060965719188,0.0574318931332056,True,0.0085862286838628,0.005738589468093863,0.0028476392157689365
2016-02-01,2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,0.0470797160285412,0.0309729942473576,True,0.011496123824967,0.005738589468093863,0.005757534356873137
2016-02-01,2016-19,KOSPI_ALL,MOM12_1,0.0767280859051815,0.0233021690750553,True,-0.0409714586689467,-0.0022127765475629998,-0.0387586821213837
2016-02-01,2016-19,KOSPI_ALL,OP12_REV,0.0558891721826707,0.0351101031334416,True,-0.0220949830498495,-0.0022127765475629998,-0.019882206502286504
2016-02-01,2016-19,KOSPI_EX_K200,MOM12_1,0.0883159745504912,0.012938613166336103,True,-0.0245641280060121,-0.001738699126798724,-0.022825428879213377
2016-02-01,2016-19,KOSPI_EX_K200,OPFY1_REV,0.0828487651697601,0.035603171469803505,True,-0.0155194085171458,-0.001738699126798724,-0.013780709390347076
2016-02-01,2016-19,KOSPI_KOSDAQ_ALL,OP12_REV,0.05963015258181859,0.0397817518226879,True,-0.0101211738266057,0.0016969290949343883,-0.011818102921540088
2016-02-01,2016-19,KOSPI_KOSDAQ_ALL,MOM12_1,0.0426876507339449,-0.007426189988314499,False,-0.0367508140914007,0.0016969290949343883,-0.038447743186335086
2016-02-11,2016-19,K200,PER12MF,0.0472428900140883,0.0326031761303092,True,0.0889802694715406,0.004916751783110376,0.08406351768843022
2016-02-11,2016-19,K200,PRIVATE_FLOW,0.041369418941605104,0.0501520242803676,True,0.0389927899236274,0.004916751783110376,0.03407603814051702
2016-02-11,2016-19,KOSDAQ,OP12_REV,0.041650075162960695,0.0150993026716871,True,-0.0048221425069977,0.03202526237713103,-0.03684740488412873
2016-02-11,2016-19,KOSDAQ,PRIVATE_FLOW,0.0413719016989942,0.031439588666651676,True,0.0427188332098326,0.03202526237713103,0.010693570832701574
2016-02-11,2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,0.0440926509849185,0.0134732812443179,True,-0.0045059934137499,0.01903868961629905,-0.02354468303004895
2016-02-11,2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,PRIVATE_FLOW,0.0421971747547855,0.0446258830873722,True,0.011766728060101,0.01903868961629905,-0.0072719615561980516
2016-02-11,2016-19,KOSPI_ALL,PBR12MF,0.028241167125596704,0.0212726115721516,True,0.0966092444753054,0.004207540840335901,0.0924017036349695
