signal_date,era,universe,confirmed_factor,unconfirmed_factor,confirmed_raw20,unconfirmed_raw20,confirmed_within20,unconfirmed_within20,confirmed_future_raw5,unconfirmed_future_raw5,pair_diff
2016-02-01,2016-19,KOSDAQ,OP12_REV,FOREIGN_FLOW,0.0603568678302534,0.041120099680312897,0.0381323657073072,-0.014791357213876102,0.0216173474131319,0.0079788711402371,0.013638476272894799
2016-02-01,2016-19,KOSPI_KOSDAQ_ALL,OP12_REV,MOM12_1,0.05963015258181859,0.0426876507339449,0.0397817518226879,-0.007426189988314499,-0.0101211738266057,-0.0367508140914007,0.026629640264795
2016-03-25,2016-19,KOSDAQ,PBR12MF,PER12MF,0.048694299968869405,-0.0005111551029809,0.017141374454879503,-0.0015498202773274994,-0.0318725776587231,-0.0138641040641984,-0.018008473594524704
2016-04-01,2016-19,KOSDAQ,MOM1M,OP12_REV,0.011377318531710198,0.009251959489063799,0.022474990954471898,-0.008761723240714503,-0.0284241611181284,0.0116577636783501,-0.0400819247964785
2016-05-02,2016-19,K200,PBR12MF,PER12MF,0.0455949571056773,0.026244044429827397,0.0251695939178655,-0.0013373676424524024,-0.0539560366525367,-0.0297782558213226,-0.024177780831214097
2016-06-16,2016-19,K200,OPFY1_REV,MOM12_1,0.018124138195550296,0.0207690496419791,0.031477950470107,-0.0074521932890205984,0.00385692985489,-0.0134217118418634,0.0172786416967534
2016-06-16,2016-19,KOSDAQ,MOM1M,OP12_REV,0.04188898678541851,0.007809171438464199,0.0225794470424633,-0.0026079755336954943,-0.0187646141419383,0.0235928785723005,-0.042357492714238804
2016-08-19,2016-19,K200,PBR12MF,PER12MF,0.08562071855867211,0.053231457368011104,0.0319722060270508,-0.0011012724617861054,0.0041719001228856,-0.0058857715389943,0.0100576716618799
2016-10-13,2016-19,KOSDAQ,OPFY1_REV,PBR12MF,0.0817748531761179,0.05598217110750078,0.048311678409437404,-3.3200634439498056e-05,0.0002574521541221,0.0218465020769108,-0.021589049922788702
2016-10-27,2016-19,KOSDAQ,PBR12MF,PER12MF,0.11209857551093018,0.0604611810660206,0.025625336360969104,-0.007097479408047,0.0542429884894679,0.0010464603830568,0.0531965281064111
2016-11-03,2016-19,KOSDAQ,PBR12MF,PER12MF,0.1375180077295452,0.048619474756134505,0.0676309072365743,-5.37175471745999e-05,-0.0239690747566739,-0.0307759475479624,0.0068068727912884985
2016-11-10,2016-19,KOSDAQ,PBR12MF,PER12MF,0.0738004401879049,0.012979838627086803,0.0711995118088584,-0.0134744412040746,0.0300325040368285,0.0041175619792417,0.0259149420575868
2016-11-10,2016-19,KOSPI_ALL,PBR12MF,PER12MF,0.06465207743488961,0.03428755617999431,0.0211257112577068,-0.0015393801982265046,0.0326103598747149,0.0385232564915788,-0.005912896616863894
2016-11-24,2016-19,KOSDAQ,PBR12MF,PER12MF,0.1560837763151155,0.012624193170086399,0.0726745628208432,-0.024975659049273104,-0.0083038208065195,0.0125688620178738,-0.0208726828243933
2016-12-22,2016-19,KOSPI_EX_K200,PBR12MF,PER12MF,0.0009999364229589958,-0.0110839087646154,0.005304439234438598,-0.016951840541110305,-0.0129648143822636,-0.0243449350151515,0.011380120632887899
2016-12-29,2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,MOM12_1,0.040836356220114,0.0302808542241917,0.030780104455744795,-0.006570389190893507,-0.0152430687315477,-0.0118839485113338,-0.0033591202202138994
2016-12-29,2016-19,KOSPI_EX_K200,PBR12MF,MOM12_1,0.012933562451982197,0.0018464363050481021,0.027724505645937397,-0.020065532371482696,0.0402811975935224,-0.0211547193107404,0.061435916904262804
2016-12-29,2016-19,KOSPI_KOSDAQ_ALL,OP12_REV,MOM12_1,0.0328387063441672,0.016098397906765892,0.0175348984345347,-0.004641960817555095,-0.0091411724709497,-0.0021498801465544,-0.0069912923243953
2017-01-06,2016-19,K200,PRIVATE_FLOW,OP12_REV,0.0350848580196775,0.0011867286796917965,0.034593357980407705,-0.009302780797149298,-0.0070980939803754,0.0234114579010647,-0.030509551881440097
2017-01-06,2016-19,KOSDAQ,PER12MF,MOM12_1,0.0416828153978227,0.012836860878119187,0.0561486569180833,-0.008295383938256904,-0.0137379433275795,0.0164230100998943,-0.0301609534274738
2017-01-20,2016-19,KOSDAQ,PRIVATE_FLOW,MOM12_1,0.026881541299433494,0.009719646052317685,0.048037344443667696,-0.0005087614786235032,-0.006105103800103,0.0298611875901116,-0.0359662913902146
2017-02-28,2016-19,K200,PRIVATE_FLOW,PBR12MF,0.012386054830135601,-0.016987375084965603,0.016990334808400703,-0.007473556589935497,0.0006822390953476,0.0302903286909289,-0.0296080895955813
2017-03-22,2016-19,KOSDAQ,MOM12_1,PBR12MF,0.041247074174493775,0.03207540789836748,0.033691750484873294,-0.0024389171933278976,-0.0084305350164527,-0.0043918038666673,-0.0040387311497854
