era,universe,score,n_dates,mean_ic_raw,median_ic_raw,mean_ic_neutral,median_ic_neutral,mean_top2_raw_alpha,mean_top2_neutral_alpha,mean_top2_overlap
2020-22,KOSPI_EX_K200,WITHIN20,149,0.007031000319590926,0.023809523809523815,-0.0702238671476436,-0.07142857142857144,0.001321478062707339,-0.0009782941367393616,0.23825503355704697
2020-22,KOSPI_KOSDAQ_ALL,NEUTRAL20,149,0.05880472994566955,0.04761904761904763,0.06855225311601151,0.04761904761904763,0.00224169401169013,0.0013512314197352887,0.2953020134228188
2020-22,KOSPI_KOSDAQ_ALL,RAW20,149,0.07206775327580697,0.11904761904761905,0.0634387983381272,0.11904761904761905,0.0014238074659650888,0.0006972888140949189,0.3053691275167785
2020-22,KOSPI_KOSDAQ_ALL,WITHIN20,149,0.08133589006072228,0.09523809523809526,0.06775327580696709,0.11904761904761905,0.0028891317179364127,0.0018038687474818188,0.3053691275167785
2023-24,K200,NEUTRAL20,97,-0.03215513009327442,0.023809523809523815,-0.030436917034855186,-0.023809523809523815,-0.0020670883059432307,-0.0009143885147908692,0.22164948453608246
2023-24,K200,RAW20,97,-0.020127638684339717,-0.07142857142857144,0.01865488463426608,-0.04761904761904763,-0.0009654084463393182,0.0008736380142431664,0.2422680412371134
2023-24,K200,WITHIN20,97,0.011782032400589101,0.07142857142857144,0.031909671084928815,0.07142857142857144,0.0003533665501140832,0.0019649770882883256,0.24742268041237114
2023-24,KOSDAQ,NEUTRAL20,97,0.020373097692685325,0.0,0.021354933726067754,0.04761904761904763,0.0005133631775460874,0.0005370652323976915,0.28865979381443296
2023-24,KOSDAQ,RAW20,97,0.01669121256750123,-0.023809523809523815,0.002454590083456072,0.04761904761904763,0.0005185409039149298,-0.0005955444323620848,0.28350515463917525
2023-24,KOSDAQ,WITHIN20,97,0.021845851742758965,0.023809523809523815,0.016200294550810013,0.04761904761904763,0.0008761260331342909,0.0016032594511210297,0.29381443298969073
2023-24,KOSDAQ_PLUS_KOSPI_EX_K200,NEUTRAL20,97,-0.0073637702503681875,-0.023809523809523815,0.0031909671084928808,-0.023809523809523815,-0.0005504953885535787,-0.0004280982117412771,0.23195876288659795
2023-24,KOSDAQ_PLUS_KOSPI_EX_K200,RAW20,97,-0.015954835542464407,0.023809523809523815,0.0024545900834560637,0.0,6.0432561128808715e-05,-0.000789916974038289,0.27835051546391754
2023-24,KOSDAQ_PLUS_KOSPI_EX_K200,WITHIN20,97,0.02258222876779578,0.04761904761904763,0.03780068728522337,0.04761904761904763,0.0003730521305380478,1.2269897998557322e-05,0.25257731958762886
2023-24,KOSPI_ALL,NEUTRAL20,97,0.0076092292587138,0.0,0.011782032400589103,0.0,0.0016197292996416265,0.0011441245459794024,0.26288659793814434
2023-24,KOSPI_ALL,RAW20,97,0.01300932744231713,-0.04761904761904763,0.019391261659302897,0.0,0.0014384987476837193,0.0007559020651673342,0.27319587628865977
2023-24,KOSPI_ALL,WITHIN20,97,0.04025527736867943,0.04761904761904763,0.03681885125184094,0.04761904761904763,0.0010796777085079793,0.0004621202931927252,0.27319587628865977
2023-24,KOSPI_EX_K200,NEUTRAL20,97,-0.03608247422680412,0.0,0.013009327442317139,0.0,-0.0004304602519370598,-0.0010295483449113008,0.25773195876288657
2023-24,KOSPI_EX_K200,RAW20,97,-0.016936671575846836,-0.023809523809523815,0.004909180166912125,-0.023809523809523815,0.00039089645188098766,0.0004534421218115348,0.25773195876288657
2023-24,KOSPI_EX_K200,WITHIN20,97,-0.030436917034855186,-0.023809523809523815,0.0004909180166912104,0.0,0.0004958515301973027,0.0015122292096795315,0.26288659793814434
2023-24,KOSPI_KOSDAQ_ALL,NEUTRAL20,97,0.01840942562592048,-0.04761904761904763,0.05670103092783505,0.023809523809523815,0.0012435533560131318,0.0017467104347183946,0.28865979381443296
2023-24,KOSPI_KOSDAQ_ALL,RAW20,97,-0.009572901325478646,0.0,0.0429553264604811,0.09523809523809526,0.0004586259218349344,0.000603222512860074,0.29381443298969073
2023-24,KOSPI_KOSDAQ_ALL,WITHIN20,97,0.016691212567501234,0.04761904761904763,0.06013745704467355,0.07142857142857144,0.0012644356487082,0.0013094872785935842,0.28350515463917525
2025,K200,NEUTRAL20,49,-0.062196307094266295,-0.09523809523809526,-0.05296404275996113,-0.04761904761904763,-0.0010918303182109834,-0.0007656431675852732,0.23469387755102042
2025,K200,RAW20,49,-0.05296404275996113,0.0,-0.05344995140913508,-0.09523809523809526,-0.001502192728396046,-0.00149721356769012,0.24489795918367346
2025,K200,WITHIN20,49,-0.043731778425655975,-0.07142857142857144,-0.023809523809523826,-0.023809523809523815,-0.0030857210265206585,-0.001250833045604466,0.21428571428571427
2025,KOSDAQ,NEUTRAL20,49,0.11127308066083577,0.14285714285714288,0.06948493683187562,0.09523809523809526,0.005332270212459729,0.003456095014901169,0.3163265306122449
2025,KOSDAQ,RAW20,49,0.1370262390670554,0.14285714285714288,0.0991253644314869,0.11904761904761905,0.0043084751953067464,0.002185558669916703,0.2653061224489796
2025,KOSDAQ,WITHIN20,49,0.15597667638483967,0.14285714285714288,0.11078717201166181,0.14285714285714288,0.005414724758441973,0.003215997652583758,0.29591836734693877
2025,KOSDAQ_PLUS_KOSPI_EX_K200,NEUTRAL20,49,0.14577259475218662,0.14285714285714288,0.09037900874635571,0.11904761904761905,0.0026928767402377056,0.001644005070271179,0.29591836734693877
2025,KOSDAQ_PLUS_KOSPI_EX_K200,RAW20,49,0.15160349854227406,0.14285714285714288,0.13556851311953355,0.09523809523809526,0.004643891696798253,0.0034787517271968197,0.35714285714285715
2025,KOSDAQ_PLUS_KOSPI_EX_K200,WITHIN20,49,0.12925170068027214,0.09523809523809526,0.13411078717201166,0.14285714285714288,0.0037174212265318357,0.0029318868174045116,0.32653061224489793
2025,KOSPI_ALL,NEUTRAL20,49,0.007288629737609331,-0.07142857142857144,0.050048590864917405,0.023809523809523815,-0.0023298097588076183,-0.00021870581320753018,0.21428571428571427
2025,KOSPI_ALL,RAW20,49,-0.032069970845481056,-0.023809523809523815,-0.009718172983479115,-0.09523809523809526,-0.0016359854613972183,-0.0005748121227095438,0.25510204081632654
2025,KOSPI_ALL,WITHIN20,49,-0.040330417881438305,-0.09523809523809526,-0.0014577259475218622,-0.07142857142857144,-0.0013016512210099356,0.0009123940652348748,0.2653061224489796
2025,KOSPI_EX_K200,NEUTRAL20,49,0.002915451895043734,-0.07142857142857144,-0.038386783284742466,-0.09523809523809526,-0.0013032700186098318,-0.0014258539130358626,0.2653061224489796
2025,KOSPI_EX_K200,RAW20,49,-0.02866861030126336,-0.11904761904761905,-0.052478134110787174,-0.023809523809523815,-0.0014615503120931263,-0.0015326024109482035,0.20408163265306123
2025,KOSPI_EX_K200,WITHIN20,49,-0.07045675413022352,-0.09523809523809526,-0.08406219630709427,-0.07142857142857144,-0.0035773717689414107,-0.003261178921853776,0.20408163265306123
2025,KOSPI_KOSDAQ_ALL,NEUTRAL20,49,0.09378036929057339,0.04761904761904763,0.12050534499514091,0.11904761904761905,0.001908913351655722,0.0015377178183169778,0.3163265306122449
2025,KOSPI_KOSDAQ_ALL,RAW20,49,0.07337220602526726,0.04761904761904763,0.10689990281827018,0.09523809523809526,0.0008394653891678121,0.0011089189161252412,0.30612244897959184
2025,KOSPI_KOSDAQ_ALL,WITHIN20,49,0.08017492711370262,0.023809523809523815,0.11224489795918369,0.09523809523809526,0.0014485921979693842,0.0009394630010511473,0.3163265306122449
2026,K200,NEUTRAL20,28,-0.07227891156462586,-0.130952380952381,-0.030612244897959186,-0.13095238095238096,-0.0023848631761455466,-0.001351003971684233,0.26785714285714285
2026,K200,RAW20,28,0.06292517006802721,-0.011904761904761904,0.08333333333333334,0.0,0.0007134957784728305,0.002564047590639679,0.2857142857142857
2026,K200,WITHIN20,28,0.004251700680272101,-0.023809523809523815,0.042517006802721094,0.07142857142857144,-0.0010777812939754747,0.0008787191223341344,0.25
2026,KOSDAQ,NEUTRAL20,28,-0.01020408163265306,0.04761904761904763,-0.05272108843537415,-0.09523809523809525,0.0029261515489831477,-0.000679270600216024,0.26785714285714285
2026,KOSDAQ,RAW20,28,0.07568027210884355,0.09523809523809526,0.005952380952380947,0.011904761904761904,0.008356095994117694,0.003471161282583676,0.30357142857142855
2026,KOSDAQ,WITHIN20,28,-0.0017006802721088493,0.04761904761904763,-0.040816326530612256,0.02380952380952381,0.004767527556791621,0.0008200593354259027,0.26785714285714285
2026,KOSDAQ_PLUS_KOSPI_EX_K200,NEUTRAL20,28,-0.06292517006802724,-0.1666666666666667,0.02551020408163265,-0.04761904761904763,0.0014362769197701093,0.003114576009435826,0.26785714285714285
2026,KOSDAQ_PLUS_KOSPI_EX_K200,RAW20,28,-0.042517006802721115,-0.07142857142857144,-0.022959183673469392,0.0,0.004094156388338043,0.0030380565216931205,0.30357142857142855
2026,KOSDAQ_PLUS_KOSPI_EX_K200,WITHIN20,28,-0.0425170068027211,-0.2023809523809524,-0.011054421768707495,-0.04761904761904763,0.0005322108298054822,0.0010915655627386765,0.2857142857142857
2026,KOSPI_ALL,NEUTRAL20,28,0.020408163265306117,-0.059523809523809534,0.06462585034013606,0.13095238095238096,0.00029648978442482147,0.0018532832778277877,0.21428571428571427
2026,KOSPI_ALL,RAW20,28,0.09438775510204082,0.023809523809523815,0.12500000000000003,0.23809523809523814,0.0029486700599705555,0.0034972471848123583,0.32142857142857145
2026,KOSPI_ALL,WITHIN20,28,0.0391156462585034,0.011904761904761904,0.11054421768707486,0.16666666666666669,-0.0005141700416133287,0.001244053091802738,0.26785714285714285
2026,KOSPI_EX_K200,NEUTRAL20,28,0.12840136054421772,0.28571428571428575,0.09013605442176874,0.2023809523809524,0.006122139612889573,0.005558046688570713,0.32142857142857145
2026,KOSPI_EX_K200,RAW20,28,0.1326530612244898,0.27380952380952384,0.04251700680272108,0.0,0.002098346125528787,0.00038675106793489286,0.26785714285714285
2026,KOSPI_EX_K200,WITHIN20,28,0.11309523809523812,0.23809523809523814,0.07227891156462585,0.059523809523809534,0.006862719696982038,0.005377128680335837,0.30357142857142855
2026,KOSPI_KOSDAQ_ALL,NEUTRAL20,28,0.027210884353741492,-0.10714285714285715,0.01530612244897959,-0.08333333333333334,0.0007042221366305956,0.0011691238401868537,0.2857142857142857
2026,KOSPI_KOSDAQ_ALL,RAW20,28,0.07653061224489796,0.1666666666666667,0.05952380952380952,0.14285714285714288,-0.0005777076953447582,0.0006320592643120755,0.32142857142857145
2026,KOSPI_KOSDAQ_ALL,WITHIN20,28,0.06377551020408165,-0.07142857142857144,0.07227891156462586,0.1785714285714286,0.002833832902915628,0.00286543077890287,0.3392857142857143
