era,universe,score,n_dates,mean_ic_raw,median_ic_raw,mean_ic_neutral,median_ic_neutral,mean_top2_raw_alpha,mean_top2_neutral_alpha,mean_top2_overlap
2016-19,K200,NEUTRAL20,192,0.021205357142857147,0.023809523809523815,0.018973214285714288,0.023809523809523815,0.0013370108096239979,0.00021525421747998976,0.25
2016-19,K200,RAW20,192,0.0050843253968254004,0.023809523809523815,0.013392857142857146,0.04761904761904763,0.00022088552870369008,0.0004143930911085054,0.2526041666666667
2016-19,K200,WITHIN20,192,-0.007936507936507938,-0.023809523809523815,-0.007936507936507938,0.0,-4.367623655728421e-05,-0.000277639746648097,0.234375
2016-19,KOSDAQ,NEUTRAL20,192,0.06287202380952382,0.07142857142857144,0.04836309523809524,0.07142857142857144,0.0017451824760410456,0.001443603659621099,0.2526041666666667
2016-19,KOSDAQ,RAW20,192,0.0740327380952381,0.09523809523809526,0.024429563492063492,0.035714285714285726,0.0014184327586868571,0.0014522840813639395,0.2630208333333333
2016-19,KOSDAQ,WITHIN20,192,0.0553075396825397,0.07142857142857144,0.03509424603174603,0.07142857142857144,0.0020132981174751327,0.0020651012943137155,0.2578125
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,NEUTRAL20,192,0.10776289682539685,0.09523809523809526,0.08209325396825398,0.09523809523809526,0.001212922790890735,0.0011539479446384287,0.2760416666666667
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,RAW20,192,0.12772817460317462,0.1666666666666667,0.09536210317460318,0.11904761904761905,0.0019459670358149001,0.0016714126847023876,0.28125
2016-19,KOSDAQ_PLUS_KOSPI_EX_K200,WITHIN20,192,0.13120039682539683,0.11904761904761905,0.11371527777777779,0.13095238095238096,0.003323802688138016,0.002894685493619172,0.296875
2016-19,KOSPI_ALL,NEUTRAL20,192,0.09697420634920638,0.11904761904761905,0.0892857142857143,0.09523809523809526,0.0013787512156204632,0.0008231362117505704,0.2708333333333333
2016-19,KOSPI_ALL,RAW20,192,0.07428075396825398,0.10714285714285715,0.06770833333333334,0.07142857142857144,0.0008869778409379641,0.0005465267273068473,0.2864583333333333
2016-19,KOSPI_ALL,WITHIN20,192,0.06448412698412699,0.11904761904761905,0.06460813492063493,0.09523809523809526,0.0009148027364255037,0.0007901969158109924,0.2760416666666667
2016-19,KOSPI_EX_K200,NEUTRAL20,192,0.03100198412698413,0.04761904761904763,0.034952362916645434,0.059523809523809534,0.0028370063087413988,0.0015461552545975833,0.2708333333333333
2016-19,KOSPI_EX_K200,RAW20,192,0.06398809523809525,0.059523809523809534,0.028167676765894264,0.04761904761904763,0.0012601972547773414,0.000532571787879819,0.24739583333333334
2016-19,KOSPI_EX_K200,WITHIN20,192,0.06039186507936509,0.10714285714285715,0.042868948034502974,0.059523809523809534,0.0021626906256984268,0.0015349440672705829,0.2708333333333333
2016-19,KOSPI_KOSDAQ_ALL,NEUTRAL20,192,0.10615079365079366,0.10714285714285715,0.09536210317460318,0.13095238095238096,0.0010743316028645827,0.0007462078146075118,0.265625
2016-19,KOSPI_KOSDAQ_ALL,RAW20,192,0.10590277777777779,0.10714285714285715,0.09858630952380953,0.14285714285714288,0.0011429416725722826,0.0005954729631067742,0.2708333333333333
2016-19,KOSPI_KOSDAQ_ALL,WITHIN20,192,0.11346726190476192,0.11904761904761905,0.10391865079365081,0.13095238095238096,0.0018153134643413657,0.001265483529671703,0.28125
2020-22,K200,NEUTRAL20,149,0.03978906999041228,0.07142857142857144,0.03627356983061681,0.023809523809523815,0.0009547876517998585,0.0007301296446744498,0.28523489932885904
2020-22,K200,RAW20,149,0.05880472994566955,0.09523809523809526,0.0302013422818792,0.04761904761904763,0.0003032285477178359,-0.000647356237569017,0.28523489932885904
2020-22,K200,WITHIN20,149,0.0520933205496964,0.023809523809523815,0.026685842122083737,0.07142857142857144,0.0014017027708107678,0.0005544406274325651,0.26174496644295303
2020-22,KOSDAQ,NEUTRAL20,149,0.0594439117929051,0.04761904761904763,0.09955257270693514,0.11904761904761905,0.0007609913030890794,0.0020336071970216605,0.2785234899328859
2020-22,KOSDAQ,RAW20,149,0.03339725151805689,0.07142857142857144,0.06311920741450944,0.09523809523809526,0.001729118944266258,0.0019665871884191246,0.2785234899328859
2020-22,KOSDAQ,WITHIN20,149,0.020933205496963897,0.023809523809523815,0.056088207094918505,0.09523809523809526,0.00019608559146631167,0.0010719742507417417,0.2550335570469799
2020-22,KOSDAQ_PLUS_KOSPI_EX_K200,NEUTRAL20,149,0.03691275167785235,0.07142857142857144,0.041387024608501126,0.04761904761904763,0.0024644604750827274,0.001298435681331568,0.28859060402684567
2020-22,KOSDAQ_PLUS_KOSPI_EX_K200,RAW20,149,0.04538191115372324,0.09523809523809526,0.06327900287631832,0.11904761904761905,0.001840849541106445,0.0019314364126260639,0.28859060402684567
2020-22,KOSDAQ_PLUS_KOSPI_EX_K200,WITHIN20,149,0.03627356983061681,0.04761904761904763,0.05576861617130074,0.04761904761904763,0.0020925684947120512,0.0019025037254796807,0.30201342281879195
2020-22,KOSPI_ALL,NEUTRAL20,149,0.051933525087887504,0.09523809523809526,0.021572387344199424,0.07142857142857144,0.0013282192561835367,0.0007503820782585297,0.27181208053691275
2020-22,KOSPI_ALL,RAW20,149,0.07798018536273571,0.09523809523809526,0.04442313838286994,0.04761904761904763,8.22708787974676e-05,-0.00023138585390601796,0.2751677852348993
2020-22,KOSPI_ALL,WITHIN20,149,0.05145413870246086,0.023809523809523815,0.026046660274848196,0.04761904761904763,0.00047568154275433604,-5.575684840161786e-06,0.28187919463087246
2020-22,KOSPI_EX_K200,NEUTRAL20,149,0.012144455097475235,0.04761904761904763,-0.08300654435122189,-0.07142857142857144,-0.0007777659390573987,-0.004234177841701165,0.2550335570469799
2020-22,KOSPI_EX_K200,RAW20,149,0.03643336529242571,0.023809523809523815,-0.034901392158820155,-0.04761904761904763,0.001304905225277807,-0.0012670709094946596,0.2651006711409396
