sample,spec,universe,lag_steps,approx_trading_days,from_state,to_state,n_from,count,probability
TRAIN,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,1,5,C_FLOW_LHIGH,B_FHIGH_LLOW,92,10,0.10869565217391304
TRAIN,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,1,5,C_FLOW_LHIGH,C_FLOW_LHIGH,92,44,0.4782608695652174
TRAIN,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,1,5,C_FLOW_LHIGH,D_FLOW_LLOW,92,20,0.21739130434782608
TRAIN,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,1,5,D_FLOW_LLOW,A_FHIGH_LHIGH,76,9,0.11842105263157894
TRAIN,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,1,5,D_FLOW_LLOW,B_FHIGH_LLOW,76,14,0.18421052631578946
TRAIN,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,1,5,D_FLOW_LLOW,C_FLOW_LHIGH,76,25,0.32894736842105265
TRAIN,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,1,5,D_FLOW_LLOW,D_FLOW_LLOW,76,28,0.3684210526315789
TRAIN,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,A_FHIGH_LHIGH,A_FHIGH_LHIGH,78,16,0.20512820512820512
TRAIN,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,A_FHIGH_LHIGH,B_FHIGH_LLOW,78,22,0.28205128205128205
TRAIN,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,A_FHIGH_LHIGH,C_FLOW_LHIGH,78,21,0.2692307692307692
TRAIN,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,A_FHIGH_LHIGH,D_FLOW_LLOW,78,19,0.24358974358974358
TRAIN,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,B_FHIGH_LLOW,A_FHIGH_LHIGH,92,29,0.31521739130434784
TRAIN,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,B_FHIGH_LLOW,B_FHIGH_LLOW,92,20,0.21739130434782608
TRAIN,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,B_FHIGH_LLOW,C_FLOW_LHIGH,92,20,0.21739130434782608
TRAIN,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,B_FHIGH_LLOW,D_FLOW_LLOW,92,23,0.25
TRAIN,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,C_FLOW_LHIGH,A_FHIGH_LHIGH,92,19,0.20652173913043478
TRAIN,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,C_FLOW_LHIGH,B_FHIGH_LLOW,92,30,0.32608695652173914
TRAIN,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,C_FLOW_LHIGH,C_FLOW_LHIGH,92,23,0.25
TRAIN,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,C_FLOW_LHIGH,D_FLOW_LLOW,92,20,0.21739130434782608
TRAIN,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,D_FLOW_LLOW,A_FHIGH_LHIGH,75,15,0.2
TRAIN,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,D_FLOW_LLOW,B_FHIGH_LLOW,75,21,0.28
TRAIN,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,D_FLOW_LLOW,C_FLOW_LHIGH,75,25,0.3333333333333333
TRAIN,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,D_FLOW_LLOW,D_FLOW_LLOW,75,14,0.18666666666666668
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,1,5,A_FHIGH_LHIGH,A_FHIGH_LHIGH,38,17,0.4473684210526316
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,1,5,A_FHIGH_LHIGH,B_FHIGH_LLOW,38,9,0.23684210526315788
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,1,5,A_FHIGH_LHIGH,C_FLOW_LHIGH,38,8,0.21052631578947367
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,1,5,A_FHIGH_LHIGH,D_FLOW_LLOW,38,4,0.10526315789473684
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,1,5,B_FHIGH_LLOW,A_FHIGH_LHIGH,56,12,0.21428571428571427
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,1,5,B_FHIGH_LLOW,B_FHIGH_LLOW,56,34,0.6071428571428571
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,1,5,B_FHIGH_LLOW,C_FLOW_LHIGH,56,2,0.03571428571428571
