source,destination,period,n_factors,median_incremental_oos_r2,mean_incremental_oos_r2,positive_factor_count,median_source_coef,median_augmented_prediction_ic,median_local_diffusion_ic,reverse_median_incremental_oos_r2,directional_advantage_vs_reverse
K200,KOSDAQ,CONF_2023_2024,8,-0.008867897555847937,-0.006906574537272225,2,-0.010283563910730908,,0.00471412791920892,0.0002606959617178495,-0.009128593517565786
K200,KOSDAQ,DISC_2016_2019,8,0.002886004417297139,0.006320907145277818,8,-0.010283563910730908,0.05003266590788625,0.0005900408015679631,0.0009982912181931147,0.0018877131991040241
K200,KOSDAQ,STRESS_2025,8,-0.006437429335156009,0.002887633279812299,2,-0.010283563910730908,,-0.01280612244897959,-0.005429486398543348,-0.0010079429366126602
K200,KOSDAQ,STRESS_2026,8,-0.004558177106209094,-0.02531377749507535,3,-0.010283563910730908,,-0.05344827586206896,0.003258303605845836,-0.00781648071205493
K200,KOSDAQ,VAL_2020_2022,8,-0.006897159798804786,-0.015938210914809264,4,-0.010283563910730908,,0.05853796407008296,0.0026451562342573176,-0.009542316033062104
K200,KOSDAQ_PLUS_KOSPI_EX_K200,CONF_2023_2024,8,0.003069886636588859,0.0056284942492215995,5,-0.011986016698071972,,0.020947296444350935,0.0022515000884885117,0.0008183865481003472
K200,KOSDAQ_PLUS_KOSPI_EX_K200,DISC_2016_2019,8,0.0034890194334725178,0.008185777399577557,8,-0.011986016698071972,0.10754109946460783,-0.027941934807887477,0.001958913148500163,0.0015301062849723546
K200,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,8,0.0008650713928942122,0.013214734434464859,4,-0.011986016698071972,,-0.05198979591836734,0.002870771666648453,-0.0020057002737542406
K200,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,8,-0.0003507739177865399,-0.02491287532866522,4,-0.011986016698071972,,0.026108374384236452,0.001371099190024705,-0.0017218731078112448
K200,KOSDAQ_PLUS_KOSPI_EX_K200,VAL_2020_2022,8,-0.007625325450109854,-0.017201734590254272,2,-0.011986016698071972,,0.06968438236894613,0.0015281102675497316,-0.009153435717659586
K200,KOSPI_ALL,CONF_2023_2024,8,0.009214068859317193,0.0018297097380146482,6,-0.11229542552549085,,-0.032229644435093616,-0.0017857267789334053,0.010999795638250598
K200,KOSPI_ALL,DISC_2016_2019,8,0.006282650008049728,0.010049552020673244,8,-0.11229542552549085,0.07397616005062188,-0.02292530395730011,0.001621159398659977,0.004661490609389751
K200,KOSPI_ALL,STRESS_2025,8,-0.010399102744199418,-0.02135114928566649,2,-0.11229542552549085,,0.0408673469387755,0.001532157689133451,-0.011931260433332869
K200,KOSPI_ALL,STRESS_2026,8,-0.012061981861879456,-0.01897825571982799,3,-0.11229542552549085,,0.003201970443349752,0.0038463467373694438,-0.0159083285992489
K200,KOSPI_ALL,VAL_2020_2022,8,-0.0045677062612113906,-0.0031288054661623155,1,-0.11229542552549085,,-0.06492720360409718,-0.0018200674945322293,-0.0027476387666791613
K200,KOSPI_EX_K200,CONF_2023_2024,8,0.010229508321011715,0.011083117416462063,5,0.008533953898252612,,0.0013675573322112348,0.0028574907903734514,0.007372017530638264
K200,KOSPI_EX_K200,DISC_2016_2019,8,0.004526357828347538,0.0065830140997770875,8,0.008533953898252612,0.08495354866809382,-0.0223590948872718,0.005799361756917254,-0.001273003928569716
K200,KOSPI_EX_K200,STRESS_2025,8,-0.00013064494792403014,0.012948485289051667,4,0.008533953898252612,,0.10051020408163264,0.0004996854422345542,-0.0006303303901585844
K200,KOSPI_EX_K200,STRESS_2026,8,-0.0022963698420631617,-0.01790565934812853,3,0.008533953898252612,,-0.03497536945812807,0.011748760948472103,-0.014045130790535265
K200,KOSPI_EX_K200,VAL_2020_2022,8,-0.012972775645031076,-0.0127938009668076,1,0.008533953898252612,,0.00037010850050159944,-0.0015379106690495137,-0.011434864975981562
K200,KOSPI_KOSDAQ_ALL,CONF_2023_2024,8,0.009175120487412258,0.012519076703531501,7,-0.031785490085616014,,-0.010841836734693877,0.002787762270546612,0.006387358216865646
K200,KOSPI_KOSDAQ_ALL,DISC_2016_2019,8,0.002298289423941724,0.007551001890199069,8,-0.031785490085616014,0.101994058502792,0.04048846831817826,0.0022443495907037425,5.393983323798146e-05
K200,KOSPI_KOSDAQ_ALL,STRESS_2025,8,0.001008635658030943,3.130793341896143e-06,4,-0.031785490085616014,,-0.0910204081632653,0.006740752850355303,-0.00573211719232436
K200,KOSPI_KOSDAQ_ALL,STRESS_2026,8,-0.0025709033194435404,-0.020641305294209406,3,-0.031785490085616014,,-0.012068965517241376,-0.0017554667149006775,-0.0008154366045428629
K200,KOSPI_KOSDAQ_ALL,VAL_2020_2022,8,-0.004118584612381571,-0.00931858635352377,2,-0.031785490085616014,,0.009195260182796136,0.0018077455042947999,-0.0059263301166763704
KOSDAQ,K200,CONF_2023_2024,8,0.0002606959617178495,0.0037153379790733077,5,0.0065103413268361235,,0.03660188302124973,-0.008867897555847937,0.009128593517565786
KOSDAQ,K200,DISC_2016_2019,8,0.0009982912181931147,0.0018160688019490667,8,0.0065103413268361235,0.04948535786632041,-0.014008653897515336,0.002886004417297139,-0.0018877131991040241
KOSDAQ,K200,STRESS_2025,8,-0.005429486398543348,-0.0033143077442933794,3,0.0065103413268361235,,0.11301020408163265,-0.006437429335156009,0.0010079429366126602
KOSDAQ,K200,STRESS_2026,8,0.003258303605845836,0.0017162827210524534,5,0.0065103413268361235,,-0.031527093596059104,-0.004558177106209094,0.00781648071205493
KOSDAQ,K200,VAL_2020_2022,8,0.0026451562342573176,0.0021661286594749363,6,0.0065103413268361235,,0.02496325938320186,-0.006897159798804786,0.009542316033062104
KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,CONF_2023_2024,8,-0.0006320988426986585,-0.00627962897670957,4,0.05238948068450108,,0.0313223227435304,-0.020783933815520128,0.02015183497282147
KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,DISC_2016_2019,8,0.0022522616027146336,0.005934694100078297,8,0.05238948068450108,0.10514149063371861,0.029508678551030718,0.005845251942025065,-0.003592990339310431
KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,8,-0.004645551990450358,-0.000561574501894091,2,0.05238948068450108,,-0.017499999999999998,-0.011566430835409758,0.006920878844959399
KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,8,-0.0033963488571059353,-0.004877303350236589,2,0.05238948068450108,,0.009605911330049257,-0.023141279803330694,0.01974493094622476
KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,VAL_2020_2022,8,0.001284060091838124,0.0010182724142884653,5,0.05238948068450108,,-0.0033029907047164965,-0.012138454832405277,0.0134225149242434
KOSDAQ,KOSPI_ALL,CONF_2023_2024,8,0.0027863755136650625,0.0035128944277771773,8,0.0165720082052055,,-0.02672654113191668,-0.018515404693295268,0.02130178020696033
KOSDAQ,KOSPI_ALL,DISC_2016_2019,8,0.0008457073681371607,0.00238226333145386,8,0.0165720082052055,0.0584608810344615,0.01773327361704051,0.004675011422842046,-0.003829304054704885
KOSDAQ,KOSPI_ALL,STRESS_2025,8,-0.001748011114010628,0.0025468981382120864,4,0.0165720082052055,,0.03331632653061224,-0.007762504441300444,0.006014493327289816
KOSDAQ,KOSPI_ALL,STRESS_2026,8,-0.0005293115750820698,-0.0013073470541632715,3,0.0165720082052055,,-0.04458128078817733,0.00263168148675047,-0.00316099306183254
KOSDAQ,KOSPI_ALL,VAL_2020_2022,8,0.000705033528076271,0.0035136356852809025,7,0.0165720082052055,,0.023853563192009986,-0.033312742675616014,0.034017776203692285
KOSDAQ,KOSPI_EX_K200,CONF_2023_2024,8,0.0002646473397727722,-0.002428021679374656,4,0.08268020641467759,,0.03253865979381443,-0.001887062307822207,0.0021517096475949793
KOSDAQ,KOSPI_EX_K200,DISC_2016_2019,8,0.00896195889196566,0.008516891039082097,8,0.08268020641467759,0.08795305970670533,0.015000020544596156,0.0037023509452904224,0.005259607946675238
KOSDAQ,KOSPI_EX_K200,STRESS_2025,8,0.0056588306252922105,0.005463790593221121,5,0.08268020641467759,,-0.05198979591836733,-0.010221157545649784,0.015879988170941994
KOSDAQ,KOSPI_EX_K200,STRESS_2026,8,-0.0002239883054757641,-0.0030090355032876964,4,0.08268020641467759,,0.07389162561576353,0.004701476556245587,-0.0049254648617213515
KOSDAQ,KOSPI_EX_K200,VAL_2020_2022,8,0.004648139078861191,0.0016720069180070074,6,0.08268020641467759,,-0.05488844549247235,-0.015017279791546878,0.01966541887040807
KOSDAQ,KOSPI_KOSDAQ_ALL,CONF_2023_2024,8,-3.0349273987706482e-05,-0.0002139418343583277,4,-0.010208875246069721,,-0.015181201346517983,-0.017477997641514476,0.01744764836752677
KOSDAQ,KOSPI_KOSDAQ_ALL,DISC_2016_2019,8,0.0014860049835303535,0.0051742315341586215,8,-0.010208875246069721,0.04328746409831821,0.030354229926902322,0.006427011421999529,-0.004941006438469175
KOSDAQ,KOSPI_KOSDAQ_ALL,STRESS_2025,8,0.0024592433635994837,0.0026091129493774484,4,-0.010208875246069721,,0.004081632653061221,-0.0011161724141510176,0.0035754157777505013
KOSDAQ,KOSPI_KOSDAQ_ALL,STRESS_2026,8,-0.0020964880072501524,-0.0021318742838689897,2,-0.010208875246069721,,-0.0647783251231527,-0.017162954419497445,0.015066466412247292
KOSDAQ,KOSPI_KOSDAQ_ALL,VAL_2020_2022,8,-0.0019475878860674145,-0.0017041619083860149,3,-0.010208875246069721,,0.04471146122152834,-0.01389416372573149,0.011946575839664075
KOSDAQ_PLUS_KOSPI_EX_K200,K200,CONF_2023_2024,8,0.0022515000884885117,3.0508855073677066e-05,6,0.04518251686567665,,0.0197835577529981,0.003069886636588859,-0.0008183865481003472
KOSDAQ_PLUS_KOSPI_EX_K200,K200,DISC_2016_2019,8,0.001958913148500163,0.0027205522218752415,8,0.04518251686567665,0.008376442744264974,-0.01804801683013317,0.0034890194334725178,-0.0015301062849723546
KOSDAQ_PLUS_KOSPI_EX_K200,K200,STRESS_2025,8,0.002870771666648453,0.0032387137064070898,6,0.04518251686567665,,0.07214285714285713,0.0008650713928942122,0.0020057002737542406
KOSDAQ_PLUS_KOSPI_EX_K200,K200,STRESS_2026,8,0.001371099190024705,0.0030884271668340235,4,0.04518251686567665,,0.09679802955665023,-0.0003507739177865399,0.0017218731078112448
KOSDAQ_PLUS_KOSPI_EX_K200,K200,VAL_2020_2022,8,0.0015281102675497316,-0.0009564806993809932,5,0.04518251686567665,,0.0210282190147962,-0.007625325450109854,0.009153435717659586
KOSDAQ_PLUS_KOSPI_EX_K200,KOSDAQ,CONF_2023_2024,8,-0.020783933815520128,-0.020753252422085894,2,0.10800226956476007,,0.002149957921312855,-0.0006320988426986585,-0.02015183497282147
KOSDAQ_PLUS_KOSPI_EX_K200,KOSDAQ,DISC_2016_2019,8,0.005845251942025065,0.009503621442566432,8,0.10800226956476007,0.12899623212106517,0.013561898813755018,0.0022522616027146336,0.003592990339310431
KOSDAQ_PLUS_KOSPI_EX_K200,KOSDAQ,STRESS_2025,8,-0.011566430835409758,-0.023099426941065385,3,0.10800226956476007,,-0.06561224489795918,-0.004645551990450358,-0.006920878844959399
KOSDAQ_PLUS_KOSPI_EX_K200,KOSDAQ,STRESS_2026,8,-0.023141279803330694,-0.012227219432414088,2,0.10800226956476007,,-0.05049261083743842,-0.0033963488571059353,-0.01974493094622476
KOSDAQ_PLUS_KOSPI_EX_K200,KOSDAQ,VAL_2020_2022,8,-0.012138454832405277,-0.013750109412589598,1,0.10800226956476007,,-0.04388436237908913,0.001284060091838124,-0.0134225149242434
KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_ALL,CONF_2023_2024,8,-0.0024787610393628423,-4.237047266346383e-05,2,0.037643026328708994,,0.003734483484115295,-0.0025465167301258473,6.775569076300503e-05
KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_ALL,DISC_2016_2019,8,0.0010910860354655383,0.0034281044595630833,8,0.037643026328708994,0.02775739297292633,0.012615203822938452,0.002499204912016495,-0.0014081188765509567
KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_ALL,STRESS_2025,8,0.0019286941501505672,0.003934616955882347,4,0.037643026328708994,,0.038418367346938764,-0.0023623663777392334,0.004291060527889801
KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_ALL,STRESS_2026,8,-0.003642306449557209,-0.002909701477540369,2,0.037643026328708994,,0.0839901477832512,0.0005773453361099801,-0.004219651785667189
KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_ALL,VAL_2020_2022,8,0.00028376559462078843,0.0006660707924424497,4,0.037643026328708994,,0.039667279935736315,-0.009269571560304057,0.009553337154924846
KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_EX_K200,CONF_2023_2024,8,-0.0008833564458323728,-0.012253952424275863,4,0.06864400000943327,,0.01878418893330528,0.0019213179714466233,-0.002804674417278996
KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_EX_K200,DISC_2016_2019,8,0.006740311722983283,0.009337082747913825,8,0.06864400000943327,0.08508503408348501,0.023261413550393836,0.003395365151717733,0.00334494657126555
KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_EX_K200,STRESS_2025,8,6.613230654317626e-05,0.0035012109070208935,4,0.06864400000943327,,-0.04862244897959182,-0.0058357219885921685,0.005901854295135345
KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_EX_K200,STRESS_2026,8,-0.0030801184736362064,-0.00881224548981055,2,0.06864400000943327,,0.031527093596059104,-0.0034068899510308337,0.0003267714773946273
KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_EX_K200,VAL_2020_2022,8,0.005222930248064861,0.0022904357437677075,6,0.06864400000943327,,-0.08401544401544403,-0.002545495821725141,0.007768426069790002
KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,CONF_2023_2024,8,0.0030059688797542394,0.0022087116834816345,5,0.12122474584081536,,-0.06908794445613296,0.0011100094631626423,0.0018959594165915972
KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,DISC_2016_2019,8,0.005566608080396329,0.006324220310328518,8,0.12122474584081536,0.1266294946440238,-0.033744910076302634,0.0023831510763254737,0.0031834570040708554
KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,STRESS_2025,8,-0.009201762595070884,-0.0066815287501825055,2,0.12122474584081536,,0.02239795918367346,-0.0003857698233228346,-0.008815992771748049
KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,STRESS_2026,8,0.0003372923252327187,-0.001560418182361245,4,0.12122474584081536,,-0.08226600985221673,-0.0043380010363431865,0.004675293361575905
KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,VAL_2020_2022,8,-0.0014879677971301186,-0.010354853502890338,3,0.12122474584081536,,0.04313426150434779,-0.0024343139377296374,0.0009463461405995188
KOSPI_ALL,K200,CONF_2023_2024,8,-0.0017857267789334053,-0.004552777781865011,3,0.05145978736734262,,-0.05675362928676625,0.009214068859317193,-0.010999795638250598
KOSPI_ALL,K200,DISC_2016_2019,8,0.001621159398659977,0.006443248973903637,8,0.05145978736734262,-0.016505528550825276,0.008753641529668451,0.006282650008049728,-0.004661490609389751
KOSPI_ALL,K200,STRESS_2025,8,0.001532157689133451,-0.002556057382162649,5,0.05145978736734262,,-0.09683673469387755,-0.010399102744199418,0.011931260433332869
KOSPI_ALL,K200,STRESS_2026,8,0.0038463467373694438,0.010231655418459079,5,0.05145978736734262,,-0.05073891625615763,-0.012061981861879456,0.0159083285992489
KOSPI_ALL,K200,VAL_2020_2022,8,-0.0018200674945322293,-0.0032608851238587616,2,0.05145978736734262,,0.026392015903041792,-0.0045677062612113906,0.0027476387666791613
KOSPI_ALL,KOSDAQ,CONF_2023_2024,8,-0.018515404693295268,-0.0210035829863221,2,0.05464173992882837,,-0.01350462865558594,0.0027863755136650625,-0.02130178020696033
KOSPI_ALL,KOSDAQ,DISC_2016_2019,8,0.004675011422842046,0.008069663175222577,8,0.05464173992882837,0.09120568016994489,-0.0044072267671434375,0.0008457073681371607,0.003829304054704885
KOSPI_ALL,KOSDAQ,STRESS_2025,8,-0.007762504441300444,-0.008104451339314742,3,0.05464173992882837,,0.03510204081632652,-0.001748011114010628,-0.006014493327289816
