factor,universe,period,n,local_next5_ic
MOM1M,KOSPI_KOSDAQ_ALL,STRESS_2026,29,-0.16600985221674872
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,DISC_2016_2019,194,0.08389673464188714
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,VAL_2020_2022,149,-0.1473789225467078
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,CONF_2023_2024,97,-0.1375184094256259
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,49,0.08142857142857142
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,29,-0.01970443349753694
OP12_REV,K200,DISC_2016_2019,193,0.033919128251695956
OP12_REV,K200,VAL_2020_2022,148,0.027189907343310993
OP12_REV,K200,CONF_2023_2024,97,-0.05541237113402061
OP12_REV,K200,STRESS_2025,49,-0.3524489795918367
OP12_REV,K200,STRESS_2026,29,-0.18571428571428567
OP12_REV,KOSDAQ,DISC_2016_2019,193,-0.0536880374979969
OP12_REV,KOSDAQ,VAL_2020_2022,148,0.047538841402695674
OP12_REV,KOSDAQ,CONF_2023_2024,97,-0.16187144961077213
OP12_REV,KOSDAQ,STRESS_2025,49,-0.1956122448979592
OP12_REV,KOSDAQ,STRESS_2026,29,0.15812807881773394
OP12_REV,KOSPI_EX_K200,DISC_2016_2019,193,-0.03186428342503071
OP12_REV,KOSPI_EX_K200,VAL_2020_2022,148,0.06306059517948301
OP12_REV,KOSPI_EX_K200,CONF_2023_2024,97,-0.0469966337050284
OP12_REV,KOSPI_EX_K200,STRESS_2025,49,-0.07887755102040815
OP12_REV,KOSPI_EX_K200,STRESS_2026,29,-0.3270935960591132
OP12_REV,KOSPI_ALL,DISC_2016_2019,193,-0.10478373217242669
OP12_REV,KOSPI_ALL,VAL_2020_2022,148,-0.014951672669793477
OP12_REV,KOSPI_ALL,CONF_2023_2024,97,-0.19712549968440984
OP12_REV,KOSPI_ALL,STRESS_2025,49,-0.07989795918367347
OP12_REV,KOSPI_ALL,STRESS_2026,29,0.020197044334975364
OP12_REV,KOSPI_KOSDAQ_ALL,DISC_2016_2019,193,-0.09649090593451204
OP12_REV,KOSPI_KOSDAQ_ALL,VAL_2020_2022,148,-0.20648041549287957
OP12_REV,KOSPI_KOSDAQ_ALL,CONF_2023_2024,97,0.008797075531243424
OP12_REV,KOSPI_KOSDAQ_ALL,STRESS_2025,49,-0.3388775510204081
OP12_REV,KOSPI_KOSDAQ_ALL,STRESS_2026,29,0.12857142857142856
OP12_REV,KOSDAQ_PLUS_KOSPI_EX_K200,DISC_2016_2019,193,-0.02115104695262005
OP12_REV,KOSDAQ_PLUS_KOSPI_EX_K200,VAL_2020_2022,148,-0.05781881045543558
OP12_REV,KOSDAQ_PLUS_KOSPI_EX_K200,CONF_2023_2024,97,-0.1488007574163686
OP12_REV,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,49,-0.09979591836734694
OP12_REV,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,29,-0.16551724137931031
OPFY1_REV,K200,DISC_2016_2019,194,0.06184498691309224
OPFY1_REV,K200,VAL_2020_2022,148,0.03565968379007689
OPFY1_REV,K200,CONF_2023_2024,97,0.013636124552913947
OPFY1_REV,K200,STRESS_2025,49,-0.23224489795918365
OPFY1_REV,K200,STRESS_2026,29,0.050738916256157625
OPFY1_REV,KOSDAQ,DISC_2016_2019,194,0.037627016965727504
OPFY1_REV,KOSDAQ,VAL_2020_2022,148,0.0504521779689565
OPFY1_REV,KOSDAQ,CONF_2023_2024,97,0.09630759520302964
OPFY1_REV,KOSDAQ,STRESS_2025,49,-0.07755102040816325
OPFY1_REV,KOSDAQ,STRESS_2026,29,0.070935960591133
OPFY1_REV,KOSPI_EX_K200,DISC_2016_2019,194,-0.0467767583092619
OPFY1_REV,KOSPI_EX_K200,VAL_2020_2022,148,0.0797854422015496
OPFY1_REV,KOSPI_EX_K200,CONF_2023_2024,97,-0.003695034714916894
OPFY1_REV,KOSPI_EX_K200,STRESS_2025,49,0.016632653061224488
OPFY1_REV,KOSPI_EX_K200,STRESS_2026,29,-0.15073891625615762
OPFY1_REV,KOSPI_ALL,DISC_2016_2019,194,0.12488731289009052
