factor,source,destination,period,n,source_coef_discovery,baseline_mse,augmented_mse,incremental_oos_r2,baseline_prediction_ic,augmented_prediction_ic
MOM1M,K200,KOSDAQ,DISC_2016_2019,194,-0.19488854637706363,0.9989275678289092,0.967600314085443,0.03136088616670529,,
MOM1M,K200,KOSDAQ,VAL_2020_2022,149,-0.19488854637706363,1.0984187115416841,1.207352063420633,-0.09917288437854044,,
MOM1M,K200,KOSDAQ,CONF_2023_2024,97,-0.19488854637706363,1.0810520539857447,1.1073327847040544,-0.024310328648296853,,
MOM1M,K200,KOSDAQ,STRESS_2025,49,-0.19488854637706363,1.204286325502134,1.1143448195165764,0.07468448663822214,,
MOM1M,K200,KOSDAQ,STRESS_2026,29,-0.19488854637706363,2.10639257442609,2.5109887573200123,-0.19208014109343274,,
MOM1M,K200,KOSPI_EX_K200,DISC_2016_2019,194,-0.1352893298818418,0.9881099769634303,0.9761241426080207,0.012130061060858122,,
MOM1M,K200,KOSPI_EX_K200,VAL_2020_2022,149,-0.1352893298818418,1.8744851452714368,1.9299189333580289,-0.02957280735269041,,
MOM1M,K200,KOSPI_EX_K200,CONF_2023_2024,97,-0.1352893298818418,1.6905027152395673,1.6512947998354888,0.023193050830753736,,
MOM1M,K200,KOSPI_EX_K200,STRESS_2025,49,-0.1352893298818418,0.9521136300379235,0.8898734254570119,0.06537056357278759,,
MOM1M,K200,KOSPI_EX_K200,STRESS_2026,29,-0.1352893298818418,2.281963203138829,2.5541262608656554,-0.11926706677498888,,
MOM1M,K200,KOSPI_ALL,DISC_2016_2019,194,-0.16619810425658205,0.9649402976127428,0.9583203785895337,0.00686044415347431,,
MOM1M,K200,KOSPI_ALL,VAL_2020_2022,149,-0.16619810425658205,2.1661250611456206,2.181171669953172,-0.006946325065642078,,
MOM1M,K200,KOSPI_ALL,CONF_2023_2024,97,-0.16619810425658205,2.10915900223242,2.0695996975252045,0.018755961340678584,,
MOM1M,K200,KOSPI_ALL,STRESS_2025,49,-0.16619810425658205,1.4646147786133186,1.4911582595283968,-0.018123182493221313,,
MOM1M,K200,KOSPI_ALL,STRESS_2026,29,-0.16619810425658205,3.8688220775101096,4.262952528782035,-0.10187350138509843,,
MOM1M,K200,KOSPI_KOSDAQ_ALL,DISC_2016_2019,194,-0.26800033456119565,0.9846957413336764,0.9542334661309728,0.030935723517444447,,
MOM1M,K200,KOSPI_KOSDAQ_ALL,VAL_2020_2022,149,-0.26800033456119565,1.831228546716194,1.922910813090828,-0.0500659879614922,,
MOM1M,K200,KOSPI_KOSDAQ_ALL,CONF_2023_2024,97,-0.26800033456119565,1.7164743505031526,1.6486189402290239,0.03953185216792676,,
MOM1M,K200,KOSPI_KOSDAQ_ALL,STRESS_2025,49,-0.26800033456119565,1.6570160466119055,1.5955914007779126,0.03706943331030954,,
MOM1M,K200,KOSPI_KOSDAQ_ALL,STRESS_2026,29,-0.26800033456119565,3.004270381341512,3.6631662740585007,-0.21931977121938284,,
MOM1M,K200,KOSDAQ_PLUS_KOSPI_EX_K200,DISC_2016_2019,194,-0.2240490728810663,0.9950872156767736,0.9614354530140196,0.03381790272510632,,
MOM1M,K200,KOSDAQ_PLUS_KOSPI_EX_K200,VAL_2020_2022,149,-0.2240490728810663,1.456213377777563,1.600237392991321,-0.09890309855109547,,
MOM1M,K200,KOSDAQ_PLUS_KOSPI_EX_K200,CONF_2023_2024,97,-0.2240490728810663,1.4327197931889526,1.3867793344726056,0.03206520837831983,,
