date,factor,period,common,z_K200,local_K200,z_KOSDAQ,local_KOSDAQ,z_KOSPI_EX_K200,local_KOSPI_EX_K200,z_KOSPI_ALL,local_KOSPI_ALL,z_KOSPI_KOSDAQ_ALL,local_KOSPI_KOSDAQ_ALL,z_KOSDAQ_PLUS_KOSPI_EX_K200,local_KOSDAQ_PLUS_KOSPI_EX_K200
2016-01-11,FOREIGN_FLOW,DISC_2016_2019,1.864531861546715,4.365954499251096,2.5014226377043807,1.7459430936719054,-0.11858876787480965,-1.0317519920774576,-2.8962838536241726,2.601474899825497,0.7369430382787818,2.6605165609913684,0.7959846994446533,0.8450541076178796,-1.0194777539288356
2016-01-18,FOREIGN_FLOW,DISC_2016_2019,0.5261583601212284,0.08004964492063335,-0.44610871520059503,0.2766511472895748,-0.2495072128316536,0.6379748360511116,0.1118164759298832,0.8480123311983438,0.32185397107711544,0.661250724819378,0.13509236469814956,0.6530114764483295,0.12685311632710106
2016-01-25,FOREIGN_FLOW,DISC_2016_2019,-0.06741871869124899,0.857310017117546,0.924728735808795,-0.34819074569020875,-0.28077202699895976,-0.6535858540230488,-0.5861671353317999,0.29530999760555043,0.3627287162967994,0.1350860713356464,0.2025047900268954,-0.6904417984929792,-0.6230230798017302
2016-02-01,FOREIGN_FLOW,DISC_2016_2019,0.4275514480027623,-0.38854900929245717,-0.8161004572952195,0.8880758277510442,0.4605243797482819,0.46066758758500026,0.03311613958223797,-0.08867678790711887,-0.5162282359098812,0.4992798253009625,0.0717283772982002,1.194511244579143,0.7669597965763808
2016-02-11,FOREIGN_FLOW,DISC_2016_2019,-0.966255480567466,-1.1261955923963565,-0.15994011182889045,0.5137015549527505,1.4799570355202165,-2.0612186818324316,-1.0949632012649655,-1.5166455983652294,-0.5503901177977634,-1.275604380180125,-0.3093488996126589,-0.33157018558340373,0.6346852949840622
2016-02-18,FOREIGN_FLOW,DISC_2016_2019,-0.8221192935155974,-0.9405793373123272,-0.11846004379672981,0.8078334815663274,1.6299527750819247,-1.229412083166928,-0.40729278965133053,-1.8061403205857365,-0.984021027070139,-1.6328510635614188,-0.8107317700458214,-0.13156643803350102,0.6905528554820964
2016-02-25,FOREIGN_FLOW,DISC_2016_2019,-0.5252916605168619,0.31973852771760936,0.8450301882344713,-0.7002053101369751,-0.17491364962011313,-0.6583831382236062,-0.13309147770674423,-0.3983213903853317,0.12697027013153023,-0.6624569143198336,-0.13716525380297162,-1.0521217377530343,-0.5268300772361724
2016-03-04,FOREIGN_FLOW,DISC_2016_2019,0.07558245182252372,1.47209812617468,1.3965156743521563,-2.0239537605743307,-2.0995362123968544,0.2711925714659177,0.19561011964339398,1.4408838904006125,1.3653014385780888,0.21490441156451517,0.13932195974199146,-0.921630528096252,-0.9972129799187758
2016-03-11,FOREIGN_FLOW,DISC_2016_2019,-0.7785350497433118,-0.10132668971040129,0.6772083600329105,-0.5088859293908243,0.26964912035248745,-0.0631526413820231,0.7153824083612886,-1.3500429015245887,-0.5715078517812769,-1.2242687789593956,-0.4457337292160838,-1.423533357492638,-0.6449983077493263
2016-03-18,FOREIGN_FLOW,DISC_2016_2019,0.030332472023811036,-0.6460682027705678,-0.6764006747943788,-0.5709309187346177,-0.6012633907584287,0.6152574727458566,0.5849250007220456,0.24371088408008382,0.21337841205627278,0.2348028887131441,0.20447041668933305,0.3052227081089671,0.27489023608515606
2016-03-25,FOREIGN_FLOW,DISC_2016_2019,-0.9622648747313223,-1.0518003416891148,-0.08953546695779258,-0.385723190386564,0.5765416843447583,-1.1043981398885219,-0.1421332651571996,-1.4305124724352867,-0.4682475977039644,-1.0551089973983407,-0.09284412266701847,-0.7460461065901056,0.21621876814121666
