period,median_common_next5_ic,positive_common_factor_count,median_local_next5_ic,negative_local_series_count,median_common_variance_share
DISC_2016_2019,0.08491574661116885,5,-0.019285199570207044,28,0.6827830840054403
VAL_2020_2022,-0.006619085871243109,4,-0.0042897862936213844,26,0.696721948211301
CONF_2023_2024,-0.06865400799495056,2,-0.020888123290553333,26,0.7334893687862523
STRESS_2025,-0.013724489795918364,4,-0.046683673469387746,27,0.6863834524633672
STRESS_2026,0.09359605911330048,5,-0.0482758620689655,33,0.6792698347245542
