era,universe,x,y,nonoverlap,n,ic,excluded_factor
2023_2024,KOSPI_KOSDAQ_ALL,loo_OP12_REV_current20,loo_OP12_REV_future20,False,97,0.22143909110035767,OP12_REV
2025,K200,loo_OP12_REV_current20,loo_OP12_REV_future20,False,49,-0.11051020408163266,OP12_REV
2025,KOSDAQ,loo_OP12_REV_current20,loo_OP12_REV_future20,False,49,0.1556122448979592,OP12_REV
2025,KOSDAQ_PLUS_KOSPI_EX_K200,loo_OP12_REV_current20,loo_OP12_REV_future20,False,49,-0.06632653061224489,OP12_REV
2025,KOSPI_ALL,loo_OP12_REV_current20,loo_OP12_REV_future20,False,49,-0.07785714285714285,OP12_REV
2025,KOSPI_EX_K200,loo_OP12_REV_current20,loo_OP12_REV_future20,False,49,0.021428571428571425,OP12_REV
2025,KOSPI_KOSDAQ_ALL,loo_OP12_REV_current20,loo_OP12_REV_future20,False,49,-0.23285714285714285,OP12_REV
2026,K200,loo_OP12_REV_current20,loo_OP12_REV_future20,False,17,0.06862745098039216,OP12_REV
2026,KOSDAQ,loo_OP12_REV_current20,loo_OP12_REV_future20,False,17,-0.32352941176470595,OP12_REV
2026,KOSDAQ_PLUS_KOSPI_EX_K200,loo_OP12_REV_current20,loo_OP12_REV_future20,False,17,-0.49754901960784315,OP12_REV
2026,KOSPI_ALL,loo_OP12_REV_current20,loo_OP12_REV_future20,False,17,-0.019607843137254905,OP12_REV
2026,KOSPI_EX_K200,loo_OP12_REV_current20,loo_OP12_REV_future20,False,17,-0.06372549019607844,OP12_REV
2026,KOSPI_KOSDAQ_ALL,loo_OP12_REV_current20,loo_OP12_REV_future20,False,17,-0.27450980392156865,OP12_REV
2016_2019,K200,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,184,0.1878676966346246,OPFY1_REV
2016_2019,KOSDAQ,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,184,0.1505230105372657,OPFY1_REV
2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,184,0.18612818092504474,OPFY1_REV
2016_2019,KOSPI_ALL,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,184,0.13867003139989595,OPFY1_REV
