horizon,era,median_ic,positive_universes,universe_count
10,2016_2019,0.10402130569628787,6,6
10,2020_2022,0.23960638490839833,6,6
10,2023_2024,0.19759888491479063,6,6
10,2025,0.005306122448979591,3,6
10,2026,0.052696078431372556,3,6
20,2016_2019,0.16441216697809713,6,6
20,2020_2022,0.2374315254852168,6,6
20,2023_2024,0.12104197349042708,6,6
20,2025,-0.06596938775510203,1,6
20,2026,-0.16666666666666669,0,6
40,2016_2019,0.13263759126196759,6,6
40,2020_2022,0.27256484672592063,6,6
40,2023_2024,-0.07148116978750263,1,6
40,2025,-0.09198979591836734,1,6
40,2026,-0.1360294117647059,2,6
60,2016_2019,0.010994779526497274,3,6
60,2020_2022,0.2991456557228369,6,6
60,2023_2024,-0.024274142646749416,3,6
60,2025,-0.1046938775510204,1,6
60,2026,0.1323529411764706,4,6
