era,aggregate_raw_ic,aggregate_norm_ic,n_dates
2016_2019,0.19636107953998186,0.1543218200381422,184
2020_2022,0.2978196988935244,0.11270088880827137,149
2023_2024,0.2032795076793604,0.24258363139070058,97
2025,-0.20459183673469383,-0.04989795918367347,49
2026,-0.06862745098039216,-0.05147058823529412,17
