era,universe,x,y,nonoverlap,n,ic
2016_2019,K200,current_dispersion20,future_dispersion20,True,46,0.1379586802343509
2016_2019,KOSDAQ,current_dispersion20,future_dispersion20,True,46,0.04853530681467777
2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,current_dispersion20,future_dispersion20,True,46,0.1205673758865248
2016_2019,KOSPI_ALL,current_dispersion20,future_dispersion20,True,46,0.11205673758865248
2016_2019,KOSPI_EX_K200,current_dispersion20,future_dispersion20,True,46,0.05889608387295714
2016_2019,KOSPI_KOSDAQ_ALL,current_dispersion20,future_dispersion20,True,46,0.1341350601295097
2020_2022,K200,current_dispersion20,future_dispersion20,True,38,-0.041251778093883355
2020_2022,KOSDAQ,current_dispersion20,future_dispersion20,True,38,0.07867381551592079
2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,current_dispersion20,future_dispersion20,True,38,0.07145201882043987
2020_2022,KOSPI_ALL,current_dispersion20,future_dispersion20,True,38,0.306707517233833
2020_2022,KOSPI_EX_K200,current_dispersion20,future_dispersion20,True,34,0.6605042016806721
2020_2022,KOSPI_KOSDAQ_ALL,current_dispersion20,future_dispersion20,True,38,0.1817485501696028
2023_2024,K200,current_dispersion20,future_dispersion20,True,24,0.05739130434782608
2023_2024,KOSDAQ,current_dispersion20,future_dispersion20,True,24,-0.023478260869565212
2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,current_dispersion20,future_dispersion20,True,24,-0.021739130434782605
2023_2024,KOSPI_ALL,current_dispersion20,future_dispersion20,True,24,-0.09478260869565217
2023_2024,KOSPI_EX_K200,current_dispersion20,future_dispersion20,True,24,0.029565217391304344
2023_2024,KOSPI_KOSDAQ_ALL,current_dispersion20,future_dispersion20,True,24,0.027826086956521737
2025,K200,current_dispersion20,future_dispersion20,True,12,-0.32867132867132864
2025,KOSDAQ,current_dispersion20,future_dispersion20,True,12,0.06993006993006995
2025,KOSDAQ_PLUS_KOSPI_EX_K200,current_dispersion20,future_dispersion20,True,12,0.027972027972027972
2025,KOSPI_ALL,current_dispersion20,future_dispersion20,True,12,0.14685314685314685
2025,KOSPI_EX_K200,current_dispersion20,future_dispersion20,True,12,0.11188811188811189
2025,KOSPI_KOSDAQ_ALL,current_dispersion20,future_dispersion20,True,12,-0.1958041958041958
2026,K200,current_dispersion20,future_dispersion20,True,4,
2026,KOSDAQ,current_dispersion20,future_dispersion20,True,4,
2026,KOSDAQ_PLUS_KOSPI_EX_K200,current_dispersion20,future_dispersion20,True,4,
2026,KOSPI_ALL,current_dispersion20,future_dispersion20,True,4,
2026,KOSPI_EX_K200,current_dispersion20,future_dispersion20,True,4,
2026,KOSPI_KOSDAQ_ALL,current_dispersion20,future_dispersion20,True,4,
