era,universe,x,y,nonoverlap,n,ic,horizon
2016_2019,KOSPI_KOSDAQ_ALL,current_dispersion20,future_dispersion40,False,184,0.22542428387047062,40
2020_2022,K200,current_dispersion20,future_dispersion40,False,149,0.263526210774533,40
2020_2022,KOSDAQ,current_dispersion20,future_dispersion40,False,149,0.10765463450027209,40
2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,current_dispersion20,future_dispersion40,False,149,0.2072773444585525,40
2020_2022,KOSPI_ALL,current_dispersion20,future_dispersion40,False,149,0.4650208597859604,40
2020_2022,KOSPI_EX_K200,current_dispersion20,future_dispersion40,False,133,0.5459595392823986,40
2020_2022,KOSPI_KOSDAQ_ALL,current_dispersion20,future_dispersion40,False,149,0.2816034826773082,40
2023_2024,K200,current_dispersion20,future_dispersion40,False,97,-0.11960866820955186,40
2023_2024,KOSDAQ,current_dispersion20,future_dispersion40,False,97,-0.20997264885335576,40
2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,current_dispersion20,future_dispersion40,False,97,-0.02322217546812539,40
2023_2024,KOSPI_ALL,current_dispersion20,future_dispersion40,False,97,-0.21642909741216074,40
2023_2024,KOSPI_EX_K200,current_dispersion20,future_dispersion40,False,97,0.03601672627814012,40
2023_2024,KOSPI_KOSDAQ_ALL,current_dispersion20,future_dispersion40,False,97,-0.023353671365453396,40
2025,K200,current_dispersion20,future_dispersion40,False,49,-0.0873469387755102,40
2025,KOSDAQ,current_dispersion20,future_dispersion40,False,49,0.10897959183673468,40
2025,KOSDAQ_PLUS_KOSPI_EX_K200,current_dispersion20,future_dispersion40,False,49,-0.21683673469387751,40
2025,KOSPI_ALL,current_dispersion20,future_dispersion40,False,49,-0.021530612244897954,40
2025,KOSPI_EX_K200,current_dispersion20,future_dispersion40,False,49,-0.09663265306122448,40
2025,KOSPI_KOSDAQ_ALL,current_dispersion20,future_dispersion40,False,49,-0.3185714285714285,40
2026,K200,current_dispersion20,future_dispersion40,False,17,-0.27941176470588236,40
2026,KOSDAQ,current_dispersion20,future_dispersion40,False,17,0.37500000000000006,40
2026,KOSDAQ_PLUS_KOSPI_EX_K200,current_dispersion20,future_dispersion40,False,17,0.22549019607843138,40
2026,KOSPI_ALL,current_dispersion20,future_dispersion40,False,17,-0.5490196078431373,40
2026,KOSPI_EX_K200,current_dispersion20,future_dispersion40,False,17,-0.08823529411764706,40
2026,KOSPI_KOSDAQ_ALL,current_dispersion20,future_dispersion40,False,17,-0.18382352941176472,40
2016_2019,K200,current_dispersion20,future_dispersion60,False,184,0.08710870528404384,60
2016_2019,KOSDAQ,current_dispersion20,future_dispersion60,False,184,-0.12265223170426305,60
2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,current_dispersion20,future_dispersion60,False,184,-0.040908477971913465,60
2016_2019,KOSPI_ALL,current_dispersion20,future_dispersion60,False,184,-0.01775924177919901,60
2016_2019,KOSPI_EX_K200,current_dispersion20,future_dispersion60,False,184,0.046620176841131934,60
2016_2019,KOSPI_KOSDAQ_ALL,current_dispersion20,future_dispersion60,False,184,0.03974880083219356,60
2020_2022,K200,current_dispersion20,future_dispersion60,False,149,0.1616034826773082,60
2020_2022,KOSDAQ,current_dispersion20,future_dispersion60,False,149,0.034866678759296214,60
2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,current_dispersion20,future_dispersion60,False,149,0.29697805187738074,60
2020_2022,KOSPI_ALL,current_dispersion20,future_dispersion60,False,149,0.4124251768547071,60
2020_2022,KOSPI_EX_K200,current_dispersion20,future_dispersion60,False,133,0.540884096265086,60
2020_2022,KOSPI_KOSDAQ_ALL,current_dispersion20,future_dispersion60,False,149,0.3013132595682931,60
2023_2024,K200,current_dispersion20,future_dispersion60,False,97,-0.05813433620871028,60
2023_2024,KOSDAQ,current_dispersion20,future_dispersion60,False,97,-0.17496844098464126,60
2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,current_dispersion20,future_dispersion60,False,97,0.09092941300231432,60
2023_2024,KOSPI_ALL,current_dispersion20,future_dispersion60,False,97,-0.09966074058489373,60
2023_2024,KOSPI_EX_K200,current_dispersion20,future_dispersion60,False,97,0.10611718914369872,60
2023_2024,KOSPI_KOSDAQ_ALL,current_dispersion20,future_dispersion60,False,97,0.009586050915211445,60
2025,K200,current_dispersion20,future_dispersion60,False,49,-0.004795918367346938,60
