era,universe,x,y,nonoverlap,n,ic
2016_2019,K200,current_dispersion20_norm,future_dispersion20_norm,False,184,0.21339600470035253
2016_2019,KOSDAQ,current_dispersion20_norm,future_dispersion20_norm,False,184,0.0670590048351987
2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,current_dispersion20_norm,future_dispersion20_norm,False,184,0.1344936525977153
2016_2019,KOSPI_ALL,current_dispersion20_norm,future_dispersion20_norm,False,184,0.08793897247211574
2016_2019,KOSPI_EX_K200,current_dispersion20_norm,future_dispersion20_norm,False,184,0.08223112635086975
2016_2019,KOSPI_KOSDAQ_ALL,current_dispersion20_norm,future_dispersion20_norm,False,184,0.13552040993238426
2020_2022,K200,current_dispersion20_norm,future_dispersion20_norm,False,149,0.0309377834210049
2020_2022,KOSDAQ,current_dispersion20_norm,future_dispersion20_norm,False,149,0.13119898421911846
2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,current_dispersion20_norm,future_dispersion20_norm,False,149,0.1481842916742246
2020_2022,KOSPI_ALL,current_dispersion20_norm,future_dispersion20_norm,False,149,0.11591148195175041
2020_2022,KOSPI_EX_K200,current_dispersion20_norm,future_dispersion20_norm,False,133,0.09018985727548177
2020_2022,KOSPI_KOSDAQ_ALL,current_dispersion20_norm,future_dispersion20_norm,False,149,0.1326900054416833
2023_2024,K200,current_dispersion20_norm,future_dispersion20_norm,False,97,0.2503418893330528
2023_2024,KOSDAQ,current_dispersion20_norm,future_dispersion20_norm,False,97,0.20856564275194614
2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,current_dispersion20_norm,future_dispersion20_norm,False,97,0.2712497370082053
2023_2024,KOSPI_ALL,current_dispersion20_norm,future_dispersion20_norm,False,97,0.15086524300441823
2023_2024,KOSPI_EX_K200,current_dispersion20_norm,future_dispersion20_norm,False,97,0.19502156532716175
2023_2024,KOSPI_KOSDAQ_ALL,current_dispersion20_norm,future_dispersion20_norm,False,97,0.2629391962970755
2025,K200,current_dispersion20_norm,future_dispersion20_norm,False,49,0.07020408163265306
2025,KOSDAQ,current_dispersion20_norm,future_dispersion20_norm,False,49,0.24979591836734694
2025,KOSDAQ_PLUS_KOSPI_EX_K200,current_dispersion20_norm,future_dispersion20_norm,False,49,0.18724489795918367
2025,KOSPI_ALL,current_dispersion20_norm,future_dispersion20_norm,False,49,-0.01908163265306122
2025,KOSPI_EX_K200,current_dispersion20_norm,future_dispersion20_norm,False,49,0.05306122448979591
2025,KOSPI_KOSDAQ_ALL,current_dispersion20_norm,future_dispersion20_norm,False,49,0.004999999999999999
2026,K200,current_dispersion20_norm,future_dispersion20_norm,False,17,0.03676470588235294
2026,KOSDAQ,current_dispersion20_norm,future_dispersion20_norm,False,17,-0.12500000000000003
2026,KOSDAQ_PLUS_KOSPI_EX_K200,current_dispersion20_norm,future_dispersion20_norm,False,17,-0.26470588235294124
2026,KOSPI_ALL,current_dispersion20_norm,future_dispersion20_norm,False,17,0.009803921568627453
2026,KOSPI_EX_K200,current_dispersion20_norm,future_dispersion20_norm,False,17,-0.27450980392156865
2026,KOSPI_KOSDAQ_ALL,current_dispersion20_norm,future_dispersion20_norm,False,17,-0.03186274509803922
