factor,split,n,kq_coef,ex_coef
MOM1M,DISC_2016_2017,96,-0.07815565151796985,0.2683966571929266
MOM1M,DISC_2018_2019,98,0.1424432102545744,-0.1725809564543582
MOM12_1,DISC_2016_2017,96,-0.06880153484990544,-0.03224826594528553
MOM12_1,DISC_2018_2019,98,0.2312864545448019,0.0197636677143275
OP12_REV,DISC_2016_2017,95,-0.2022472317725666,0.2871008312978537
OP12_REV,DISC_2018_2019,98,0.11325622848311287,0.03973665643797719
OPFY1_REV,DISC_2016_2017,96,-0.11295885298889494,0.18167344238209268
OPFY1_REV,DISC_2018_2019,98,0.031107062354845526,-0.009727776778839868
PBR12MF,DISC_2016_2017,96,-0.0025489660865612145,-0.15298976341484766
PBR12MF,DISC_2018_2019,98,0.1654246285028944,-0.17260158489603544
PER12MF,DISC_2016_2017,96,-0.09107972274403826,0.03833667829024072
PER12MF,DISC_2018_2019,98,0.05568886303833261,-0.17479486390456422
PRIVATE_FLOW,DISC_2016_2017,96,0.05741204074403797,0.11144050152624632
PRIVATE_FLOW,DISC_2018_2019,98,-0.0032412925496901196,0.05200430837387318
FOREIGN_FLOW,DISC_2016_2017,96,-0.045186914699132025,0.028787529859223927
FOREIGN_FLOW,DISC_2018_2019,98,-0.08086693154801736,0.08777688018271715
