factor,horizon,coef_kq_mkq,coef_ex_mex,coef_ex_mboth,coef_kq_mboth
MOM1M,NEXT5,0.05525287445708377,-0.004081249967453706,-0.01922744867564128,0.05916929346672534
MOM1M,GAP5,0.0992176417466541,-0.061027273669993304,-0.0912981840913908,0.11779914395017389
MOM1M,NEXT10,0.1542951784610917,-0.07011238803065799,-0.11581904521682512,0.17786729947668262
MOM1M,NEXT20,0.352530924154455,-0.10371949655170404,-0.20745120148894905,0.3947888092355707
MOM12_1,NEXT5,0.08377657939728086,0.03744921597667352,0.012699514299114917,0.08034900927106137
MOM12_1,GAP5,0.09203708104479705,0.182163224934299,0.16773693790926258,0.046248505242386544
MOM12_1,NEXT10,0.17694601521065922,0.2184552910659554,0.17845611653071924,0.12823133422851998
MOM12_1,NEXT20,0.2116179749825765,0.2167964638841613,0.16337173978009115,0.1671721474098558
OP12_REV,NEXT5,-0.009427458635146255,0.14739039679137128,0.15383381873713245,-0.037972749800419356
OP12_REV,GAP5,0.05052434995750754,0.09935635439754112,0.09372173880682368,0.032429547177649905
OP12_REV,NEXT10,0.03916074135874738,0.24729542814446234,0.24883874241660614,-0.008882413040010242
OP12_REV,NEXT20,-0.006838128468332358,0.28983124301912927,0.3011448354354895,-0.06517844032984105
OPFY1_REV,NEXT5,-0.02851916046848619,0.08245989377160541,0.09011231835990001,-0.04494298571662015
OPFY1_REV,GAP5,0.015082966766501518,-0.023589497173207505,-0.026864804589376762,0.01987410809132993
OPFY1_REV,NEXT10,-0.01441207494482899,0.05884745424741897,0.06307650815474777,-0.02566130863423388
OPFY1_REV,NEXT20,-0.025745208919128525,0.050947917123915394,0.056762281910971345,-0.03575559244983964
PBR12MF,NEXT5,0.04214189889133478,-0.12717730189712817,-0.15170018315293843,0.08347718220575652
PBR12MF,GAP5,-0.06999820702105317,0.09579132822405537,0.1259106653745662,-0.10395984703742447
PBR12MF,NEXT10,-0.025590248595604437,-0.030409224845008492,-0.024944505348639692,-0.018862015458905645
PBR12MF,NEXT20,-0.11823367310294965,-0.1679232381606791,-0.14472387664475994,-0.077848696671808
PER12MF,NEXT5,-0.022984029556085937,-0.07417805784246756,-0.07202904094079385,-0.01239412729524065
PER12MF,GAP5,-0.09913586528871808,0.05910723906690039,0.07803623464814871,-0.11057859203293685
PER12MF,NEXT10,-0.12176864913114195,-0.014974174465851448,0.00602149560377491,-0.12265160214772691
PER12MF,NEXT20,-0.17090567732278425,0.022801180239408123,0.054797495570272484,-0.1793312757703461
PRIVATE_FLOW,NEXT5,0.02244814128881853,0.07545897976311992,0.0748470806960133,0.02006387429211441
PRIVATE_FLOW,GAP5,0.07502140366148227,-0.040350220889332974,-0.04278306780923135,0.07643023502281365
PRIVATE_FLOW,NEXT10,0.09701770740794499,0.03999652798398555,0.0369470895509991,0.0958010527561219
PRIVATE_FLOW,NEXT20,0.2564128999132614,0.012927921089492634,0.0028738032850972456,0.2562962689096643
FOREIGN_FLOW,NEXT5,-0.053106958168655544,0.07427131233806188,0.07235209338811234,-0.05043893569377543
FOREIGN_FLOW,GAP5,0.04996900735190241,-0.016124164014415687,-0.014248900631711622,0.04944556419418093
FOREIGN_FLOW,NEXT10,-0.0029382240371130797,0.057390770698518175,0.057359250835711785,-0.0008310925356719576
FOREIGN_FLOW,NEXT20,0.08502866575903653,-0.06667291834859027,-0.06460489879522757,0.08347185305035615
