horizon,period,n_factors,median_simple_kq_r2,median_unique_kq_r2,positive_unique_kq_factors,median_unique_ex_r2,positive_unique_ex_factors,median_kq_minus_ex_unique_r2
GAP5,CONF_2023_2024,8,-0.005282159405037401,-0.006081695435622536,2,0.003947642754785374,6,-0.008007358790970642
GAP5,DISC_2016_2019,8,0.004410366583853853,0.004144722015476554,8,0.004817658522690282,8,0.001060919207190314
GAP5,STRESS_2025,8,-0.006407066306617137,-0.006028914288229714,3,-0.005053227491002343,3,-0.0033573003726348194
GAP5,STRESS_2026,8,0.0033697313910032722,0.001536259072324686,5,0.0031115598282788204,5,-0.0015753007559541343
GAP5,VAL_2020_2022,8,-0.004648694990848523,-0.0020724774961624615,2,-0.001743538105725806,3,0.0013484660959597328
NEXT10,CONF_2023_2024,8,-0.00019503736794590498,-4.316786922869964e-05,4,0.00019114588423668755,5,-0.0010284352831108068
NEXT10,DISC_2016_2019,8,0.002832420799162072,0.0025240205625923773,8,0.0018157292114864831,8,-0.000836239716806686
NEXT10,STRESS_2025,8,0.0012560646449836788,-0.0013633247891601252,2,0.0013979442429201683,5,-0.005374457858258241
NEXT10,STRESS_2026,8,0.001761940737321055,0.0024732778237009367,4,0.001987531056156233,6,0.005334461203199248
NEXT10,VAL_2020_2022,8,-0.0018259419633926965,1.9444203170848606e-05,4,-0.0019508575294845398,3,0.0014294212336697365
NEXT20,CONF_2023_2024,8,-0.0044610439107158895,-0.004944274362782108,2,-0.0009678853709654822,3,-0.0061912278582477165
NEXT20,DISC_2016_2019,8,0.003749074625704285,0.0035258700158058986,8,0.0018720151987362543,8,0.0008809274615143026
NEXT20,STRESS_2025,8,-0.001222164758168609,-0.001738899194275556,4,0.0017540351895393158,5,-0.005265869797110911
NEXT20,STRESS_2026,8,0.0005907770209080399,0.002853398503873894,5,0.004304907582406425,6,-0.002203321072747788
NEXT20,VAL_2020_2022,8,1.4126808899950216e-05,0.00027802367674217843,5,0.0018935042626616605,4,0.0008614355735787615
NEXT5,CONF_2023_2024,8,0.0002606959617178495,0.001933046840048025,4,-4.704345023887058e-05,4,0.005407618710160655
NEXT5,DISC_2016_2019,8,0.0009982912181931147,0.0023216097895416565,8,0.005606584376083579,8,-0.004318000025737512
NEXT5,STRESS_2025,8,-0.005429486398543459,-0.009246006838210308,3,0.0009424828155947251,4,0.006055768376480142
NEXT5,STRESS_2026,8,0.0032583036058457804,0.004450966092176323,5,0.013067781885805763,7,-0.011794518512559526
NEXT5,VAL_2020_2022,8,0.0026451562342573176,0.0020937520988730807,5,-0.00018876799270539646,4,0.0027438620379593437
