period,observed_median_unique_kq_r2,n_placebo_shifts,placebo_p_one_sided,observed_percentile_vs_placebo,placebo_median,placebo_q90
VAL_2020_2022,0.0020937520988730807,147,0.05405405405405406,0.9523809523809523,-0.0011360241687550232,0.0010604575164405384
CONF_2023_2024,0.001933046840048025,96,0.12371134020618557,0.8854166666666666,-0.0011357545350890175,0.0022950156345088735
STRESS_2025,-0.009246006838210308,48,0.9183673469387755,0.08333333333333333,-0.0020308334390896354,0.002517620643583395
STRESS_2026,0.004450966092176323,28,0.06896551724137931,0.9642857142857143,-0.0006929139416273489,0.0031922778019295222
