factor,horizon,period,n,mse_m0,mse_mex,mse_mkq,mse_mboth,simple_kq_r2,simple_ex_r2,unique_kq_r2,unique_ex_r2
MOM1M,NEXT5,DISC_2016_2019,194,0.9604425246194226,0.9604315780840166,0.957921135778208,0.9576908444373388,0.0026252365722911897,1.1397387272404913e-05,0.0028536479945249216,0.00024040741170427982
MOM1M,NEXT5,VAL_2020_2022,149,2.2434501152329,2.2435028182804517,2.231752885007131,2.2309589692190843,0.005213947101540328,-2.3491963201616173e-05,0.005591189348708614,0.00035573642287189955
MOM1M,NEXT5,CONF_2023_2024,97,2.2348438801492416,2.235953935796372,2.2184247785771287,2.222020647297287,0.007346867366420429,-0.0004967038892471631,0.006231473858213543,-0.001620910816937604
MOM1M,NEXT5,STRESS_2025,49,2.3517567664335597,2.3508304656658354,2.334432830567725,2.3287922124585556,0.007366380789500804,0.00039387609337215856,0.00937466717789781,0.002416269183379116
MOM1M,NEXT5,STRESS_2026,29,6.2566160404097415,6.246427751470214,6.311423155872518,6.26673222348028,-0.008759865574104797,0.001628402458089817,-0.003250573418589031,0.007080959601109216
MOM1M,GAP5,DISC_2016_2019,193,0.969589448362157,0.9671406412685369,0.9614170579689071,0.9562230599686489,0.008428712180247877,0.002525612358670548,0.011288514652396553,0.00540244003079271
MOM1M,GAP5,VAL_2020_2022,149,2.2237363081523043,2.1969359465833374,2.2576490385904515,2.2218095070535546,-0.015250338052143153,0.012051951245620196,-0.01132193248915625,0.01587471344052349
MOM1M,GAP5,CONF_2023_2024,97,2.310937456170343,2.2992328602967262,2.304381389060626,2.2813808693156954,0.002836972974846863,0.005064869169161046,0.007764324914322551,0.009981212248162952
MOM1M,GAP5,STRESS_2025,49,2.266908938313229,2.256037182018094,2.3255917451433623,2.3199307167750396,-0.025886706712532792,0.004795850469063945,-0.028321135514172147,0.002434231365047168
MOM1M,GAP5,STRESS_2026,29,5.911164076078413,6.023523084165797,5.573108007258934,5.671798417785607,0.05718942402352534,-0.019007932556310392,0.05839185165651284,-0.017708325479809384
MOM1M,NEXT10,DISC_2016_2019,193,1.6329454858920054,1.6297133012967173,1.6131814326937368,1.6048227573024128,0.012103314757915706,0.001979358541490117,0.015272958731146091,0.00518148499723714
MOM1M,NEXT10,VAL_2020_2022,148,4.279269741216272,4.247836936843315,4.294796965140497,4.241187688934517,-0.003628475151887134,0.007345366446570911,0.0015653256016319173,0.012482377314017357
MOM1M,NEXT10,CONF_2023_2024,96,3.7941713908101113,3.8034289891126005,3.743076701087594,3.742028631465988,0.013466626691212236,-0.002439952587516725,0.01614342158677673,0.00028000217609802647
MOM1M,NEXT10,STRESS_2025,48,4.982184355850094,4.954013924329591,5.0221443183383885,4.981080726349323,-0.00802057082479779,0.005654233064945613,-0.0054636104042429245,0.008176505768486386
MOM1M,NEXT10,STRESS_2026,28,13.83775501855993,13.78152825172962,13.515659698294202,13.361918163797725,0.023276558938477798,0.004063286765439655,0.030447282788048757,0.011375066991060834
MOM1M,NEXT20,DISC_2016_2019,191,3.179631974407788,3.1726358199638245,3.0753791316194183,3.048889210031414,0.032787707391131904,0.0022003032112754006,0.03900435377856304,0.008613546640688585
MOM1M,NEXT20,VAL_2020_2022,146,8.379677420535515,8.372854770202986,8.34764294208408,8.314875670318688,0.003822877283191084,0.0008141900923069878,0.006924651325690201,0.003925332215660271
