universe,strategy,phase,period,return_type,n_days,cagr,mdd,sharpe,calmar,benchmark_cagr,benchmark_mdd,benchmark_sharpe,geometric_excess_cagr,tracking_error,information_ratio,relative_mdd,beta,jensen_alpha_annual,corr,annual_turnover,avg_missing_weight
K200,CF20,0,FULL_2016_2026,GROSS,2598,0.14175093224527124,-0.5303716673522709,0.7126523069802061,0.26726716559525565,0.1279816165444616,-0.4311120013167109,0.6259344888903111,0.012207039103164563,0.13608303356498636,0.06148114221019675,-0.4478637081071124,0.7661640061672524,0.04312344786949756,0.8258253223727556,8.04176885909604,0.0
K200,CF20,0,FULL_2016_2026,NET30,2598,0.11483666295117056,-0.5532874270731696,0.6043596635572688,0.20755335713779735,0.1279816165444616,-0.4311120013167109,0.6259344888903111,-0.011653517575544003,0.1360228008866053,-0.11396013604499503,-0.45975700443868706,0.7662462864283318,0.019243500665223782,0.8259745103909566,8.04176885909604,0.0
K200,CF20,0,PRE_STRESS_2016_2024,GROSS,2209,0.05093294374529078,-0.5303716673522709,0.3557646066856859,0.09603255015404379,0.027055854692350945,-0.4311120013167109,0.24000760481305342,0.023248092052492453,0.10515678547981676,0.24693628986769584,-0.2507731937173844,0.9151562814961863,0.029538800820343332,0.8390185025222004,8.05951401286116,0.0
K200,CF20,0,PRE_STRESS_2016_2024,NET30,2209,0.026155741293729218,-0.5532874270731696,0.23105801854187386,0.04727333391993064,0.027055854692350945,-0.4311120013167109,0.24000760481305342,-0.0008764016041674649,0.1051981969787523,0.019939209468719795,-0.31496250536760817,0.9147336044517456,0.005687137220114954,0.8388292128843441,8.05951401286116,0.0
K200,CF20,0,EARLY_2016_2019,GROSS,978,0.014544727148574133,-0.29897534340909604,0.17219124588505172,0.04864858413649245,0.041367600453882325,-0.2686062031671401,0.3855595739848453,-0.025757353401063998,0.09026881878834664,-0.2594869067934985,-0.16734602335442272,0.9106952841870325,-0.019097156527105322,0.7874529673604972,7.981484389099048,0.0
K200,CF20,0,EARLY_2016_2019,NET30,978,-0.008728568346861532,-0.32373903384426606,0.012548593613807233,-0.026961742126716762,0.041367600453882325,-0.2686062031671401,0.3855595739848453,-0.048106133491103265,0.09038681728804883,-0.5157985934379888,-0.2213083822112527,0.9105328892653486,-0.04228710586381816,0.7870109194141279,7.981484389099048,0.0
K200,CF20,0,LATE_2020_2022,GROSS,742,0.08898655362339691,-0.40814850792773727,0.47143917931472046,0.21802493919480895,0.0031120961055546292,-0.3525838725994014,0.1245555094303075,0.08560803707904463,0.11828329569364945,0.7409410746666382,-0.12166119209896475,0.9662099734936904,0.08857325264498538,0.8756462569376718,8.255713171145928,0.0
K200,CF20,0,LATE_2020_2022,NET30,742,0.062333737173963844,-0.4105869734709573,0.37000016851119083,0.1518161588201799,0.0031120961055546292,-0.3525838725994014,0.1245555094303075,0.0590379094204212,0.11827678300646255,0.5316088533916289,-0.12682552267442837,0.9666343969272935,0.06379757515112673,0.8757369672972087,8.255713171145928,0.0
K200,CF20,0,NORMAL_2023_2024,GROSS,489,0.06842204550376052,-0.13972455772048986,0.457421930107436,0.4896923391279183,0.03542592171588388,-0.1847336482419324,0.28266719166488496,0.03186719889453293,0.11149967790411033,0.2795102443347133,-0.10302197935724822,0.8046778501528172,0.041208130035660054,0.8107417491990532,7.918023677924168,0.0
K200,CF20,0,NORMAL_2023_2024,NET30,489,0.04332965325684435,-0.14813639444802784,0.3261414909226319,0.29249836556570247,0.03542592171588388,-0.1847336482419324,0.28266719166488496,0.00763331434455683,0.11150084426417543,0.06555892974267295,-0.11260883553925227,0.8020955077523071,0.01748547945966422,0.8102635288286308,7.918023677924168,0.0
