universe,strategy,n_windows,sim_vs_zero_mean_abs,sim_vs_zero_p99_abs,sim_vs_zero_max_abs,legacy_minus_zero_mean,legacy_vs_zero_mean_abs,legacy_vs_zero_p99_abs,mean_min_complete_names,share_gap_exact_h
K200,CF20,2589,1.8175223370266994e-16,6.108308303609531e-16,8.881784197001252e-16,-1.2214864196883779e-17,2.4852171762695213e-17,8.326672684688674e-17,20.0,1.0
K200,PRIMARY8,2589,1.7865533860310303e-16,6.114553308123042e-16,8.81239525796218e-16,-1.1807156387610174e-17,2.3099023602493773e-17,7.306655280814293e-17,20.0,1.0
KOSDAQ,CF20,2589,1.8475310687026025e-16,6.38378239159465e-16,1.27675647831893e-15,-8.571581127036186e-07,8.571581127175107e-07,8.326672684688674e-17,19.998455001931248,1.0
KOSDAQ,PRIMARY8,2589,1.825066642576791e-16,5.984102102729579e-16,9.159339953157541e-16,-8.696021712146675e-18,2.13394878520018e-17,7.403799795468984e-17,20.0,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,CF20,2589,1.803594026926167e-16,5.923386781070402e-16,7.771561172376096e-16,-1.8159689239376749e-06,1.9558068362708716e-06,8.000544671205015e-17,19.995751255310932,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,PRIMARY8,2589,1.797888931224512e-16,6.029898802495372e-16,8.430756093247282e-16,-1.0569809087863971e-17,2.0702984960145858e-17,6.938893903907228e-17,20.0,1.0
KOSPI_ALL,CF20,2589,1.8297908682365364e-16,6.106226635438361e-16,9.853229343548264e-16,-2.8913614452935704e-06,2.891361445306348e-06,8.326672684688674e-17,19.995751255310932,1.0
KOSPI_ALL,PRIMARY8,2589,1.8098136894178728e-16,6.326883461582599e-16,8.743006318923108e-16,-5.120052928021858e-10,5.12005302872954e-10,7.480127628411973e-17,19.999613750482812,1.0
KOSPI_EX_K200,CF20,2589,1.7946990358987625e-16,6.114553308123042e-16,9.992007221626409e-16,-2.800119719258826e-06,3.1348743431725055e-06,8.36830604811208e-17,19.995751255310932,1.0
KOSPI_EX_K200,PRIMARY8,2589,1.8464400091293544e-16,6.351690007289077e-16,9.679756995950584e-16,-2.3445333389623164e-06,2.727681308596221e-06,8.326672684688674e-17,19.995751255310932,1.0
KOSPI_KOSDAQ_ALL,CF20,2589,1.8921482494722357e-16,6.38378239159465e-16,9.020562075079397e-16,-1.3105093971607292e-06,1.4304049132999863e-06,6.938893903907228e-17,19.997682502896872,1.0
KOSPI_KOSDAQ_ALL,PRIMARY8,2589,1.8259834404161553e-16,6.075695502261165e-16,8.881784197001252e-16,-1.0414182733151755e-17,1.944304488048247e-17,6.602357549567718e-17,20.0,1.0
