metric,discovery_mean,discovery_std,epi_conf_q80,epi_conf_q20,epi_conf_q40,epi_conf_q60,epi_conf_q80_quintile
pair_vote_agreement,0.6819819466248038,0.11244532081871,0.608412815697446,-0.6215401336383162,-0.0853459715578987,0.24253727363176142,0.608412815697446
top3_jaccard,0.6942692307692307,0.12044030197920244,0.608412815697446,-0.6215401336383162,-0.0853459715578987,0.24253727363176142,0.608412815697446
top1_vote_share,0.6445604395604396,0.19601717755323972,0.608412815697446,-0.6215401336383162,-0.0853459715578987,0.24253727363176142,0.608412815697446
score_model_sd,0.02452748531934656,0.005790019774083875,0.608412815697446,-0.6215401336383162,-0.0853459715578987,0.24253727363176142,0.608412815697446
