period,high_confidence_share,mean_continuous_intensity,median_epi_conf
VAL_2020_2022,0.08108108108108109,0.1225868725868726,-0.31260037380696815
CONF_2023_2024,0.12371134020618557,0.14761527132661154,-0.36518383449089936
STRESS_2025,0.14285714285714285,0.16685355460865664,-0.42521737259564857
STRESS_2026,0.13793103448275862,0.13982569154982946,-0.7822134600772401
