sample,universe,cost_bp,strategy,base_cagr,strategy_cagr,delta_cagr,base_sharpe,strategy_sharpe,delta_sharpe,base_mdd,strategy_mdd,delta_mdd,base_ann_turnover,strategy_ann_turnover,delta_ann_turnover,revision_exposure,rminus_decision_n
BULL_2025,K200,0,RMINUS_TO_REV_ANY,0.5864327896911057,0.8371562412117448,0.25072345152063913,1.9152316370872584,2.5027468867755216,0.5875152496882632,-0.1837693614257535,-0.15915491595072784,0.02461444547502567,13.107422990865025,15.676836913473513,2.569413922608488,0.24489795918367346,12
BULL_2025,K200,0,RMINUS_TO_REV_POS,0.5864327896911057,0.6300688223281368,0.043636032637031086,1.9152316370872584,2.043476341605243,0.12824470451798442,-0.1837693614257535,-0.16245383972816296,0.021315521697590545,13.107422990865025,15.716895108351318,2.609472117486293,0.08163265306122448,12
BULL_2025,K200,30,RMINUS_TO_REV_ANY,0.5252367836645988,0.7527077648765919,0.22747098121199305,1.764646724542246,2.3196621543748446,0.5550154298325987,-0.18853404478117342,-0.16604207623951384,0.02249196854165958,13.107422990865025,15.676836913473513,2.569413922608488,0.24489795918367346,12
BULL_2025,K200,30,RMINUS_TO_REV_POS,0.5252367836645988,0.5549519064350401,0.029715122770441305,1.764646724542246,1.8594220743458811,0.09477534980363522,-0.18853404478117342,-0.16926927329260522,0.0192647714885682,13.107422990865025,15.716895108351318,2.609472117486293,0.08163265306122448,12
BULL_2025,K200,60,RMINUS_TO_REV_ANY,0.4663543162210526,0.6720524837141573,0.20569816749310466,1.6130705815083481,2.1349825962681126,0.5219120147597645,-0.1932749348412548,-0.17288215569237386,0.020392779148880935,13.107422990865025,15.676836913473513,2.569413922608488,0.24489795918367346,12
BULL_2025,K200,60,RMINUS_TO_REV_POS,0.4663543162210526,0.483216479303646,0.016862163082593362,1.6130705815083481,1.673948564395686,0.06087798288733781,-0.1932749348412548,-0.17603877397202583,0.017236160869228967,13.107422990865025,15.716895108351318,2.609472117486293,0.08163265306122448,12
BULL_2025,KOSDAQ,0,RMINUS_TO_REV_ANY,0.6258933985504644,0.7875439446883452,0.16165054613788077,1.9005884958160153,2.3039637847000254,0.4033752888840101,-0.16733075762720184,-0.1972008427719456,-0.029870085144743763,13.82017325849548,21.175634125794232,7.355460867298753,0.22448979591836735,11
BULL_2025,KOSDAQ,0,RMINUS_TO_REV_POS,0.6258933985504644,0.8338064366578783,0.2079130381074139,1.9005884958160153,2.384362375633282,0.4837738798172668,-0.16733075762720184,-0.1836349481511781,-0.016304190523976247,13.82017325849548,20.279560733719048,6.4593874752235685,0.20408163265306123,11
BULL_2025,KOSDAQ,30,RMINUS_TO_REV_ANY,0.5598345115035117,0.6774278829976061,0.11759337149409443,1.751062407568387,2.0599697728782083,0.3089073653098213,-0.17206993753798827,-0.20718305793075753,-0.03511312039276926,13.82017325849548,21.175634125794232,7.355460867298753,0.22448979591836735,11
BULL_2025,KOSDAQ,30,RMINUS_TO_REV_POS,0.5598345115035117,0.7254793041515122,0.16564479264800047,1.751062407568387,2.1552628764427935,0.4042004688744065,-0.17206993753798827,-0.19112750008139978,-0.01905756254341151,13.82017325849548,20.279560733719048,6.4593874752235685,0.20408163265306123,11
BULL_2025,KOSDAQ,60,RMINUS_TO_REV_ANY,0.4964080281908476,0.5739244470843896,0.077516418893542,1.6007400631271158,1.8153953800535583,0.21465531692644246,-0.17678599963181663,-0.21706238560998892,-0.04027638597817229,13.82017325849548,21.175634125794232,7.355460867298753,0.22448979591836735,11
BULL_2025,KOSDAQ,60,RMINUS_TO_REV_POS,0.4964080281908476,0.6233875954338617,0.12697956724301407,1.6007400631271158,1.9246342307148532,0.32389416758773737,-0.17678599963181663,-0.19856439542706805,-0.021778395795251426,13.82017325849548,20.279560733719048,6.4593874752235685,0.20408163265306123,11
BULL_2025,KOSDAQ_PLUS_KOSPI_EX_K200,0,RMINUS_TO_REV_ANY,0.48957031387289884,0.562038532051812,0.07246821817891314,1.6782700752318769,1.9170581598698588,0.23878808463798196,-0.168690680247379,-0.1879024101204585,-0.01921172987307951,13.71608541613988,19.329845622754252,5.613760206614373,0.20408163265306123,10
BULL_2025,KOSDAQ_PLUS_KOSPI_EX_K200,0,RMINUS_TO_REV_POS,0.48957031387289884,0.6463646095219984,0.15679429564909952,1.6782700752318769,2.087444462593239,0.409174387361362,-0.168690680247379,-0.1795019765349829,-0.010811296287603911,13.71608541613988,17.457144361314228,3.7410589451743483,0.14285714285714285,10
BULL_2025,KOSDAQ_PLUS_KOSPI_EX_K200,30,RMINUS_TO_REV_ANY,0.42949680476929886,0.4739675595090298,0.044470754739730944,1.5183269105462718,1.6781090349399994,0.15978212439372763,-0.17349398604525113,-0.19790447660872712,-0.024410490563475995,13.71608541613988,19.329845622754252,5.613760206614373,0.20408163265306123,10
BULL_2025,KOSDAQ_PLUS_KOSPI_EX_K200,30,RMINUS_TO_REV_POS,0.42949680476929886,0.5623058722683094,0.13280906749901056,1.5183269105462718,1.880033837564399,0.36170692701812723,-0.17349398604525113,-0.18702578843613327,-0.013531802390882142,13.71608541613988,17.457144361314228,3.7410589451743483,0.14285714285714285,10
BULL_2025,KOSDAQ_PLUS_KOSPI_EX_K200,60,RMINUS_TO_REV_ANY,0.37179948343160785,0.3907383913399767,0.01893890790836883,1.357761163848772,1.4393097781930522,0.08154861434428007,-0.1782735810689473,-0.20780448072687174,-0.029530899657924436,13.71608541613988,19.329845622754252,5.613760206614373,0.20408163265306123,10
BULL_2025,KOSDAQ_PLUS_KOSPI_EX_K200,60,RMINUS_TO_REV_POS,0.37179948343160785,0.48243400926989555,0.1106345258382877,1.357761163848772,1.6713844005973675,0.3136232367485954,-0.1782735810689473,-0.1944936113010457,-0.016220030232098392,13.71608541613988,17.457144361314228,3.7410589451743483,0.14285714285714285,10
BULL_2025,KOSPI_ALL,0,RMINUS_TO_REV_ANY,0.4215294434837551,0.537599971393977,0.11607052791022188,1.5595148022843377,1.8957259959066641,0.33621119362232643,-0.1641085817934843,-0.14731408333987994,0.016794498453604367,13.42174291060321,16.638315079423336,3.216572168820125,0.20408163265306123,10
BULL_2025,KOSPI_ALL,0,RMINUS_TO_REV_POS,0.4215294434837551,0.46235696566654005,0.04082752218278496,1.5595148022843377,1.6898334020625914,0.13031859977825366,-0.1641085817934843,-0.1641085817934843,0.0,13.42174291060321,15.05300727517106,1.6312643645678495,0.08163265306122448,10
BULL_2025,KOSPI_ALL,30,RMINUS_TO_REV_ANY,0.3654057418254131,0.46268943861050826,0.09728369678509519,1.3954972036249385,1.6873775262468065,0.291880322621868,-0.16904029842629975,-0.15476106140060364,0.014279237025696112,13.42174291060321,16.638315079423336,3.216572168820125,0.20408163265306123,10
BULL_2025,KOSPI_ALL,30,RMINUS_TO_REV_POS,0.3654057418254131,0.3977549112265786,0.0323491694011655,1.3954972036249385,1.5019135204658272,0.1064163168408887,-0.16904029842629975,-0.16904029842629975,0.0,13.42174291060321,15.05300727517106,1.6312643645678495,0.08163265306122448,10
BULL_2025,KOSPI_ALL,60,RMINUS_TO_REV_ANY,0.31145453115738286,0.39134211085900783,0.07988757970162497,1.2307386700138505,1.4783650744578518,0.2476264044440013,-0.17394710638475486,-0.16215410517233209,0.011793001212422771,13.42174291060321,16.638315079423336,3.216572168820125,0.20408163265306123,10
BULL_2025,KOSPI_ALL,60,RMINUS_TO_REV_POS,0.31145453115738286,0.33594478209432443,0.02449025093694157,1.2307386700138505,1.3135363656586827,0.08279769564483219,-0.17394710638475486,-0.17394710638475486,0.0,13.42174291060321,15.05300727517106,1.6312643645678495,0.08163265306122448,10
BULL_2025,KOSPI_EX_K200,0,RMINUS_TO_REV_ANY,0.35693857576152177,0.3002366035596067,-0.056701972201915085,1.3260799983080447,1.1594878554248242,-0.16659214288322044,-0.1443413934420229,-0.15604644928220635,-0.011705055840183443,13.447054876547954,16.799482437945322,3.352427561397368,0.08163265306122448,4
BULL_2025,KOSPI_EX_K200,0,RMINUS_TO_REV_POS,0.35693857576152177,0.32291529572200073,-0.03402328003952104,1.3260799983080447,1.2278192572374478,-0.0982607410705969,-0.1443413934420229,-0.1457794543868255,-0.0014380609448025883,13.447054876547954,15.616724603106249,2.169669726558295,0.061224489795918366,4
