date,universe,eligible_n,mom_n,rev_n,mom_rev_overlap_n,mom_rev_overlap_share_mom
2017-03-15,KOSPI_KOSDAQ_ALL,484,93,64,22,0.23655913978494625
2017-03-15,KOSDAQ_PLUS_KOSPI_EX_K200,293,54,32,10,0.18518518518518517
2017-03-22,K200,191,38,32,14,0.3684210526315789
2017-03-22,KOSPI_EX_K200,141,26,13,4,0.15384615384615385
2017-03-22,KOSPI_ALL,332,64,45,19,0.296875
2017-03-22,KOSDAQ,151,28,19,7,0.25
2017-03-22,KOSPI_KOSDAQ_ALL,483,93,64,26,0.27956989247311825
2017-03-22,KOSDAQ_PLUS_KOSPI_EX_K200,292,54,32,10,0.18518518518518517
2017-03-29,K200,191,38,32,21,0.5526315789473685
2017-03-29,KOSPI_EX_K200,147,27,14,5,0.18518518518518517
2017-03-29,KOSPI_ALL,338,66,46,27,0.4090909090909091
2017-03-29,KOSDAQ,152,28,19,7,0.25
2017-03-29,KOSPI_KOSDAQ_ALL,490,94,65,32,0.3404255319148936
2017-03-29,KOSDAQ_PLUS_KOSPI_EX_K200,299,56,33,11,0.19642857142857142
2017-04-05,K200,191,38,31,19,0.5
2017-04-05,KOSPI_EX_K200,150,28,14,5,0.17857142857142858
2017-04-05,KOSPI_ALL,341,66,46,23,0.3484848484848485
2017-04-05,KOSDAQ,161,30,19,8,0.26666666666666666
2017-04-05,KOSPI_KOSDAQ_ALL,502,96,65,32,0.3333333333333333
2017-04-05,KOSDAQ_PLUS_KOSPI_EX_K200,311,58,33,12,0.20689655172413793
2017-04-12,K200,191,38,31,15,0.39473684210526316
2017-04-12,KOSPI_EX_K200,146,27,14,4,0.14814814814814814
2017-04-12,KOSPI_ALL,337,65,45,18,0.27692307692307694
2017-04-12,KOSDAQ,156,29,18,8,0.27586206896551724
2017-04-12,KOSPI_KOSDAQ_ALL,493,94,64,27,0.2872340425531915
2017-04-12,KOSDAQ_PLUS_KOSPI_EX_K200,302,56,32,13,0.23214285714285715
2017-04-19,K200,191,38,31,13,0.34210526315789475
2017-04-19,KOSPI_EX_K200,149,27,15,4,0.14814814814814814
2017-04-19,KOSPI_ALL,340,66,46,20,0.30303030303030304
2017-04-19,KOSDAQ,166,31,19,9,0.2903225806451613
2017-04-19,KOSPI_KOSDAQ_ALL,506,97,66,24,0.24742268041237114
2017-04-19,KOSDAQ_PLUS_KOSPI_EX_K200,315,59,34,12,0.2033898305084746
2017-04-26,K200,191,38,31,14,0.3684210526315789
2017-04-26,KOSPI_EX_K200,148,27,15,4,0.14814814814814814
2017-04-26,KOSPI_ALL,339,66,47,18,0.2727272727272727
2017-04-26,KOSDAQ,168,31,19,11,0.3548387096774194
2017-04-26,KOSPI_KOSDAQ_ALL,507,97,66,26,0.26804123711340205
2017-04-26,KOSDAQ_PLUS_KOSPI_EX_K200,316,59,34,14,0.23728813559322035
2017-05-08,K200,191,38,32,13,0.34210526315789475
2017-05-08,KOSPI_EX_K200,152,28,15,5,0.17857142857142858
2017-05-08,KOSPI_ALL,343,66,47,18,0.2727272727272727
2017-05-08,KOSDAQ,169,31,20,12,0.3870967741935484
2017-05-08,KOSPI_KOSDAQ_ALL,512,98,68,30,0.30612244897959184
2017-05-08,KOSDAQ_PLUS_KOSPI_EX_K200,321,60,35,18,0.3
2017-05-16,K200,191,38,32,13,0.34210526315789475
2017-05-16,KOSPI_EX_K200,150,27,16,6,0.2222222222222222
2017-05-16,KOSPI_ALL,341,65,48,19,0.2923076923076923
2017-05-16,KOSDAQ,160,30,19,13,0.43333333333333335
2017-05-16,KOSPI_KOSDAQ_ALL,501,96,68,32,0.3333333333333333
2017-05-16,KOSDAQ_PLUS_KOSPI_EX_K200,310,58,36,19,0.3275862068965517
2017-05-23,K200,190,37,32,14,0.3783783783783784
2017-05-23,KOSPI_EX_K200,153,28,16,6,0.21428571428571427
2017-05-23,KOSPI_ALL,343,66,49,20,0.30303030303030304
2017-05-23,KOSDAQ,160,30,19,11,0.36666666666666664
2017-05-23,KOSPI_KOSDAQ_ALL,503,96,69,33,0.34375
2017-05-23,KOSDAQ_PLUS_KOSPI_EX_K200,313,58,36,19,0.3275862068965517
2017-05-30,K200,191,38,32,14,0.3684210526315789
2017-05-30,KOSPI_EX_K200,157,29,17,5,0.1724137931034483
2017-05-30,KOSPI_ALL,348,67,50,21,0.31343283582089554
2017-05-30,KOSDAQ,164,30,20,10,0.3333333333333333
2017-05-30,KOSPI_KOSDAQ_ALL,512,97,70,34,0.35051546391752575
2017-05-30,KOSDAQ_PLUS_KOSPI_EX_K200,321,59,37,17,0.288135593220339
