sample,universe,strategy,decision_n,rminus_n,rminus_share,revision_exposure,revision_positive_within_rminus
BULL_2025,KOSDAQ_PLUS_KOSPI_EX_K200,RMINUS_TO_REV_ANY,49,10,0.20408163265306123,0.20408163265306123,0.7
BULL_2025,KOSDAQ_PLUS_KOSPI_EX_K200,RMINUS_TO_REV_POS,49,10,0.20408163265306123,0.14285714285714285,0.7
BULL_2025,KOSPI_ALL,RMINUS_TO_REV_ANY,49,10,0.20408163265306123,0.20408163265306123,0.4
BULL_2025,KOSPI_ALL,RMINUS_TO_REV_POS,49,10,0.20408163265306123,0.08163265306122448,0.4
BULL_2025,KOSPI_EX_K200,RMINUS_TO_REV_ANY,49,4,0.08163265306122448,0.08163265306122448,0.75
BULL_2025,KOSPI_EX_K200,RMINUS_TO_REV_POS,49,4,0.08163265306122448,0.061224489795918366,0.75
BULL_2025,KOSPI_KOSDAQ_ALL,RMINUS_TO_REV_ANY,49,12,0.24489795918367346,0.24489795918367346,0.6666666666666666
BULL_2025,KOSPI_KOSDAQ_ALL,RMINUS_TO_REV_POS,49,12,0.24489795918367346,0.16326530612244897,0.6666666666666666
YTD_2026,K200,RMINUS_TO_REV_ANY,29,7,0.2413793103448276,0.2413793103448276,0.14285714285714285
YTD_2026,K200,RMINUS_TO_REV_POS,29,7,0.2413793103448276,0.034482758620689655,0.14285714285714285
YTD_2026,KOSDAQ,RMINUS_TO_REV_ANY,29,7,0.2413793103448276,0.2413793103448276,0.0
YTD_2026,KOSDAQ,RMINUS_TO_REV_POS,29,7,0.2413793103448276,0.0,0.0
YTD_2026,KOSDAQ_PLUS_KOSPI_EX_K200,RMINUS_TO_REV_ANY,29,7,0.2413793103448276,0.2413793103448276,0.0
YTD_2026,KOSDAQ_PLUS_KOSPI_EX_K200,RMINUS_TO_REV_POS,29,7,0.2413793103448276,0.0,0.0
YTD_2026,KOSPI_ALL,RMINUS_TO_REV_ANY,29,8,0.27586206896551724,0.27586206896551724,0.0
YTD_2026,KOSPI_ALL,RMINUS_TO_REV_POS,29,8,0.27586206896551724,0.0,0.0
YTD_2026,KOSPI_EX_K200,RMINUS_TO_REV_ANY,29,8,0.27586206896551724,0.27586206896551724,0.0
YTD_2026,KOSPI_EX_K200,RMINUS_TO_REV_POS,29,8,0.27586206896551724,0.0,0.0
YTD_2026,KOSPI_KOSDAQ_ALL,RMINUS_TO_REV_ANY,29,8,0.27586206896551724,0.27586206896551724,0.0
YTD_2026,KOSPI_KOSDAQ_ALL,RMINUS_TO_REV_POS,29,8,0.27586206896551724,0.0,0.0
