date,K200,KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_ALL,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL
2016-01-05,0.0061186794368116235,0.009928062492669776,0.008246913688438402,0.0061231534770363185,0.006154869623431009,0.006630461609504134
2016-01-06,-0.004917574506631203,0.0053902196948929304,0.008079118280668306,-0.0028954833279657708,0.011438078769931364,-0.001787021254415218
2016-01-07,-0.011159845824858792,-0.012114626203357048,-0.010952566817406308,-0.010952889314579222,-0.009509657446281253,-0.011109423733852836
2016-01-08,0.007877431132978008,0.004882804288739779,0.004191409804800845,0.007306902673527606,0.0033349148666354943,0.006980520489333048
2016-01-11,-0.011587439481955229,-0.010708803553491499,-0.011759405476365553,-0.011772036864586643,-0.013062676905960547,-0.011629172971450871
2016-01-12,-0.0012926277966986597,-0.005988175745490648,-0.006768701672658257,-0.002097980721641099,-0.0077394647383560704,-0.002621118376580029
2016-01-13,0.013005520122684697,0.022258258758490666,0.0194444898162852,0.01336987242232727,0.015938737555436552,0.014561113667072455
2016-01-14,-0.008603180912090218,-0.004090181523710403,-0.00517349461458813,-0.008345189589774463,-0.006531619510466994,-0.007770562856865065
2016-01-15,-0.0112765265561037,-0.011683447289577369,-0.01127126818783554,-0.011211173775904948,-0.010752774526352649,-0.011275246051599066
2016-01-18,-0.0006854836659915468,0.012445625114751138,0.008121487163578758,-0.0002623070069394092,0.0027039359756242474,0.001456622693488875
2016-01-19,0.006346125942102508,-0.0008804338269437967,0.0021294463327632077,0.0062949780080199915,0.005937672382902445,0.005313607454251456
2016-01-20,-0.023375350815326268,-0.017669913399874775,-0.019886281703227687,-0.023286695995001553,-0.02266803444414909,-0.02252320848694483
2016-01-21,-0.0031899183976215346,-0.004900947409450229,-0.0024484387462187836,-0.0027088597998178917,0.0006456308219585235,-0.0030083295015700074
2016-01-22,0.02252450092958398,0.006957489457941827,0.010005568192177808,0.021430821232209563,0.013829992424568775,0.01945790186897811
2016-01-25,0.006675364968733231,0.01423729727138567,0.01415139199786884,0.00759554225986212,0.014044342929141251,0.008489877314463998
2016-01-26,-0.012711837646647527,-0.004114915129004811,-0.003871068925501828,-0.011562620599122971,-0.0035671243937146374,-0.010553986708226812
2016-01-27,0.015939457066139234,-0.00637707771597606,-0.003308239743015275,0.01398536419569149,0.0005148516391247152,0.011209748533376418
2016-01-28,0.003696014000263116,0.008591636401567114,0.009284372772439233,0.0045017723031205185,0.010141368906967412,0.005049575814299263
