universe,sample,factor_a,factor_b,corr
K200,TRAIN,OP12_REV,PBR12MF,-0.19259235229416835
K200,TRAIN,OP12_REV,PER12MF,-0.16983895771692714
K200,TRAIN,OP12_REV,PRIVATE_FLOW,0.06904436063234236
K200,TRAIN,OPFY1_REV,FOREIGN_FLOW,0.21517881413694778
K200,TRAIN,OPFY1_REV,MOM12_1,0.4173623121855612
K200,TRAIN,OPFY1_REV,MOM1M,0.3410934900583135
K200,TRAIN,OPFY1_REV,OP12_REV,0.6921313871757268
K200,TRAIN,OPFY1_REV,OPFY1_REV,1.0
K200,TRAIN,OPFY1_REV,PBR12MF,-0.14893252712612806
K200,TRAIN,OPFY1_REV,PER12MF,-0.026525683816005327
K200,TRAIN,OPFY1_REV,PRIVATE_FLOW,0.003230078510896287
K200,TRAIN,PBR12MF,FOREIGN_FLOW,-0.1569652159230189
K200,TRAIN,PBR12MF,MOM12_1,-0.4457437784711954
K200,TRAIN,PBR12MF,MOM1M,-0.12616237847398334
K200,TRAIN,PBR12MF,OP12_REV,-0.19259235229416835
K200,TRAIN,PBR12MF,OPFY1_REV,-0.14893252712612806
K200,TRAIN,PBR12MF,PBR12MF,1.0
K200,TRAIN,PBR12MF,PER12MF,0.8626887567307684
K200,TRAIN,PBR12MF,PRIVATE_FLOW,0.0702157736284996
K200,TRAIN,PER12MF,FOREIGN_FLOW,-0.10599400625878169
K200,TRAIN,PER12MF,MOM12_1,-0.31095420232809645
K200,TRAIN,PER12MF,MOM1M,-0.10321407004284111
K200,TRAIN,PER12MF,OP12_REV,-0.16983895771692714
K200,TRAIN,PER12MF,OPFY1_REV,-0.026525683816005327
K200,TRAIN,PER12MF,PBR12MF,0.8626887567307684
K200,TRAIN,PER12MF,PER12MF,1.0
K200,TRAIN,PER12MF,PRIVATE_FLOW,0.043916331174158406
K200,TRAIN,PRIVATE_FLOW,FOREIGN_FLOW,-0.006376501130182706
K200,TRAIN,PRIVATE_FLOW,MOM12_1,-0.07869030923737978
K200,TRAIN,PRIVATE_FLOW,MOM1M,0.43658273575556855
K200,TRAIN,PRIVATE_FLOW,OP12_REV,0.06904436063234236
K200,TRAIN,PRIVATE_FLOW,OPFY1_REV,0.003230078510896287
K200,TRAIN,PRIVATE_FLOW,PBR12MF,0.0702157736284996
K200,TRAIN,PRIVATE_FLOW,PER12MF,0.043916331174158406
K200,TRAIN,PRIVATE_FLOW,PRIVATE_FLOW,1.0
K200,OOS,FOREIGN_FLOW,FOREIGN_FLOW,1.0
K200,OOS,FOREIGN_FLOW,MOM12_1,0.05608950736008465
K200,OOS,FOREIGN_FLOW,MOM1M,0.11746828321292256
K200,OOS,FOREIGN_FLOW,OP12_REV,0.15198085417954565
K200,OOS,FOREIGN_FLOW,OPFY1_REV,0.308845755332421
K200,OOS,FOREIGN_FLOW,PBR12MF,-0.00657824998738606
K200,OOS,FOREIGN_FLOW,PER12MF,0.04593645415264092
K200,OOS,FOREIGN_FLOW,PRIVATE_FLOW,-0.08655755505566982
K200,OOS,MOM12_1,FOREIGN_FLOW,0.05608950736008465
K200,OOS,MOM12_1,MOM12_1,1.0
K200,OOS,MOM12_1,MOM1M,0.27830211793183346
K200,OOS,MOM12_1,OP12_REV,0.5338464705444987
K200,OOS,MOM12_1,OPFY1_REV,0.4419547599454366
K200,OOS,MOM12_1,PBR12MF,-0.4049539505180726
K200,OOS,MOM12_1,PER12MF,-0.22412384665147325
K200,OOS,MOM12_1,PRIVATE_FLOW,-0.07237306054874557
K200,OOS,MOM1M,FOREIGN_FLOW,0.11746828321292256
K200,OOS,MOM1M,MOM12_1,0.27830211793183346
K200,OOS,MOM1M,MOM1M,1.0
K200,OOS,MOM1M,OP12_REV,0.18396554407861454
K200,OOS,MOM1M,OPFY1_REV,0.2624760554266709
K200,OOS,MOM1M,PBR12MF,-0.08038939743126869
K200,OOS,MOM1M,PER12MF,0.022982605169199442
K200,OOS,MOM1M,PRIVATE_FLOW,0.4743883491392815
K200,OOS,OP12_REV,FOREIGN_FLOW,0.15198085417954565
K200,OOS,OP12_REV,MOM12_1,0.5338464705444987
K200,OOS,OP12_REV,MOM1M,0.18396554407861454
K200,OOS,OP12_REV,OP12_REV,1.0
K200,OOS,OP12_REV,OPFY1_REV,0.698910746252609
K200,OOS,OP12_REV,PBR12MF,-0.5243786488711638
K200,OOS,OP12_REV,PER12MF,-0.3935745596177315
K200,OOS,OP12_REV,PRIVATE_FLOW,0.041730112364402085
K200,OOS,OPFY1_REV,FOREIGN_FLOW,0.308845755332421
K200,OOS,OPFY1_REV,MOM12_1,0.4419547599454366
K200,OOS,OPFY1_REV,MOM1M,0.2624760554266709
K200,OOS,OPFY1_REV,OP12_REV,0.698910746252609
K200,OOS,OPFY1_REV,OPFY1_REV,1.0
K200,OOS,OPFY1_REV,PBR12MF,-0.32608654396024195
K200,OOS,OPFY1_REV,PER12MF,-0.1321415080804906
K200,OOS,OPFY1_REV,PRIVATE_FLOW,-0.004365682001385312
K200,OOS,PBR12MF,FOREIGN_FLOW,-0.00657824998738606
K200,OOS,PBR12MF,MOM12_1,-0.4049539505180726
K200,OOS,PBR12MF,MOM1M,-0.08038939743126869
K200,OOS,PBR12MF,OP12_REV,-0.5243786488711638
K200,OOS,PBR12MF,OPFY1_REV,-0.32608654396024195
K200,OOS,PBR12MF,PBR12MF,1.0
K200,OOS,PBR12MF,PER12MF,0.849295130452292
K200,OOS,PBR12MF,PRIVATE_FLOW,0.11085065044941805
K200,OOS,PER12MF,FOREIGN_FLOW,0.04593645415264092
K200,OOS,PER12MF,MOM12_1,-0.22412384665147325
K200,OOS,PER12MF,MOM1M,0.022982605169199442
K200,OOS,PER12MF,OP12_REV,-0.3935745596177315
K200,OOS,PER12MF,OPFY1_REV,-0.1321415080804906
