factor_universe,horizon,state,train_high_minus_low,oos_high_minus_low,oos_tstat,oos_low_mean,oos_high_mean,oos_low_positive_share,oos_high_positive_share
KOSPI_EX_K200,20,ORTHOGONAL_ABS_BREADTH_1P,0.0023046168573538895,0.010848136255163138,0.8751876757139381,0.0068501180411679905,0.01769825429633113,0.5660377358490566,0.5932203389830508
KOSPI_EX_K200,20,AVG_CORR_12P,0.0037794661138837666,0.009557368131768334,0.6510064431729088,0.0057080235831649725,0.015265391714933307,0.5151515151515151,0.6172839506172839
KOSPI_EX_K200,20,LS_BREADTH_4P,-0.005030082486294753,-0.007722444630467516,-0.7717405963333009,0.012082884163812152,0.004360439533344636,0.6274509803921569,0.550561797752809
KOSPI_EX_K200,20,OTHERS_LS_BREADTH_4P,-0.002317319006188871,-0.007339328104378919,-0.7799772669004135,0.014364373000103774,0.007025044895724856,0.6133333333333333,0.5520833333333334
KOSPI_ALL,1,LEADER_CORRECTION_1P,-0.0018818251616039275,-0.006854750753252449,-1.6705086313553426,0.005736122531103687,-0.0011186282221487618,0.6415094339622641,0.49295774647887325
KOSPI_ALL,1,OTHERS_LS_BREADTH_4P,2.346050107567148e-05,0.004672276777735501,1.3417970058966182,-0.0011059282928783502,0.003566348484857151,0.5128205128205128,0.6185567010309279
KOSPI_ALL,1,AVG_CORR_24P,-0.0017021926145251434,-0.004573213675455905,-0.495577017167678,0.005985340212853724,0.0014121265373978188,0.7407407407407407,0.5632183908045977
KOSPI_ALL,1,MKT_ACT1_BREADTH,-0.0008003191777276707,-0.004236576473323254,-0.9725408776925349,0.004006161842765079,-0.0002304146305581747,0.6470588235294118,0.5192307692307693
KOSPI_ALL,1,AVG_CORR_12P,-0.001627579344093519,-0.0033891726862421423,-0.6923240933561207,0.004405423300759461,0.0010162506145173186,0.6,0.5569620253164557
KOSPI_ALL,5,MKT_ACT5_BREADTH,0.0021305955013709173,0.015002735835359117,2.054067242976999,0.0006740219244696215,0.015676757759828738,0.5606060606060606,0.6551724137931034
KOSPI_ALL,5,OTHERS_LS_BREADTH_4P,0.001392447984493183,0.007773107245867902,1.3417998503267345,0.0023339141290968685,0.01010702137496477,0.5454545454545454,0.6082474226804123
KOSPI_ALL,5,ABS_BREADTH_4P,0.0017881205790542488,0.005766272332001342,0.7500354151841785,0.0024629288335082317,0.008229201165509573,0.5714285714285714,0.5657894736842105
KOSPI_ALL,5,DISPERSION_LS_4P,0.005916879667002222,0.005120299649712785,0.7083557939847507,0.0041923904240344645,0.00931269007374725,0.5897435897435898,0.6022727272727273
KOSPI_ALL,5,LS_BREADTH_4P,0.0018166076533369013,0.004586201194170969,0.7873046698226965,0.0042423100657949,0.008828511259965869,0.573170731707317,0.5869565217391305
KOSPI_ALL,20,LS_BREADTH_4P,0.00340089237510201,0.030752309946554375,2.3489648562055874,0.01146073846813283,0.042213048414687204,0.5802469135802469,0.6888888888888889
KOSPI_ALL,20,MKT_ACT1_BREADTH,0.0007756587571955079,0.02710823690910126,1.5264473411123152,0.01997546864092494,0.0470837055500262,0.6515151515151515,0.6538461538461539
KOSPI_ALL,20,OTHERS_ABS_BREADTH_1P,0.0009803131815860054,0.025210281652700135,1.3468413383265727,0.01704651090520366,0.042256792557903794,0.6,0.6779661016949152
KOSPI_ALL,20,KOSDAQ_TA_SHARE,-0.007013653174435694,-0.016650527666766,-1.020594096415215,0.034770036604355986,0.018119508937589988,0.640625,0.6825396825396826
KOSPI_ALL,20,ORTHOGONAL_ABS_BREADTH_1P,0.0009038199720040399,0.01585059057185073,0.8220559627478871,0.025747625628891775,0.041598216200742506,0.6666666666666666,0.704225352112676
KOSDAQ,1,AVG_CORR_12P,0.0007859661482504961,0.00970511292553488,1.7600580104020576,-0.004369186912452695,0.005335926013082185,0.49206349206349204,0.6896551724137931
KOSDAQ,1,DISPERSION_LS_4P,0.002947022396870589,0.007464702690904843,1.3327594703729386,-0.0056018516441474955,0.0018628510467573478,0.5757575757575758,0.5783132530120482
KOSDAQ,1,OTHERS_LS_BREADTH_4P,-0.00019639521048175966,-0.0016454484830743194,-0.5067897320955412,0.0015912667937384949,-5.4181689335824515e-05,0.5921052631578947,0.5757575757575758
KOSDAQ,1,KOSDAQ_TA_SHARE,0.000881788182128862,0.000917978936519991,0.22015053865972017,-0.0008767380206370748,4.1240915882916225e-05,0.582089552238806,0.5396825396825397
KOSDAQ,1,LS_BREADTH_4P,-0.0004389514792389904,-0.0008196400938388774,-0.23588836280380107,0.0010632076408572712,0.0002435675470183938,0.5955056179775281,0.5697674418604651
KOSDAQ,5,MKT_ACT5_BREADTH,0.006431049783294292,0.01597481447255985,1.7633098263568796,-0.0051668059366478,0.010808008535912048,0.453125,0.5609756097560976
KOSDAQ,5,MKT_ACT1_BREADTH,0.007784623672598438,0.015265356383570874,1.6311692328773981,-0.00402828774335199,0.011237068640218884,0.4927536231884058,0.5526315789473685
KOSDAQ,5,LS_BREADTH_4P,-0.0034743532830248513,-0.008858562929731813,-1.438282623364684,0.005896083344406599,-0.0029624795853252146,0.6179775280898876,0.43529411764705883
KOSDAQ,5,AVG_CORR_24P,-0.005731617992671448,-0.00883838559464125,-0.7584017214875176,0.005207764574394247,-0.003630621020247003,0.5714285714285714,0.4
KOSDAQ,5,OTHERS_LS_BREADTH_4P,-0.0026671702997482644,-0.007285105464166177,-1.2015017522734086,0.0056717298183208585,-0.0016133756458453184,0.5921052631578947,0.47959183673469385
KOSDAQ,20,AVG_CORR_24P,-0.009445977121825076,-0.034436102262774916,-1.4711436386322945,0.0059909885898492745,-0.02844511367292564,0.5783132530120482,0.44
KOSDAQ,20,DISPERSION_LS_4P,0.019478264470274047,0.030342619716980067,2.0146591427013885,-0.019168312848281882,0.011174306868698183,0.3939393939393939,0.6075949367088608
KOSDAQ,20,LS_BREADTH_4P,-0.018945963947038628,-0.02774735235538813,-2.326088098169933,0.018110359023833653,-0.009636993331554477,0.6292134831460674,0.5365853658536586
KOSDAQ,20,OTHERS_LS_BREADTH_4P,-0.018305575545729834,-0.02551111542301609,-2.1337651905787567,0.018977453012399163,-0.006533662410616925,0.618421052631579,0.5578947368421052
KOSDAQ,20,MKT_ACT1_BREADTH,0.012187633665014084,0.01477022673198624,0.7945420613905132,-0.004473747530430123,0.010296479201556116,0.5373134328358209,0.5789473684210527
KOSPI_KOSDAQ_ALL,1,LEADER_CORRECTION_1P,-0.00045256437087099757,-0.006656656899339007,-1.9242200402833807,0.006377151057363221,-0.0002795058419757862,0.6428571428571429,0.5476190476190477
KOSPI_KOSDAQ_ALL,1,OTHERS_LS_BREADTH_4P,0.0009628638850611017,0.002705090262312782,0.8874927046718487,-0.00017375884806001461,0.0025313314142527675,0.4794520547945205,0.6176470588235294
KOSPI_KOSDAQ_ALL,1,DISPERSION_LS_4P,0.00039248403367481437,0.0022663651402726965,0.5195287926411913,-8.438181327835543e-05,0.002181983326994341,0.5277777777777778,0.6022727272727273
KOSPI_KOSDAQ_ALL,1,AVG_CORR_24P,-0.001960366922752937,-0.0018854915749057291,-0.22148474215488315,0.002873385049910941,0.0009878934750052117,0.7,0.5774647887323944
KOSPI_KOSDAQ_ALL,1,LS_BREADTH_1P,-9.420017807833037e-05,-0.0013724383689254758,-0.409664487053206,0.0020695352554518103,0.0006970968865263346,0.5555555555555556,0.5647058823529412
KOSPI_KOSDAQ_ALL,5,MKT_ACT5_BREADTH,0.0024655231121138285,0.018303266175075064,2.273436793910737,0.00021241203132504435,0.01851567820640011,0.5384615384615384,0.7045454545454546
KOSPI_KOSDAQ_ALL,5,MKT_ACT1_BREADTH,0.0020385137354017903,0.015473876661032736,2.056671919455294,0.00013808118461131684,0.015611957845644054,0.5277777777777778,0.6511627906976745
KOSPI_KOSDAQ_ALL,5,FACTOR_TOP_ACT5_BREADTH_MEAN,0.0009156570831498484,0.015106851546957602,2.100259773471816,-0.0017882420681166046,0.013318609478840997,0.5294117647058824,0.6491228070175439
KOSPI_KOSDAQ_ALL,5,ABS_BREADTH_4P,0.002426581777351773,0.011504463522462777,1.4479015795821155,-0.0025169135577672464,0.008987549964695531,0.5,0.547945205479452
KOSPI_KOSDAQ_ALL,5,ORTHOGONAL_ABS_BREADTH_1P,0.0014954202361501128,0.010387153436162777,1.454194798366145,-3.9101723229707964e-05,0.010348051712933069,0.5573770491803278,0.6056338028169014
KOSPI_KOSDAQ_ALL,20,MKT_ACT1_BREADTH,0.008254910084202597,0.03613583356053461,1.9780836873721923,0.012266358587659818,0.04840219214819443,0.6,0.6511627906976745
KOSPI_KOSDAQ_ALL,20,FACTOR_TOP_ACT5_BREADTH_MEAN,0.0002626597415214798,0.02733624866226338,1.7391748035348198,0.007435136528239165,0.034771385190502546,0.5692307692307692,0.6666666666666666
KOSPI_KOSDAQ_ALL,20,ORTHOGONAL_ABS_BREADTH_1P,0.0029508445230377782,0.024382338833351697,1.5504055915493282,0.011383659465576769,0.035765998298928466,0.5862068965517241,0.676056338028169
KOSPI_KOSDAQ_ALL,20,AVG_CORR_12P,-0.013582064889739127,-0.016989449803492766,-0.8621042871181379,0.041431171911535135,0.02444172210804237,0.627906976744186,0.6792452830188679
KOSPI_KOSDAQ_ALL,20,DISPERSION_LS_4P,0.006272335156683737,0.014917336869197398,0.8895322760232697,0.012973330482128901,0.0278906673513263,0.6111111111111112,0.6428571428571429
KOSDAQ_PLUS_KOSPI_EX_K200,1,ABS_BREADTH_4P,-0.00067135438330062,-0.004525984634929469,-1.1193794356306237,0.0026285570445093646,-0.001897427590420104,0.5423728813559322,0.5652173913043478
KOSDAQ_PLUS_KOSPI_EX_K200,1,OTHERS_ABS_BREADTH_4P,-0.000716870744513806,-0.004454325646647311,-1.0564472675796308,0.0022529507832872993,-0.002201374863360011,0.5192307692307693,0.5571428571428572
KOSDAQ_PLUS_KOSPI_EX_K200,1,DISPERSION_LS_4P,0.002907390255246311,0.0008980682045663197,0.2989479270569596,0.001983347505256125,0.0028814157098224448,0.5454545454545454,0.5925925925925926
KOSDAQ_PLUS_KOSPI_EX_K200,1,KOSDAQ_TA_SHARE,0.0004677061354066451,0.0002853399671890744,0.074930029964364,-0.0005467691618409014,-0.00026142919465182697,0.5671641791044776,0.5238095238095238
KOSDAQ_PLUS_KOSPI_EX_K200,1,LS_BREADTH_4P,-7.710193808881512e-05,-0.0001153520233493499,-0.035850094212457766,0.0005921765160346409,0.00047682449268529104,0.5425531914893617,0.5925925925925926
KOSDAQ_PLUS_KOSPI_EX_K200,5,MKT_ACT1_BREADTH,0.0033420919169846724,0.014202858495906408,1.7553468133254377,-0.003883426397459882,0.010319432098446527,0.5,0.6585365853658537
KOSDAQ_PLUS_KOSPI_EX_K200,5,MKT_ACT5_BREADTH,0.007355433186843953,0.013124961171800729,1.6644676707106492,-0.0034211457642397154,0.009703815407561014,0.4696969696969697,0.6666666666666666
KOSDAQ_PLUS_KOSPI_EX_K200,5,FACTOR_TOP_ACT5_BREADTH_MEAN,0.01086894198614916,0.010956066565600137,1.496164593037949,-0.004915666698946783,0.006040399866653353,0.45901639344262296,0.625
KOSDAQ_PLUS_KOSPI_EX_K200,5,OTHERS_LS_BREADTH_4P,-0.0004535865777180815,-0.009608804493468346,-1.7750662848327092,0.0070206480892682135,-0.0025881564042001324,0.6049382716049383,0.4946236559139785
KOSDAQ_PLUS_KOSPI_EX_K200,5,LEADER_CORRECTION_1P,0.0005743758938847949,0.007206873853323201,1.1670653916821274,-0.001003312059671092,0.006203561793652109,0.5,0.589041095890411
KOSDAQ_PLUS_KOSPI_EX_K200,20,LS_BREADTH_4P,-0.021303990052503732,-0.026817090762083537,-2.4763268290506053,0.018425691071931146,-0.008391399690152393,0.6170212765957447,0.5064935064935064
KOSDAQ_PLUS_KOSPI_EX_K200,20,OTHERS_LS_BREADTH_4P,-0.01342335776870649,-0.022750334550432447,-2.0948471372167425,0.018324019264086045,-0.004426315286346402,0.6172839506172839,0.5222222222222223
KOSDAQ_PLUS_KOSPI_EX_K200,20,MKT_ACT1_BREADTH,0.013193040967077086,0.01579587932722119,0.9410005740467341,-0.004435146838740175,0.011360732488481016,0.5161290322580645,0.5365853658536586
KOSDAQ_PLUS_KOSPI_EX_K200,20,MKT_ACT5_BREADTH,0.0071089276102867735,0.015642757482068583,0.9818348888144399,-0.0030594387001129965,0.012583318781955587,0.5238095238095238,0.5555555555555556
KOSDAQ_PLUS_KOSPI_EX_K200,20,ORTHOGONAL_ABS_BREADTH_1P,0.00684217944547207,0.013275208652968823,1.0179313353641715,-0.001846785694903529,0.011428422958065294,0.5660377358490566,0.55
