factor_universe,horizon,state,train_high_minus_low,oos_high_minus_low,oos_tstat,oos_low_mean,oos_high_mean,oos_low_positive_share,oos_high_positive_share
K200,1,AVG_CORR_24P,-0.0014341898382113144,-0.006880709892544624,-0.6339907100149048,0.008725448729954755,0.001844738837410131,0.782608695652174,0.575
K200,1,AVG_CORR_12P,-0.00211678057204013,-0.005238462447939655,-0.9609829061186942,0.0072148585200262965,0.001976396072086642,0.6153846153846154,0.5764705882352941
K200,1,LEADER_STRENGTH_12P,0.0009637795031866175,0.002505203860919251,0.7153407795120273,0.00031318073291141497,0.002818384593830666,0.5454545454545454,0.5714285714285714
K200,1,MKT_ACT1_BREADTH,-0.00030369242230868124,-0.002469354170782653,-0.559031618023722,0.002276258825539963,-0.0001930953452426902,0.5873015873015873,0.5517241379310345
K200,1,LEADER_CORRECTION_1P,-0.0017898860818049986,-0.0017752805699805293,-0.43148921537647966,0.0030906001101113174,0.001315319540130788,0.52,0.5813953488372093
K200,5,DISPERSION_LS_4P,0.007674973917605557,0.011638028400106418,1.6982429797190393,0.0013872808530232498,0.013025309253129669,0.5483870967741935,0.6629213483146067
K200,5,LEADER_STRENGTH_12P,0.004753366348113279,0.007839991442858822,1.179910684505037,0.002397148299055753,0.010237139741914574,0.6666666666666666,0.6185567010309279
K200,5,ABS_BREADTH_4P,0.0019667411642040437,0.006996112386027293,0.9745332774373545,0.005779105664553286,0.01277521805058058,0.6226415094339622,0.6329113924050633
K200,5,OTHERS_ABS_BREADTH_4P,0.0014640558611283211,0.006546405467787349,0.9984293707658667,0.0057770809362251,0.012323486404012448,0.6229508196721312,0.625
K200,20,DISPERSION_LS_4P,0.019357319010371604,0.024751609019158453,1.5829451197904172,0.013463765390944349,0.0382153744101028,0.5806451612903226,0.6976744186046512
K200,20,LEADER_STRENGTH_12P,0.009823405719659202,0.022618969752574967,1.638959865567586,0.015876488861796243,0.03849545861437121,0.6060606060606061,0.723404255319149
K200,20,MKT_ACT1_BREADTH,0.0029802300315450152,0.022152131497848098,1.2592487303830235,0.016520312110207633,0.03867244360805573,0.6666666666666666,0.6206896551724138
K200,20,KOSDAQ_TA_SHARE,-0.007276080981139721,-0.01884568407261752,-1.1235129151046115,0.03711768037975786,0.018271996307140336,0.65625,0.6825396825396826
K200,20,ORTHOGONAL_ABS_BREADTH_1P,0.0015668877546079624,0.013759827133878764,0.7122136493487164,0.025591691666505663,0.03935151880038443,0.6595744680851063,0.6875
KOSPI_EX_K200,1,ABS_BREADTH_4P,-0.000812351661160667,-0.0035279216196346733,-1.0008034454909454,0.0024861123230745545,-0.0010418092965601188,0.6415094339622641,0.5714285714285714
KOSPI_EX_K200,1,LS_BREADTH_1P,-0.0017636329967978823,-0.00307116104629293,-1.2094821977260468,0.002709495426265492,-0.00036166562002743836,0.5967741935483871,0.5352112676056338
KOSPI_EX_K200,1,DISPERSION_LS_4P,-0.0001937244037417951,-0.002759399001359805,-0.982803830652987,0.0018371137042254317,-0.0009222852971343734,0.5576923076923077,0.5394736842105263
KOSPI_EX_K200,1,OTHERS_ABS_BREADTH_4P,-0.0007069071586232328,-0.002422816853209186,-0.7194650876389233,0.0014575381885377722,-0.0009652786646714139,0.6166666666666667,0.582089552238806
KOSPI_EX_K200,1,OTHERS_LS_BREADTH_4P,-6.0600367602169986e-05,-0.0018763860363048804,-0.7541086446367639,0.001397678667557368,-0.00047870736874751254,0.5866666666666667,0.55
KOSPI_EX_K200,5,LEADER_STRENGTH_12P,-0.0001808613326871659,-0.011628168742412718,-2.233719817363621,0.008087862472823473,-0.0035403062695892455,0.6271186440677966,0.46551724137931033
KOSPI_EX_K200,5,MKT_ACT1_BREADTH,0.002765809328140622,0.009867652717960605,1.7032205361122605,-0.0005976740278459346,0.00926997869011467,0.5352112676056338,0.6181818181818182
KOSPI_EX_K200,5,FACTOR_TOP_ACT5_BREADTH_MEAN,0.0028719109622872127,0.007093928370751787,1.2292056884791398,-0.0003267285245611443,0.0067671998461906425,0.5072463768115942,0.6
KOSPI_EX_K200,5,MKT_ACT5_BREADTH,0.007302979101235319,0.0052457623027987125,0.8321409145254527,0.0011260679547486806,0.006371830257547393,0.5737704918032787,0.6363636363636364
KOSPI_EX_K200,5,OTHERS_ABS_BREADTH_4P,0.003852269143670005,0.004314954540779525,0.7118158158773844,-0.001565287751012958,0.002749666789766567,0.5423728813559322,0.5223880597014925
KOSPI_EX_K200,20,LEADER_STRENGTH_12P,-0.00827263730794232,-0.04124801782427476,-3.695449787473602,0.029865210474375813,-0.011382807349898943,0.6949152542372882,0.44642857142857145
