sample,factor_universe,market_target,horizon,state,state_bin,train_q1,train_q2,n,mean_fwd_return,median_fwd_return,positive_market_share,mean_tstat
OOS,K200,KOSPI_EX_K200,1,LS_BREADTH_1P,LOW,0.375,0.625,52,-0.00038658872015268374,0.0007903642496178603,0.5192307692307693,-0.15185502290780348
OOS,K200,KOSPI_EX_K200,1,LS_BREADTH_1P,MID,0.375,0.625,36,-0.0008394043013682034,-0.0005979413387814292,0.5,-0.3020652667730685
OOS,K200,KOSPI_EX_K200,1,LS_BREADTH_1P,HIGH,0.375,0.625,87,0.0012330612814855885,0.003305446972070213,0.6206896551724138,0.691958825946699
TRAIN,K200,KOSPI_EX_K200,5,LS_BREADTH_1P,LOW,0.375,0.625,114,0.0039044624167248977,0.00777783987483803,0.5964912280701754,1.6354684372857775
TRAIN,K200,KOSPI_EX_K200,5,LS_BREADTH_1P,MID,0.375,0.625,61,-0.00023506972228536446,0.0050898414262181895,0.5573770491803278,-0.05098136921242731
TRAIN,K200,KOSPI_EX_K200,5,LS_BREADTH_1P,HIGH,0.375,0.625,157,-0.0018690929362731765,-0.0033003940174712006,0.47770700636942676,-0.6989330505071469
OOS,K200,KOSPI_EX_K200,5,LS_BREADTH_1P,LOW,0.375,0.625,51,0.0048582905191291905,0.004171320971356359,0.5098039215686274,1.288751009971081
OOS,K200,KOSPI_EX_K200,5,LS_BREADTH_1P,MID,0.375,0.625,36,-0.004637052635466176,0.004133645737572481,0.5277777777777778,-0.8382102610836426
OOS,K200,KOSPI_EX_K200,5,LS_BREADTH_1P,HIGH,0.375,0.625,87,0.004576898257377952,0.005154392148464818,0.5977011494252874,1.3513843409547135
TRAIN,K200,KOSPI_EX_K200,20,LS_BREADTH_1P,LOW,0.375,0.625,114,0.003061270207214931,0.009716002445412144,0.5526315789473685,0.5898624634121901
TRAIN,K200,KOSPI_EX_K200,20,LS_BREADTH_1P,MID,0.375,0.625,61,0.013561211972854665,0.01966057299036371,0.6885245901639344,1.70783342675353
TRAIN,K200,KOSPI_EX_K200,20,LS_BREADTH_1P,HIGH,0.375,0.625,157,-0.002678168992368579,-0.003285397946440917,0.4713375796178344,-0.4683970284838164
OOS,K200,KOSPI_EX_K200,20,LS_BREADTH_1P,LOW,0.375,0.625,51,0.010740999330293483,0.007253482860831091,0.5882352941176471,1.5375647648498862
OOS,K200,KOSPI_EX_K200,20,LS_BREADTH_1P,MID,0.375,0.625,35,0.007254544781740397,0.01093260122986806,0.6,0.6197771407562104
OOS,K200,KOSPI_EX_K200,20,LS_BREADTH_1P,HIGH,0.375,0.625,85,0.011176850021076323,0.009824238066116328,0.5647058823529412,1.5808852046509445
TRAIN,K200,KOSPI_ALL,1,LS_BREADTH_1P,LOW,0.375,0.625,114,0.0006569249396383125,0.0004981018106407003,0.5614035087719298,0.7790683720394914
TRAIN,K200,KOSPI_ALL,1,LS_BREADTH_1P,MID,0.375,0.625,61,-0.00019091072800643384,0.00025477961691020994,0.5409836065573771,-0.12758386726330698
TRAIN,K200,KOSPI_ALL,1,LS_BREADTH_1P,HIGH,0.375,0.625,157,-0.000332204530144203,-0.00017066131498637993,0.4840764331210191,-0.35963921029383605
OOS,K200,KOSPI_ALL,1,LS_BREADTH_1P,LOW,0.375,0.625,52,-0.0007196310180631623,0.000289978871376049,0.5192307692307693,-0.24473252399689918
OOS,K200,KOSPI_ALL,1,LS_BREADTH_1P,MID,0.375,0.625,36,0.0005861222008961313,0.00031178642056301257,0.5277777777777778,0.1434195080493391
OOS,K200,KOSPI_ALL,1,LS_BREADTH_1P,HIGH,0.375,0.625,87,0.003172342642455816,0.004524744929533289,0.6206896551724138,1.3537269932265519
TRAIN,K200,KOSPI_ALL,5,LS_BREADTH_1P,LOW,0.375,0.625,114,0.0028250728934665005,0.002350111585366578,0.5614035087719298,1.536739213147698
TRAIN,K200,KOSPI_ALL,5,LS_BREADTH_1P,MID,0.375,0.625,61,-0.0003097891381867229,0.0023896780463197992,0.5409836065573771,-0.07458717512991918
TRAIN,K200,KOSPI_ALL,5,LS_BREADTH_1P,HIGH,0.375,0.625,157,-0.00038507761763448864,0.0021003138549038377,0.554140127388535,-0.20332784192795827
OOS,K200,KOSPI_ALL,5,LS_BREADTH_1P,LOW,0.375,0.625,51,0.0070740649625070555,0.008265776064619226,0.5686274509803921,1.6778763783463226
OOS,K200,KOSPI_ALL,5,LS_BREADTH_1P,MID,0.375,0.625,36,-0.0028590711453420183,0.005120673019053992,0.6111111111111112,-0.3339433827288387
OOS,K200,KOSPI_ALL,5,LS_BREADTH_1P,HIGH,0.375,0.625,87,0.010370594361568904,0.00627157747253135,0.5747126436781609,2.6461566789454896
TRAIN,K200,KOSPI_ALL,20,LS_BREADTH_1P,LOW,0.375,0.625,114,0.0024527933920914322,0.007313345566128894,0.5614035087719298,0.5772813858203788
TRAIN,K200,KOSPI_ALL,20,LS_BREADTH_1P,MID,0.375,0.625,61,0.010563839826347243,0.006886242314833052,0.6065573770491803,1.4335213214766647
