sample,factor_universe,market_target,horizon,state,high_minus_low,diff_tstat,low_mean,high_mean,low_positive_share,high_positive_share,n_low,n_high
TRAIN,K200,K200,1,LS_BREADTH_1P,-0.0008192518255018234,-0.6402723759176356,0.0005413115797090291,-0.0002779402457927942,0.5263157894736842,0.5031847133757962,114,157
OOS,K200,K200,1,LS_BREADTH_1P,0.0040998138114111396,1.0738849809648225,-0.000760267183211458,0.0033395466281996816,0.5192307692307693,0.6206896551724138,52,87
TRAIN,K200,K200,5,LS_BREADTH_1P,-0.0029134741507660256,-1.1039709165930005,0.0027371138703767076,-0.00017636028038931815,0.5701754385964912,0.5605095541401274,114,157
OOS,K200,K200,5,LS_BREADTH_1P,0.003507317723515653,0.5969719984410481,0.007242803668228784,0.010750121391744437,0.5882352941176471,0.6091954022988506,51,87
TRAIN,K200,K200,20,LS_BREADTH_1P,-0.0006716618611147505,-0.11183638391076463,0.00254203398406319,0.0018703721229484393,0.5614035087719298,0.5477707006369427,114,157
OOS,K200,K200,20,LS_BREADTH_1P,0.018303746899247315,1.298171371549639,0.02021140911035151,0.038515156009598824,0.5882352941176471,0.7176470588235294,51,85
TRAIN,K200,KOSPI_EX_K200,1,LS_BREADTH_1P,-0.0025827162318175423,-1.9624297628058476,0.0017497510422880282,-0.0008329651895295142,0.6228070175438597,0.5031847133757962,114,157
OOS,K200,KOSPI_EX_K200,1,LS_BREADTH_1P,0.0016196500016382722,0.5212097287414778,-0.00038658872015268374,0.0012330612814855885,0.5192307692307693,0.6206896551724138,52,87
TRAIN,K200,KOSPI_EX_K200,5,LS_BREADTH_1P,-0.005773555352998074,-1.610558007761,0.0039044624167248977,-0.0018690929362731765,0.5964912280701754,0.47770700636942676,114,157
OOS,K200,KOSPI_EX_K200,5,LS_BREADTH_1P,-0.00028139226175123884,-0.05552649169966631,0.0048582905191291905,0.004576898257377952,0.5098039215686274,0.5977011494252874,51,87
TRAIN,K200,KOSPI_EX_K200,20,LS_BREADTH_1P,-0.00573943919958351,-0.743275308791929,0.003061270207214931,-0.002678168992368579,0.5526315789473685,0.4713375796178344,114,157
OOS,K200,KOSPI_EX_K200,20,LS_BREADTH_1P,0.00043585069078284043,0.04385225682965223,0.010740999330293483,0.011176850021076323,0.5882352941176471,0.5647058823529412,51,85
TRAIN,K200,KOSPI_ALL,1,LS_BREADTH_1P,-0.0009891294697825155,-0.7908560038401599,0.0006569249396383125,-0.000332204530144203,0.5614035087719298,0.4840764331210191,114,157
