date,universe,MKT_RET_20D,MKT_RET_60D,MKT_VOL_20D,MKT_DD_60D,LIQ_5D_20D,LIQ_1D_20D,RELATIVE_WORKING_BREADTH,ABS_CONFIRMED_BREADTH,DEFENSIVE_WORKING_BREADTH,REVERSE_BREADTH,BEARISH_REVERSE_BREADTH,POSITIVE_ABS_BREADTH,WPLUS_FAMILY_SHARE,WMINUS_FAMILY_SHARE,RMINUS_FAMILY_SHARE,WPLUS_PAIR_SHARE,CONFLICT_PAIR_SHARE,LEADER_STRENGTH_60D,SPREAD_DISPERSION_20D,FAMILY_MEMBER_AGREEMENT,FLOW_top_20d,FLOW_spread_20d,FLOW_top_60d,FLOW_spread_60d,FLOW_member_positive_spread_share_20d,FLOW_member_same_sign_20d,FLOW_top_fwd_5d,FLOW_top_fwd_20d,FLOW_state6,MOMENTUM_top_20d,MOMENTUM_spread_20d,MOMENTUM_top_60d,MOMENTUM_spread_60d,MOMENTUM_member_positive_spread_share_20d,MOMENTUM_member_same_sign_20d,MOMENTUM_top_fwd_5d,MOMENTUM_top_fwd_20d,MOMENTUM_state6,REVISION_top_20d,REVISION_spread_20d,REVISION_top_60d,REVISION_spread_60d,REVISION_member_positive_spread_share_20d,REVISION_member_same_sign_20d,REVISION_top_fwd_5d,REVISION_top_fwd_20d,REVISION_state6,VALUE_top_20d,VALUE_spread_20d,VALUE_top_60d,VALUE_spread_60d,VALUE_member_positive_spread_share_20d,VALUE_member_same_sign_20d,VALUE_top_fwd_5d,VALUE_top_fwd_20d,VALUE_state6,MKT_FWD_5D,MKT_FWD_20D,EW4_fwd5,EW4_fwd20,WPLUS_fwd5,WPLUS_fwd20,MARKET_fwd5,MARKET_fwd20,MOMENTUM_fwd5,MOMENTUM_fwd20,REVISION_fwd5,REVISION_fwd20,VALUE_fwd5,VALUE_fwd20,FLOW_fwd5,FLOW_fwd20,period
2016-04-01,K200,0.0075612544061667,0.0289459391084403,0.0795352325376207,-0.0164040597092902,0.4232804232804232,0.5396825396825397,0.625,0.625,0.0,0.125,0.0,1.0,0.5,0.0,0.0,0.1666666666666666,0.0,0.1717342087279803,0.0191037246073924,0.75,0.0094030059863037,0.0032505691611282,0.068959940286627,0.0660596453198876,0.5,0.0,0.0068945115939829,0.0072844098487014,N+,0.025306837125204,0.0084105545590105,0.0221078141007453,-0.0483501992078525,1.0,1.0,0.0129924961751217,0.0091481381377735,N+,0.043772603967257,0.041919568487843,0.0386468368789418,-0.0518143102739321,1.0,1.0,0.0138443539466921,0.0102593667499764,W+,0.0197571661927709,0.0456263696167927,0.1227419089795227,0.1805889317839979,1.0,1.0,-0.0007148057955084,0.0272603077217714,W+,-0.0023417693470179,0.0031261461525708,0.008254138980072073,0.013488055614555674,0.00656477407559185,0.018759837235873898,-0.0023417693470179,0.0031261461525708,0.0129924961751217,0.0091481381377735,0.0138443539466921,0.0102593667499764,-0.0007148057955084,0.0272603077217714,0.0068945115939829,0.0072844098487014,DISCOVERY_2016_2022
2016-04-08,K200,-0.0022043727938394,0.0408640513178899,0.0788635007870059,-0.0187074145321141,0.3703703703703703,0.3210526315789473,0.5,0.5,0.0,0.125,0.0,0.875,0.5,0.0,0.0,0.1666666666666666,0.0,0.2346872756078294,0.0230467802331823,0.5,0.0055002314955467,-0.0107867834235608,0.0586584079768695,0.0234048747054242,0.5,0.0,0.0205679051764926,-0.0063791289216504,R+,0.0200343991731324,0.0208639997304799,0.0147778545817787,-0.0898403219078018,1.0,1.0,0.0015513050847288,0.0028540471449998,W+,0.0357114357317918,0.0530961295673366,0.0589859846210742,-0.055188779723007,1.0,1.0,0.0192876761464564,-0.0190721884450485,W+,-0.0020425871284041,0.0104718351078163,0.1481796530285306,0.2187953230990381,0.5,0.0,0.0445218123557273,0.0009836116645129,N-,0.0230757435208083,0.0035951585132658,0.021482174690851275,-0.00540341463929655,0.0104194906155926,-0.00810907065002435,0.0230757435208083,0.0035951585132658,0.0015513050847288,0.0028540471449998,0.0192876761464564,-0.0190721884450485,0.0445218123557273,0.0009836116645129,0.0205679051764926,-0.0063791289216504,DISCOVERY_2016_2022
2016-04-18,K200,0.0096791996447462,0.0745513335196514,0.1062601914152056,-0.0038463443405902,0.4947368421052631,0.3842105263157894,0.5,0.5,0.0,0.125,0.0,1.0,0.5,0.0,0.0,0.1666666666666666,0.0,0.3271268518548448,0.0297203828658839,0.5,0.0244905588160311,0.0014312703148395,0.0903372003021523,0.0221515210693306,0.5,0.0,-0.0010931805765419,-0.0410068303131756,N+,0.0183413500725557,-0.007626469631355,0.0152931105221547,-0.1517356226847022,0.5,0.0,0.013172606489562,-0.0001308398013086,N+,0.0527391636201373,0.0559799326542049,0.0826081473586164,-0.0774230818397219,1.0,1.0,-0.0055661872479961,-0.0482551279870994,W+,0.038066202053695,0.0560142535992002,0.2216260842766042,0.2994910714696492,1.0,1.0,0.00764911946012,-0.0624222492328236,W+,0.0005562300813353,-0.0311115155342267,0.003540589531286,-0.0379537618336018,0.00104146610606195,-0.055338688609961495,0.0005562300813353,-0.0311115155342267,0.013172606489562,-0.0001308398013086,-0.0055661872479961,-0.0482551279870994,0.00764911946012,-0.0624222492328236,-0.0010931805765419,-0.0410068303131756,DISCOVERY_2016_2022
2016-04-25,K200,0.0143213260635723,0.0661492899055373,0.1094764002738162,-0.004814130859979,0.4473684210526316,0.3105263157894737,0.5,0.5,0.0,0.25,0.0,1.0,0.5,0.0,0.0,0.1666666666666666,0.0,0.3616889149313285,0.0281642205655466,0.75,0.031447706115754,-0.0116139282441805,0.0723995874051579,-0.0062937836661949,0.0,1.0,-0.0187012308287275,-0.042005419339316,R+,0.038628667874712,-0.0053684354015921,0.0173361155684961,-0.1632266249426441,0.5,0.0,-0.01827001769151,-0.0229512501131216,N+,0.0373036261599737,0.0177962339347486,0.0854842047357171,-0.0749164289216992,1.0,1.0,-0.0169198146270361,-0.0518775364891684,W+,0.0537656015971619,0.0601901764347279,0.2273633700283994,0.3210838086373815,1.0,1.0,-0.023293199403644,-0.0777737860613345,W+,-0.0177444937075867,-0.029449635114186,-0.019296065637729398,-0.04865199800073513,-0.02010650701534005,-0.06482566127525145,-0.0177444937075867,-0.029449635114186,-0.01827001769151,-0.0229512501131216,-0.0169198146270361,-0.0518775364891684,-0.023293199403644,-0.0777737860613345,-0.0187012308287275,-0.042005419339316,DISCOVERY_2016_2022
2016-05-02,K200,0.0031261461525706,0.0310390404038496,0.1051098660120294,-0.0224732002528136,0.3989361702127659,0.2180851063829787,0.5,0.5,0.0,0.375,0.125,0.875,0.25,0.0,0.0,0.0,0.0,0.2951688084795023,0.0249251699511838,0.5,0.0072844098487014,-0.0288978371747838,0.0313387501045017,-0.0070424712563181,0.0,1.0,-0.0067637383126997,-0.017594478121253,R+,0.0091481381377735,-0.0194986721661782,-0.0165094129813043,-0.1332164290767894,0.5,0.0,0.0066744277915355,0.0021171690482342,R+,0.0102593667499764,0.0063837055969411,0.0540163022640314,-0.0436019375361176,0.5,0.0,-0.0155912866478793,-0.0219107834084795,N+,0.0272603077217714,0.0352214711667817,0.1533839248249384,0.2698466040832845,1.0,1.0,-0.0262759154044877,-0.0525033292787883,W+,-0.0018753135141996,-0.0020369406753412,-0.0104891281433828,-0.022472855440071653,-0.0262759154044877,-0.0525033292787883,-0.0018753135141996,-0.0020369406753412,0.0066744277915355,0.0021171690482342,-0.0155912866478793,-0.0219107834084795,-0.0262759154044877,-0.0525033292787883,-0.0067637383126997,-0.017594478121253,DISCOVERY_2016_2022
2016-05-11,K200,0.0035951585132658,0.0609589039460203,0.1024108206858183,-0.0243063694708717,0.4095744680851064,0.2765957446808511,0.125,0.125,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.2037382719094088,0.0086256721465986,0.5,-0.0063791289216504,-0.0169784580610946,0.0623877513580002,-0.0094584023861068,0.5,0.0,-0.0149989007339674,0.0077710513409159,R-,0.0028540471449998,-0.0071603304078664,0.0572818965821892,-0.064719403219372,0.5,0.0,-0.0014297043902952,0.0214513665383557,N+,-0.0190721884450485,-0.00921327956665,0.0730648314043755,-0.0317413614102917,0.0,1.0,-0.0110364825516103,0.0176199124488913,N-,0.0009836116645129,0.0069186377765158,0.13801509044769,0.1831383900112096,1.0,1.0,-0.021641912970735,-0.0053687009921076,N+,-0.0123046148389052,0.0235055777655707,-0.012276750161651973,0.010368407334013825,-0.012276750161651973,0.010368407334013825,-0.0123046148389052,0.0235055777655707,-0.0014297043902952,0.0214513665383557,-0.0110364825516103,0.0176199124488913,-0.021641912970735,-0.0053687009921076,-0.0149989007339674,0.0077710513409159,DISCOVERY_2016_2022
2016-05-18,K200,-0.0311115155342267,0.0171279906400814,0.0704078293244839,-0.0363119037953059,0.2287234042553191,0.3085106382978723,0.25,0.125,0.125,0.375,0.375,0.125,0.0,0.25,0.5,0.0,0.0,0.05435132806044,0.0332255373393929,0.75,-0.0410068303131756,-0.0266571592143803,0.0191652392914389,-0.0298476338751998,0.5,0.0,-0.0021333312465815,-0.0243892709335437,R-,-0.0001308398013086,0.0375008778828004,0.0601551190589439,0.0051396943148434,1.0,1.0,-0.0099514336520364,-0.0308371179277987,W-,-0.0482551279870994,-0.0084235245904811,0.0526382008149728,0.0110485856715256,0.0,1.0,-0.0093510728869795,-0.0200199646749755,N-,-0.0624222492328236,-0.0537193728054007,0.0477123493437512,0.0624454680536245,0.0,1.0,-0.008849738959836,-0.0378292440315005,R-,0.0022724284205475,-0.0005104017065256,-0.007571394186358349,-0.0282688993919546,-0.007571394186358349,-0.0282688993919546,0.0022724284205475,-0.0005104017065256,-0.0099514336520364,-0.0308371179277987,-0.0093510728869795,-0.0200199646749755,-0.008849738959836,-0.0378292440315005,-0.0021333312465815,-0.0243892709335437,DISCOVERY_2016_2022
2016-05-25,K200,-0.0294496351141863,0.0147027999578133,0.087000095393058,-0.0341219915769472,0.2340425531914893,0.3351063829787234,0.25,0.0,0.25,0.375,0.375,0.0,0.0,0.25,0.25,0.0,0.0,0.0442795704929037,0.0364444437014902,0.75,-0.042005419339316,-0.0049397968420459,0.013377308491508,-0.0227182145089124,0.5,0.0,0.0063035312598818,-0.0122135222100978,N-,-0.0229512501131216,0.0344100273787,0.0442569044773974,0.0051677657137259,1.0,1.0,0.0069185091886778,-0.0222108925408186,W-,-0.0518775364891684,-0.0029832906019673,0.0289877970943934,-0.0007096590184925,0.0,1.0,0.0141518267561899,0.0042648655644315,N-,-0.0777737860613345,-0.0671472528787457,0.0297299823940029,0.0465086238405204,0.0,1.0,0.0034701116155444,-0.011348616774028,R-,0.0099988064126853,0.0158905327752601,0.007710994705073475,-0.010377041490128225,0.007710994705073475,-0.010377041490128225,0.0099988064126853,0.0158905327752601,0.0069185091886778,-0.0222108925408186,0.0141518267561899,0.0042648655644315,0.0034701116155444,-0.011348616774028,0.0063035312598818,-0.0122135222100978,DISCOVERY_2016_2022
2016-06-01,K200,-0.0020369406753414,0.0086522797204935,0.0862912288404668,-0.0244643643524553,0.4574468085106383,0.4308510638297872,0.25,0.125,0.125,0.375,0.375,0.125,0.25,0.0,0.5,0.0,0.3333333333333333,0.0309754379189965,0.0369283127905364,0.5,-0.017594478121253,-0.009193689341163,-0.0011333784495697,-0.0349323676789636,0.5,0.0,0.0188814388546099,-0.030032158578271,R-,0.0021171690482342,0.0273307417233046,0.0368770919069896,0.0172240551817943,0.5,0.0,0.0260965500705721,-0.0312301374889734,W+,-0.0219107834084795,-0.0056024413103494,0.0313765440219027,0.042042550416653,0.0,1.0,0.0241948195546597,-0.027918465370096,N-,-0.0525033292787883,-0.0745135373837105,-0.0074441204295988,0.0049101698135186,0.0,1.0,0.0221634345156158,-0.0386574264481013,R-,0.0236713417178545,-0.001978613767711,0.022834060748864373,-0.03195954697136042,0.0260965500705721,-0.0312301374889734,0.0236713417178545,-0.001978613767711,0.0260965500705721,-0.0312301374889734,0.0241948195546597,-0.027918465370096,0.0221634345156158,-0.0386574264481013,0.0188814388546099,-0.030032158578271,DISCOVERY_2016_2022
2016-06-09,K200,0.0235055777655701,0.0249209433539239,0.0962493979851338,-0.0013721269630982,0.6808510638297872,0.9052631578947368,0.125,0.125,0.0,0.25,0.125,0.75,0.25,0.0,0.25,0.0,0.1666666666666666,0.0443272848180889,0.0165468833813037,0.5,0.0077710513409159,-0.0106596343818821,0.0068499646115449,-0.0391384120748756,0.5,0.0,-0.0464325807855452,-0.0392664074468819,R+,0.0214513665383557,0.0137590917594667,0.04488920699797,0.027949875235234,0.5,0.0,-0.0525468981215061,-0.0483578961479066,W+,0.0176199124488913,0.0100330979879608,0.0338592457457667,0.0535500317100834,1.0,1.0,-0.047616412662416,-0.038405441986383,N+,-0.0053687009921076,-0.027225897722554,-0.0064239894595757,-0.0095043814512451,0.0,1.0,-0.0535713674566626,-0.0592220728246357,R-,-0.035480328396322,-0.0238389833983113,-0.05004181475653248,-0.0463129546014518,-0.0525468981215061,-0.0483578961479066,-0.035480328396322,-0.0238389833983113,-0.0525468981215061,-0.0483578961479066,-0.047616412662416,-0.038405441986383,-0.0535713674566626,-0.0592220728246357,-0.0464325807855452,-0.0392664074468819,DISCOVERY_2016_2022
