universe,model,period,n,switch_rate,mean5,win_rate,mean_edge_vs_wplus,beat_wplus_rate,compound,compound_wplus,mdd,wplus_mdd
K200,FACTOR_ONLY,BULL_2025,49,0.8979591836734694,0.01027162804460953,0.6938775510204082,-0.0005970080482053963,0.40816326530612246,0.617791765657334,0.6651772797293967,-0.10316912246514831,-0.08226489165743289
K200,FACTOR_ONLY,DISCOVERY_2016_2022,144,0.9652777777777778,0.0030316740068025245,0.5625,0.001667183765869264,0.5138888888888888,0.43012321373696705,0.12060529745601123,-0.27487460723285495,-0.3148979511271004
K200,FACTOR_ONLY,NORMAL_2023_2024,97,0.9072164948453608,0.0013667942196490372,0.5567010309278351,-0.0012595735856705394,0.422680412371134,0.11029208962489201,0.24809875308162144,-0.15707340273526815,-0.12409347826228045
K200,FACTOR_ONLY,YTD_2026,20,0.95,0.014970203777594563,0.6,0.008634537102348764,0.65,0.3068549789788677,0.09518279265738161,-0.1708830701821491,-0.2836578869195069
K200,FULL,BULL_2025,49,0.8367346938775511,0.011295497080967252,0.7142857142857143,0.0004268609881523264,0.40816326530612246,0.6980379761602096,0.6651772797293967,-0.10316912246514831,-0.08226489165743289
K200,FULL,DISCOVERY_2016_2022,144,0.9652777777777778,0.0006332131613158183,0.5069444444444444,-0.0007312770796174423,0.4652777777777778,0.007400020967873289,0.12060529745601123,-0.3044099161422624,-0.3148979511271004
K200,FULL,NORMAL_2023_2024,97,0.8865979381443299,0.0015500852136080938,0.5567010309278351,-0.0010762825917114821,0.3917525773195876,0.13043512164904425,0.24809875308162144,-0.16236380857900234,-0.12409347826228045
K200,FULL,YTD_2026,20,0.9,0.012521581701614696,0.7,0.006185915026368895,0.55,0.23967434236621998,0.09518279265738161,-0.18542011384383073,-0.2836578869195069
K200,MARKET_ONLY,BULL_2025,49,0.6938775510204082,0.010839244969224046,0.6122448979591837,-2.939112359087853e-05,0.2857142857142857,0.661769620991479,0.6651772797293967,-0.08608850656775668,-0.08226489165743289
K200,MARKET_ONLY,DISCOVERY_2016_2022,144,0.9722222222222222,0.00012847131695405673,0.5138888888888888,-0.0012360189239792034,0.4236111111111111,-0.06615175581897015,0.12060529745601123,-0.34825783109070907,-0.3148979511271004
K200,MARKET_ONLY,NORMAL_2023_2024,97,0.9484536082474226,0.0023881935133767116,0.5567010309278351,-0.00023817429194286456,0.4639175257731959,0.22922799763372015,0.24809875308162144,-0.13131493722772747,-0.12409347826228045
K200,MARKET_ONLY,YTD_2026,20,1.0,0.010445576009173443,0.6,0.004109909333927642,0.5,0.19132726629976693,0.09518279265738161,-0.24561521958976584,-0.2836578869195069
KOSDAQ,FACTOR_ONLY,BULL_2025,45,0.7111111111111111,0.010213274834717434,0.6666666666666666,-0.00032465913002151177,0.4444444444444444,0.5552561061795838,0.574282875425894,-0.10078048182763255,-0.10058698392159993
KOSDAQ,FACTOR_ONLY,DISCOVERY_2016_2022,113,0.9734513274336283,0.0005354749430458203,0.5663716814159292,2.1625241190959752e-05,0.415929203539823,-0.00517330149093409,-0.007275523738896061,-0.3638309211094263,-0.3936556834696191
KOSDAQ,FACTOR_ONLY,NORMAL_2023_2024,73,0.9178082191780822,0.0023035709209615596,0.589041095890411,0.0006724986531778688,0.3835616438356164,0.13897562645970574,0.08100198912043077,-0.22611031639643753,-0.24942657042650151
KOSDAQ,FACTOR_ONLY,YTD_2026,13,0.7692307692307693,0.013388141737674292,0.5384615384615384,-0.008950107055203929,0.23076923076923078,0.16628868741568947,0.3146142652396362,-0.06986909368941452,-0.06774718424035053
KOSDAQ,FULL,BULL_2025,45,0.6222222222222222,0.010381182914510203,0.6444444444444445,-0.00015675105022874285,0.35555555555555557,0.5640313445430865,0.574282875425894,-0.08125490251144452,-0.10058698392159993
KOSDAQ,FULL,DISCOVERY_2016_2022,113,0.9292035398230089,-0.0012733892615218942,0.5398230088495575,-0.001787238963376755,0.3274336283185841,-0.19243826714883094,-0.007275523738896061,-0.41887245266308937,-0.3936556834696191
KOSDAQ,FULL,NORMAL_2023_2024,73,0.9178082191780822,0.003380382653000513,0.6301369863013698,0.0017493103852168224,0.4246575342465753,0.2315051787147877,0.08100198912043077,-0.22312103811716744,-0.24942657042650151
KOSDAQ,FULL,YTD_2026,13,0.7692307692307693,0.015623520178100755,0.5384615384615384,-0.006714728614777463,0.23076923076923078,0.19924757997220932,0.3146142652396362,-0.06986909368941441,-0.06774718424035053
KOSDAQ,MARKET_ONLY,BULL_2025,45,0.6444444444444445,0.0114180731042028,0.6888888888888889,0.000880139139463855,0.28888888888888886,0.636501333437796,0.574282875425894,-0.12498043936521563,-0.10058698392159993
KOSDAQ,MARKET_ONLY,DISCOVERY_2016_2022,113,0.9557522123893806,-0.00024321029987672016,0.5575221238938053,-0.0007570600017315802,0.4336283185840708,-0.0980020071093366,-0.007275523738896061,-0.4197908964936068,-0.3936556834696191
KOSDAQ,MARKET_ONLY,NORMAL_2023_2024,73,0.9315068493150684,-0.0004963406869699205,0.589041095890411,-0.0021274129547536116,0.3972602739726027,-0.06859509561203336,0.08100198912043077,-0.24007192114513953,-0.24942657042650151
KOSDAQ,MARKET_ONLY,YTD_2026,13,1.0,0.021437733197283815,0.46153846153846156,-0.0009005155955944005,0.5384615384615384,0.2928289520178988,0.3146142652396362,-0.0756827120652036,-0.06774718424035053
KOSDAQ_PLUS_KOSPI_EX_K200,FACTOR_ONLY,BULL_2025,49,0.8979591836734694,0.009723193819094953,0.673469387755102,-0.0016040545440855526,0.32653061224489793,0.5784419337377649,0.7114258264545352,-0.13345918234417486,-0.07579799823399513
KOSDAQ_PLUS_KOSPI_EX_K200,FACTOR_ONLY,DISCOVERY_2016_2022,144,0.9375,0.0016272775913652418,0.6041666666666666,0.0002302937507386434,0.4375,0.14675421188064197,0.11156895308574466,-0.37204595455925416,-0.37065528560829675
KOSDAQ_PLUS_KOSPI_EX_K200,FACTOR_ONLY,NORMAL_2023_2024,96,0.9583333333333334,0.0009462366462072027,0.5208333333333334,-6.818600523587751e-05,0.4583333333333333,0.03872600822319883,0.053694830611457744,-0.33963679318845286,-0.31172072114019045
KOSDAQ_PLUS_KOSPI_EX_K200,FACTOR_ONLY,YTD_2026,19,1.0,0.007279961028104847,0.631578947368421,-0.0015619266361383266,0.47368421052631576,0.09562961528086311,0.13474518384061684,-0.24209885734667935,-0.2349018843690398
KOSDAQ_PLUS_KOSPI_EX_K200,FULL,BULL_2025,49,0.8163265306122449,0.009959848942435946,0.6938775510204082,-0.00136739942074456,0.32653061224489793,0.5982367982784551,0.7114258264545352,-0.12199943908560673,-0.07579799823399513
KOSDAQ_PLUS_KOSPI_EX_K200,FULL,DISCOVERY_2016_2022,144,0.8819444444444444,0.0010045220412277021,0.5972222222222222,-0.00039246179939889683,0.3888888888888889,0.04953279597502336,0.11156895308574466,-0.3931670308659996,-0.37065528560829675
KOSDAQ_PLUS_KOSPI_EX_K200,FULL,NORMAL_2023_2024,96,0.84375,0.0010369550449181141,0.5416666666666666,2.253239347503368e-05,0.40625,0.04983481692974667,0.053694830611457744,-0.32807956078265244,-0.31172072114019045
KOSDAQ_PLUS_KOSPI_EX_K200,FULL,YTD_2026,19,1.0,-0.0019345019593281492,0.5263157894736842,-0.010776389623571322,0.3157894736842105,-0.07652625131086133,0.13474518384061684,-0.29018314139465273,-0.2349018843690398
KOSDAQ_PLUS_KOSPI_EX_K200,MARKET_ONLY,BULL_2025,49,0.7755102040816326,0.012478804393897978,0.7346938775510204,0.0011515560307174735,0.42857142857142855,0.8087388470436161,0.7114258264545352,-0.11095976868581792,-0.07579799823399513
KOSDAQ_PLUS_KOSPI_EX_K200,MARKET_ONLY,DISCOVERY_2016_2022,144,0.9375,0.001249457146138594,0.6041666666666666,-0.00014752669448800487,0.4652777777777778,0.08334518869994345,0.11156895308574466,-0.3770169726485936,-0.37065528560829675
KOSDAQ_PLUS_KOSPI_EX_K200,MARKET_ONLY,NORMAL_2023_2024,96,0.84375,0.003178304169864575,0.5729166666666666,0.002163881518421495,0.5,0.2922038268942473,0.053694830611457744,-0.2845788794528453,-0.31172072114019045
KOSDAQ_PLUS_KOSPI_EX_K200,MARKET_ONLY,YTD_2026,19,0.5263157894736842,0.007374779836501102,0.5789473684210527,-0.00146710782774207,0.3157894736842105,0.10321634675318614,0.13474518384061684,-0.23436862476240516,-0.2349018843690398
KOSPI_ALL,FACTOR_ONLY,BULL_2025,49,0.8367346938775511,0.011039223114498254,0.7142857142857143,0.0013811765170576031,0.4897959183673469,0.6879354367933102,0.5765787304897598,-0.07223682360241701,-0.0747127439264339
KOSPI_ALL,FACTOR_ONLY,DISCOVERY_2016_2022,144,0.9652777777777778,0.002259535076131937,0.5138888888888888,0.0004505213247614373,0.4791666666666667,0.2707777329818477,0.19392475228255468,-0.32402578680062577,-0.3182399686321229
KOSPI_ALL,FACTOR_ONLY,NORMAL_2023_2024,97,0.8865979381443299,0.0006513231122774305,0.5360824742268041,-0.0022491818594472463,0.29896907216494845,0.03557906020471835,0.28105564344958145,-0.15797697215975925,-0.15452400751250472
KOSPI_ALL,FACTOR_ONLY,YTD_2026,21,0.9523809523809523,0.014162252401819267,0.5714285714285714,0.0036149690913594937,0.42857142857142855,0.2869898736359706,0.20109187487945968,-0.19613994633922205,-0.20010222935679745
KOSPI_ALL,FULL,BULL_2025,49,0.8367346938775511,0.012394050081446005,0.7142857142857143,0.0027360034840053548,0.5102040816326531,0.7967662070127584,0.5765787304897598,-0.07901876576853095,-0.0747127439264339
KOSPI_ALL,FULL,DISCOVERY_2016_2022,144,0.9375,0.0014992541560349107,0.5138888888888888,-0.00030975959533558893,0.4583333333333333,0.13642357016029427,0.19392475228255468,-0.29548314051806734,-0.3182399686321229
KOSPI_ALL,FULL,NORMAL_2023_2024,97,0.8865979381443299,0.0006187750316260676,0.5257731958762887,-0.0022817299400986093,0.28865979381443296,0.03194309758342673,0.28105564344958145,-0.1722047102126576,-0.15452400751250472
KOSPI_ALL,FULL,YTD_2026,21,0.9523809523809523,0.007397335182373925,0.5714285714285714,-0.0031499481280858506,0.42857142857142855,0.11972421674566713,0.20109187487945968,-0.2503867761445965,-0.20010222935679745
KOSPI_ALL,MARKET_ONLY,BULL_2025,49,0.6122448979591837,0.01118682218588675,0.6530612244897959,0.0015287755884460983,0.32653061224489793,0.6941469955326531,0.5765787304897598,-0.07329233293657278,-0.0747127439264339
KOSPI_ALL,MARKET_ONLY,DISCOVERY_2016_2022,144,0.9652777777777778,0.002024359573093587,0.5347222222222222,0.00021534582172308718,0.4722222222222222,0.23123207189306494,0.19392475228255468,-0.29509332582645986,-0.3182399686321229
