date,universe,model,chosen_action,pred_edge,ret,wplus_ret,edge,market_ret,period
2020-01-03,K200,FACTOR_ONLY,MARKET,0.0025259504741115013,0.0169130876539593,0.0043112416968178,0.0126018459571415,0.0169130876539593,DISCOVERY_2016_2022
2020-01-10,K200,FACTOR_ONLY,VALUE,0.007383305152203306,0.0219777772762561,0.022804546170452866,-0.0008267688941967673,0.0204272826320437,DISCOVERY_2016_2022
2020-01-17,K200,FACTOR_ONLY,VALUE,0.007583629201289095,-0.0413466359644538,-0.04435441709958753,0.0030077811351337316,-0.0325226576475996,DISCOVERY_2016_2022
2020-01-28,K200,FACTOR_ONLY,MARKET,0.006588056177995005,-0.00887853712192,-0.02461770534558215,0.01573916822366215,-0.00887853712192,DISCOVERY_2016_2022
2020-02-04,K200,FACTOR_ONLY,MARKET,0.005254995422215523,0.0316533530897201,0.030911540319162472,0.0007418127705576295,0.0316533530897201,DISCOVERY_2016_2022
2020-02-11,K200,FACTOR_ONLY,WPLUS,0.0,-0.0152625810013756,-0.0152625810013756,0.0,-0.0060674535150823,DISCOVERY_2016_2022
2020-02-18,K200,FACTOR_ONLY,FLOW,0.0019280513800702317,-0.0570063085467639,-0.061965637329666874,0.0049593287829029775,-0.0483189310267974,DISCOVERY_2016_2022
2020-02-25,K200,FACTOR_ONLY,MARKET,0.002403413355608117,-0.0444181624958392,-0.04318934704301705,-0.001228815452822149,-0.0444181624958392,DISCOVERY_2016_2022
2020-03-03,K200,FACTOR_ONLY,MARKET,0.0016632471499884044,-0.0248610312070806,-0.03347791644108888,0.008616885234008276,-0.0248610312070806,DISCOVERY_2016_2022
2020-03-10,K200,FACTOR_ONLY,MARKET,0.004428894054694918,-0.1450765868387732,-0.15231633594583338,0.007239749107060184,-0.1450765868387732,DISCOVERY_2016_2022
2020-04-22,K200,FACTOR_ONLY,REVISION,0.004338812829927013,0.0629070167353453,0.0803358338385171,-0.017428817103171804,0.0268495826100621,DISCOVERY_2016_2022
2020-04-29,K200,FACTOR_ONLY,REVISION,0.0028524567632387293,0.0033881870627225,-0.0210797122260101,0.0244678992887326,-0.0116515574607082,DISCOVERY_2016_2022
2020-05-11,K200,FACTOR_ONLY,VALUE,0.001328877755697802,-0.0197646856374741,0.0041728654545354,-0.0239375510920095,0.0018850993028074,DISCOVERY_2016_2022
2020-05-18,K200,FACTOR_ONLY,VALUE,0.005597952052751861,0.0365737482907178,0.022837024759411434,0.013736723531306366,0.0303478241154039,DISCOVERY_2016_2022
2020-05-25,K200,FACTOR_ONLY,VALUE,0.002780867470257492,0.0509224133974528,0.03458956626757355,0.01633284712987925,0.0367882498870477,DISCOVERY_2016_2022
2020-06-01,K200,FACTOR_ONLY,FLOW,0.00336663766177913,0.0439542883852561,0.05315593057251459,-0.00920164218725849,0.0623319168243553,DISCOVERY_2016_2022
2020-06-08,K200,FACTOR_ONLY,MARKET,0.0021751239716300045,-0.0708935212560569,-0.09932054201239274,0.02842702075633584,-0.0708935212560569,DISCOVERY_2016_2022
2020-06-15,K200,FACTOR_ONLY,MARKET,0.0033304577235248305,0.0467483895194303,0.054040451010766724,-0.007292061491336425,0.0467483895194303,DISCOVERY_2016_2022
2020-06-22,K200,FACTOR_ONLY,VALUE,0.004170926205765697,-0.0462194578058301,-0.023190429337460298,-0.023029028468369805,-0.0140296432478934,DISCOVERY_2016_2022
2020-06-29,K200,FACTOR_ONLY,VALUE,0.0076421935499979094,0.0584759763670386,0.03718737768798825,0.02128859867905035,0.0414880368752635,DISCOVERY_2016_2022
2020-07-06,K200,FACTOR_ONLY,MARKET,0.007352606114625512,-0.0027900700184819,0.0212996845062201,-0.024089754524702,-0.0027900700184819,DISCOVERY_2016_2022
2020-07-13,K200,FACTOR_ONLY,VALUE,0.004948154591915332,0.0275812837927462,-0.001800763654461567,0.029382047447207765,0.0038717842162992,DISCOVERY_2016_2022
2020-07-20,K200,FACTOR_ONLY,FLOW,0.0028086303269774346,0.0300065952730286,0.0274879631960498,0.0025186320769788016,0.0087899455375466,DISCOVERY_2016_2022
2020-07-27,K200,FACTOR_ONLY,FLOW,0.0026075519899623587,0.001231646886241,0.0009855865327245,0.0002460603535164999,0.0175986272190185,DISCOVERY_2016_2022
2020-08-03,K200,FACTOR_ONLY,VALUE,0.0040082809998304245,0.0586054489775085,0.09647439695121433,-0.03786894797370583,0.0615900436314909,DISCOVERY_2016_2022
2020-08-10,K200,FACTOR_ONLY,VALUE,0.004704069974852842,-0.0099029168270718,-0.0351907822843428,0.025287865457271005,-0.0116945928157945,DISCOVERY_2016_2022
2020-08-18,K200,FACTOR_ONLY,VALUE,0.004599037965765597,0.005434086475903,0.026393024247084396,-0.020958937771181397,0.0047984264104503,DISCOVERY_2016_2022
2020-08-25,K200,FACTOR_ONLY,VALUE,0.0042573428601580445,0.0045600143457993,0.0082016120179652,-0.0036415976721658992,-0.0112505612835895,DISCOVERY_2016_2022
2020-09-01,K200,FACTOR_ONLY,FLOW,0.0034192566253949236,0.0233528589242419,0.01701771561672135,0.006335143307520549,0.0202383595482461,DISCOVERY_2016_2022
2020-09-08,K200,FACTOR_ONLY,MARKET,0.00238480475146204,0.0173722093792846,0.0144084499873882,0.0029637593918964006,0.0173722093792846,DISCOVERY_2016_2022
2020-09-15,K200,FACTOR_ONLY,VALUE,0.0005626652387542491,-0.0394995768835825,-0.04795002993084565,0.008450453047263148,-0.0455700041269976,DISCOVERY_2016_2022
2020-09-22,K200,FACTOR_ONLY,MARKET,0.003548037395895751,-0.0002602015269673,0.007049587618712674,-0.007309789145679975,-0.0002602015269673,DISCOVERY_2016_2022
2020-09-29,K200,FACTOR_ONLY,REVISION,0.00022911718408531135,0.0621369286922819,0.0438673057802195,0.018269622912062397,0.0320817260642131,DISCOVERY_2016_2022
2020-10-12,K200,FACTOR_ONLY,VALUE,4.597446244137396e-06,0.0154088233624851,-4.252676594615045e-05,0.01545135012843125,-0.0212617390730495,DISCOVERY_2016_2022
2020-10-19,K200,FACTOR_ONLY,REVISION,0.0016576230613228457,0.0097121969864848,0.0169825227599131,-0.007270325773428302,0.0012309467081121,DISCOVERY_2016_2022
2020-10-26,K200,FACTOR_ONLY,WPLUS,0.0,-0.018822223095317836,-0.018822223095317836,0.0,-0.0210806113823932,DISCOVERY_2016_2022
2020-11-02,K200,FACTOR_ONLY,MARKET,0.0004728314159891002,0.0654292598177745,0.05475120474535985,0.010678055072414656,0.0654292598177745,DISCOVERY_2016_2022
2020-11-09,K200,FACTOR_ONLY,VALUE,0.0009879825427929385,0.0674483564543311,0.04735409989502435,0.02009425655930675,0.0409104431315659,DISCOVERY_2016_2022
2020-11-16,K200,FACTOR_ONLY,MARKET,0.0014878899856578427,0.0243273775333312,0.02259840446816445,0.0017289730651667487,0.0243273775333312,DISCOVERY_2016_2022
2020-11-23,K200,FACTOR_ONLY,MARKET,0.0051292666335433995,-0.006350793380031,-0.0149469173934797,0.0085961240134487,-0.006350793380031,DISCOVERY_2016_2022
2020-11-30,K200,FACTOR_ONLY,MARKET,0.003684336107856233,0.0640604693584556,0.024155232742766125,0.03990523661568947,0.0640604693584556,DISCOVERY_2016_2022
2020-12-07,K200,FACTOR_ONLY,MOMENTUM,0.002817921556671741,0.0125142706467173,0.033992050806853996,-0.021477780160136697,0.0050228251561772,DISCOVERY_2016_2022
2020-12-14,K200,FACTOR_ONLY,MARKET,0.004671592029383319,0.0040549276361882,0.0271406382542167,-0.023085710618028502,0.0040549276361882,DISCOVERY_2016_2022
2020-12-21,K200,FACTOR_ONLY,REVISION,0.008007107740041708,-0.0072354505556547,-0.0105386064593279,0.003303155903673199,0.019650458995323,DISCOVERY_2016_2022
2020-12-29,K200,FACTOR_ONLY,REVISION,0.005977374177486239,0.0888174015134217,0.08858492322283415,0.00023247829058754832,0.0770947004566352,DISCOVERY_2016_2022
2021-01-07,K200,FACTOR_ONLY,MARKET,0.0023316255059439477,0.0425228178503591,0.0048114769096825,0.0377113409406766,0.0425228178503591,DISCOVERY_2016_2022
2021-01-14,K200,FACTOR_ONLY,MARKET,0.004502231000550457,0.0027804604797723,0.023369897351558,-0.0205894368717857,0.0027804604797723,DISCOVERY_2016_2022
2021-01-21,K200,FACTOR_ONLY,MOMENTUM,0.002588966854703709,-0.0114312519889626,-0.014648013631022399,0.0032167616420597997,-0.0300427318653661,DISCOVERY_2016_2022
2021-01-28,K200,FACTOR_ONLY,REVISION,0.0021140033468979415,0.0084593638010579,0.0118436701631181,-0.0033843063620601996,0.0053872651503352,DISCOVERY_2016_2022
2021-02-04,K200,FACTOR_ONLY,REVISION,0.0007462388117331393,0.0225747161507323,0.022243906669639935,0.0003308094810923652,0.0190669079424615,DISCOVERY_2016_2022
2021-02-15,K200,FACTOR_ONLY,REVISION,0.0024652301405707995,-0.0113250657654461,-0.013432919884104333,0.0021078541186582336,-0.0228112753480164,DISCOVERY_2016_2022
2021-02-22,K200,FACTOR_ONLY,WPLUS,0.0,-0.0239490179537269,-0.0239490179537269,0.0,-0.0101326522379249,DISCOVERY_2016_2022
2021-03-02,K200,FACTOR_ONLY,REVISION,0.0008447516713999865,-0.0184027342409219,0.012832484122727549,-0.03123521836364945,-0.0237009446976102,DISCOVERY_2016_2022
2021-03-09,K200,FACTOR_ONLY,REVISION,0.0009827413658859484,0.0268415826136771,0.0277378438686237,-0.0008962612549465974,0.0292447484839523,DISCOVERY_2016_2022
2021-03-16,K200,FACTOR_ONLY,REVISION,0.0022508974675800697,-0.015047975633938,-0.005578441395708,-0.00946953423823,-0.0214612559482501,DISCOVERY_2016_2022
2021-03-23,K200,FACTOR_ONLY,REVISION,0.0018274656463746488,0.0352824631229196,0.0312935056495924,0.003988957473327198,0.021610019497617,DISCOVERY_2016_2022
2021-03-30,K200,FACTOR_ONLY,MOMENTUM,0.003168777582465991,0.0020111247555782,0.0025295200784924,-0.0005183953229142002,0.0193485539996219,DISCOVERY_2016_2022
2021-04-06,K200,FACTOR_ONLY,MOMENTUM,0.009168717963585538,0.0362251513499798,0.024171210951317572,0.012053940398662227,0.0112203348484653,DISCOVERY_2016_2022
2021-04-13,K200,FACTOR_ONLY,MARKET,0.00449190062363339,0.0153145759238359,0.0307253261863096,-0.0154107502624737,0.0153145759238359,DISCOVERY_2016_2022
2021-04-20,K200,FACTOR_ONLY,MOMENTUM,0.0059943867534894705,0.0213839451112669,0.0410896905030708,-0.0197057453918039,-0.0047424605269056,DISCOVERY_2016_2022
2021-04-27,K200,FACTOR_ONLY,MOMENTUM,0.012843270573672043,-0.0619106865167362,-0.0348630311090438,-0.027047655407692404,-0.0217669335820961,DISCOVERY_2016_2022
