universe,family,feature,horizon,sample,n,hl,high_rel,low_rel,high_win_rel,low_win_rel
K200,FLOW,z_top_20d,5,BULL_2025,49,0.00195229549653548,0.0008016683722765049,-0.001150627124258975,0.625,0.25
K200,FLOW,z_top_20d,5,DISCOVERY_2016_2022,328,0.0005517278562635877,-0.0001259390842214315,-0.0006776669404850192,0.5370370370370371,0.4444444444444444
K200,FLOW,z_top_20d,5,NORMAL_2023_2024,97,-0.0019903593031956623,-0.0015210439465150006,0.0004693153566806618,0.40625,0.40625
K200,FLOW,z_top_20d,20,BULL_2025,49,0.0060954334452886505,0.002242929152626711,-0.0038525042926619395,0.6875,0.25
K200,FLOW,z_top_20d,20,DISCOVERY_2016_2022,328,0.00045321662931808586,-0.0002494242380943318,-0.0007026408674124176,0.5,0.46296296296296297
K200,FLOW,z_top_20d,20,NORMAL_2023_2024,97,-0.008936800699215007,-0.008004816631040157,0.0009319840681748506,0.1875,0.5625
K200,FLOW,z_spread_20d,5,BULL_2025,49,-0.0026170739603620574,-0.0032395057302386553,-0.0006224317698765981,0.3125,0.4375
K200,FLOW,z_spread_20d,5,DISCOVERY_2016_2022,328,0.0008799430551829398,0.00044771207307208144,-0.00043223098211085843,0.5462962962962963,0.48148148148148145
K200,FLOW,z_spread_20d,5,NORMAL_2023_2024,97,-0.0005439722046046019,-0.000431978233214652,0.00011199397138994993,0.40625,0.4375
K200,FLOW,z_spread_20d,20,BULL_2025,49,-0.009673085730677638,-0.009154897919446152,0.0005181878112314863,0.3125,0.5
K200,FLOW,z_spread_20d,20,DISCOVERY_2016_2022,328,0.0012900212184528278,0.0011974559317458353,-9.256528670699246e-05,0.5555555555555556,0.49074074074074076
K200,FLOW,z_spread_20d,20,NORMAL_2023_2024,97,-0.00575983751877071,-0.005270955401095992,0.0004888821176747176,0.25,0.53125
K200,FLOW,z_top_60d,5,BULL_2025,49,0.0015605163079534504,-0.0011974473774165153,-0.0027579636853699656,0.4375,0.25
K200,FLOW,z_top_60d,5,DISCOVERY_2016_2022,328,0.0006317560363762263,0.0003839076810684301,-0.00024784835530779615,0.5555555555555556,0.5277777777777778
K200,FLOW,z_top_60d,5,NORMAL_2023_2024,97,-0.0017551671652724294,-0.0014359421545150435,0.0003192250107573859,0.34375,0.40625
K200,FLOW,z_top_60d,20,BULL_2025,49,0.01018999544192187,-0.0017591511663018213,-0.011949146608223691,0.5625,0.0625
K200,FLOW,z_top_60d,20,DISCOVERY_2016_2022,328,0.0027623349439735443,0.001457406780025523,-0.0013049281639480215,0.5925925925925926,0.4722222222222222
K200,FLOW,z_top_60d,20,NORMAL_2023_2024,97,-0.003165811619990707,-0.004194453455211408,-0.0010286418352207015,0.4375,0.375
K200,FLOW,z_spread_60d,5,BULL_2025,49,-0.004349492835242112,-0.0034344791131757516,0.0009150137220663609,0.1875,0.4375
K200,FLOW,z_spread_60d,5,DISCOVERY_2016_2022,328,0.000167995675190856,-7.685930725373185e-05,-0.00024485498244458784,0.4722222222222222,0.5648148148148148
K200,FLOW,z_spread_60d,5,NORMAL_2023_2024,97,-0.0013881962134048808,-0.001380399030272567,7.79718313231371e-06,0.34375,0.46875
K200,FLOW,z_spread_60d,20,BULL_2025,49,-0.017632840255417993,-0.01006499942315536,0.007567840832262633,0.25,0.6875
K200,FLOW,z_spread_60d,20,DISCOVERY_2016_2022,328,4.71056691245511e-05,-0.0010002786389734942,-0.0010473843080980453,0.48148148148148145,0.49074074074074076
K200,FLOW,z_spread_60d,20,NORMAL_2023_2024,97,-0.00414452735561817,-0.005717093772466626,-0.001572566416848456,0.28125,0.375
K200,FLOW,spread_accel,5,BULL_2025,49,0.002806326929430036,0.00015714971115245505,-0.002649177218277581,0.5,0.1875
K200,FLOW,spread_accel,5,DISCOVERY_2016_2022,328,7.018290570524194e-05,0.0005841935490548571,0.0005140106433496152,0.5648148148148148,0.5185185185185185
K200,FLOW,spread_accel,5,NORMAL_2023_2024,97,0.0030127997522411162,0.0008172770891078609,-0.0021955226631332554,0.53125,0.28125
K200,FLOW,spread_accel,20,BULL_2025,49,0.011354796943694189,0.003961253920087259,-0.007393543023606931,0.75,0.25
K200,FLOW,spread_accel,20,DISCOVERY_2016_2022,328,0.000816427825681297,0.0013224181903528276,0.0005059903646715306,0.5648148148148148,0.5648148148148148
K200,FLOW,spread_accel,20,NORMAL_2023_2024,97,0.00473286928296123,-0.0007438270324498987,-0.005476696315411128,0.34375,0.28125
K200,FLOW,top_accel,5,BULL_2025,49,-0.002882632719735128,-0.0026474201454439643,0.00023521257429116372,0.3125,0.375
K200,FLOW,top_accel,5,DISCOVERY_2016_2022,328,-0.00026982332154556636,-0.0002412706401527869,2.855268139277948e-05,0.5,0.5
K200,FLOW,top_accel,5,NORMAL_2023_2024,97,0.00040173386244932825,-0.0005957262086091906,-0.0009974600710585188,0.5,0.375
K200,FLOW,top_accel,20,BULL_2025,49,-0.0073270998951492855,-0.008326190832599164,-0.0009990909374498784,0.3125,0.5
K200,FLOW,top_accel,20,DISCOVERY_2016_2022,328,-0.0014255502688037209,-0.000909298635237398,0.0005162516335663228,0.49074074074074076,0.5555555555555556
K200,FLOW,top_accel,20,NORMAL_2023_2024,97,-0.005674648356258775,-0.006395204109718024,-0.0007205557534592494,0.21875,0.4375
K200,MOMENTUM,z_top_20d,5,BULL_2025,49,-0.0013692429044070034,-0.0005855401225086204,0.0007837027818983829,0.5,0.5
K200,MOMENTUM,z_top_20d,5,DISCOVERY_2016_2022,328,-0.0012183996266177945,-0.001444114515783416,-0.0002257148891656215,0.37962962962962965,0.49074074074074076
K200,MOMENTUM,z_top_20d,5,NORMAL_2023_2024,97,0.0006214425406475695,0.0005608513502704526,-6.059119037711693e-05,0.53125,0.59375
K200,MOMENTUM,z_top_20d,20,BULL_2025,49,-0.014298400966313723,-0.005827701284751703,0.008470699681562019,0.375,0.6875
K200,MOMENTUM,z_top_20d,20,DISCOVERY_2016_2022,328,-0.0039562762175406295,-0.004440282393730909,-0.0004840061761902801,0.4166666666666667,0.42592592592592593
K200,MOMENTUM,z_top_20d,20,NORMAL_2023_2024,97,0.0006910736705359537,-0.0006652612179696431,-0.0013563348885055968,0.5,0.40625
K200,MOMENTUM,z_spread_20d,5,BULL_2025,49,-0.0023765389603646867,-0.0027971018776894096,-0.0004205629173247229,0.375,0.4375
K200,MOMENTUM,z_spread_20d,5,DISCOVERY_2016_2022,328,0.00043882762806580653,-0.0007945203625303763,-0.0012333479905961829,0.4166666666666667,0.46296296296296297
K200,MOMENTUM,z_spread_20d,5,NORMAL_2023_2024,97,0.001714851492209385,-4.231635886632937e-05,-0.0017571678510757145,0.53125,0.40625
K200,MOMENTUM,z_spread_20d,20,BULL_2025,49,-0.01392299635485201,-0.0075120210973919285,0.006410975257460082,0.375,0.625
K200,MOMENTUM,z_spread_20d,20,DISCOVERY_2016_2022,328,-0.0029462210442597423,-0.004691115352965346,-0.0017448943087056037,0.39814814814814814,0.4166666666666667
K200,MOMENTUM,z_spread_20d,20,NORMAL_2023_2024,97,0.003142176710821832,0.0007646220203500502,-0.002377554690471782,0.5,0.40625
K200,MOMENTUM,z_top_60d,5,BULL_2025,49,-0.005776350899829649,-0.004659339560163058,0.001117011339666591,0.375,0.5
K200,MOMENTUM,z_top_60d,5,DISCOVERY_2016_2022,328,-0.002508578418440058,-0.001994668886909707,0.0005139095315303511,0.3611111111111111,0.5462962962962963
K200,MOMENTUM,z_top_60d,5,NORMAL_2023_2024,97,9.664452899961549e-05,0.000128476035034322,3.18315060347065e-05,0.53125,0.59375
K200,MOMENTUM,z_top_60d,20,BULL_2025,49,-0.021858891668947705,-0.015378709996245623,0.006480181672702082,0.3125,0.5
K200,MOMENTUM,z_top_60d,20,DISCOVERY_2016_2022,328,-0.005330524072029789,-0.005143926170778269,0.00018659790125151988,0.35185185185185186,0.4722222222222222
K200,MOMENTUM,z_top_60d,20,NORMAL_2023_2024,97,-0.0018941594529180554,-0.0025174096186285923,-0.0006232501657105371,0.375,0.4375
K200,MOMENTUM,z_spread_60d,5,BULL_2025,49,-0.005345127098150455,-0.002908204693662721,0.0024369224044877335,0.375,0.5
K200,MOMENTUM,z_spread_60d,5,DISCOVERY_2016_2022,328,-0.001199151619284967,-0.0019695523698890134,-0.0007704007506040466,0.35185185185185186,0.48148148148148145
K200,MOMENTUM,z_spread_60d,5,NORMAL_2023_2024,97,2.013000772462496e-05,-0.0002939447845028711,-0.0003140747922274961,0.5,0.5
K200,MOMENTUM,z_spread_60d,20,BULL_2025,49,-0.028666102626746143,-0.011946258110538167,0.016719844516207977,0.375,0.6875
K200,MOMENTUM,z_spread_60d,20,DISCOVERY_2016_2022,328,-0.0034110520404431106,-0.005784019152208947,-0.0023729671117658367,0.3611111111111111,0.37037037037037035
K200,MOMENTUM,z_spread_60d,20,NORMAL_2023_2024,97,-0.0021879992097500233,-0.0008585254993980955,0.0013294737103519277,0.40625,0.53125
K200,MOMENTUM,spread_accel,5,BULL_2025,49,0.003271163830800833,0.0016897100465985704,-0.0015814537842022626,0.5,0.4375
K200,MOMENTUM,spread_accel,5,DISCOVERY_2016_2022,328,0.0017107892528276268,-0.0006429044775290243,-0.002353693730356651,0.46296296296296297,0.4444444444444444
K200,MOMENTUM,spread_accel,5,NORMAL_2023_2024,97,0.004682649658560989,0.0029966998209066246,-0.0016859498376543644,0.65625,0.5
K200,MOMENTUM,spread_accel,20,BULL_2025,49,0.015642569477053815,0.01305684867274213,-0.002585720804311685,0.6875,0.4375
