date,universe,eval_year,period,task,horizon,model,pred,real_target,action,ret,control,alt
2020-01-03,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.0012170041606976816,-0.027357444193846475,EW4,-0.010444356539887175,-0.010444356539887175,0.0169130876539593
2020-01-10,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.0022528559017986707,0.0021705713148599745,EW4,0.022597853946903675,0.022597853946903675,0.0204272826320437
2020-01-17,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,-0.0001640816347157273,-0.0110798141682045,MARKET,-0.0325226576475996,-0.0436024718158041,-0.0325226576475996
2020-01-28,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.0008950714874287064,-0.01573916822366215,EW4,-0.02461770534558215,-0.02461770534558215,-0.00887853712192
2020-02-04,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.0014889124973082252,-0.0007418127705576295,EW4,0.030911540319162472,0.030911540319162472,0.0316533530897201
2020-02-11,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.0008617761256950675,-0.0091951274862933,EW4,-0.0152625810013756,-0.0152625810013756,-0.0060674535150823
2020-02-18,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,-0.00020337635555320308,-0.013646706302869474,MARKET,-0.0483189310267974,-0.061965637329666874,-0.0483189310267974
2020-02-25,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.0008978182568394273,0.001228815452822149,EW4,-0.04318934704301705,-0.04318934704301705,-0.0444181624958392
2020-03-03,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.0007910441784224233,-0.008616885234008276,EW4,-0.03347791644108888,-0.03347791644108888,-0.0248610312070806
2020-03-10,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.000232452730259678,-0.007239749107060184,EW4,-0.15231633594583338,-0.15231633594583338,-0.1450765868387732
2020-04-22,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.0034919732909913653,0.025686463031211578,EW4,0.052536045641273676,0.052536045641273676,0.0268495826100621
2020-04-29,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.0031622629979446448,0.005723075382129176,EW4,-0.005928482078579025,-0.005928482078579025,-0.0116515574607082
2020-05-11,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.002045841178023819,0.00921503181840805,EW4,0.01110013112121545,0.01110013112121545,0.0018850993028074
2020-05-18,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.0018030455105992552,-0.004076618473165875,EW4,0.026271205642238026,0.026271205642238026,0.0303478241154039
2020-05-25,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.000888186618182196,-0.0032990254088623786,EW4,0.03348922447818532,0.03348922447818532,0.0367882498870477
2020-06-01,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.002549141311470625,-0.0015403509141790964,EW4,0.060791565910176204,0.060791565910176204,0.0623319168243553
2020-06-08,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.004163495899469483,-0.016437845479543092,EW4,-0.08733136673559999,-0.08733136673559999,-0.0708935212560569
2020-06-15,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.005838288124734361,0.007292061491336425,EW4,0.054040451010766724,0.054040451010766724,0.0467483895194303
2020-06-22,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.0028595427952641957,-0.01491804320665935,EW4,-0.02894768645455275,-0.02894768645455275,-0.0140296432478934
2020-06-29,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.0013258383942956343,0.0024558272627539027,EW4,0.0439438641380174,0.0439438641380174,0.0414880368752635
2020-07-06,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,-0.0002355021161194673,0.01286112947961305,MARKET,-0.0027900700184819,0.01007105946113115,-0.0027900700184819
2020-07-13,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.0020832330407737267,0.0016729639910411753,EW4,0.005544748207340375,0.005544748207340375,0.0038717842162992
2020-07-20,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.001380637605236688,0.01720298216670025,EW4,0.025992927704246847,0.025992927704246847,0.0087899455375466
2020-07-27,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.002618283384893065,-0.0187088813341234,EW4,-0.0011102541151049,-0.0011102541151049,0.0175986272190185
2020-08-03,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.0012795212119827177,0.02541711632629698,EW4,0.08700715995778788,0.08700715995778788,0.0615900436314909
2020-08-10,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.004000736554942976,-0.01717422310423055,EW4,-0.02886881592002505,-0.02886881592002505,-0.0116945928157945
2020-08-18,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.005407237247394583,0.016354863393838747,EW4,0.021153289804289047,0.021153289804289047,0.0047984264104503
2020-08-25,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.0028092694827919857,0.01666999124059205,EW4,0.00541942995700255,0.00541942995700255,-0.0112505612835895
2020-09-01,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.0015397660550539847,-0.000530058470398373,EW4,0.019708301077847726,0.019708301077847726,0.0202383595482461
2020-09-08,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.0008684250295116997,-0.01034240493392515,EW4,0.00702980444535945,0.00702980444535945,0.0173722093792846
2020-09-15,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.0008051239952853115,-0.005011320970189498,EW4,-0.050581325097187095,-0.050581325097187095,-0.0455700041269976
2020-09-22,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.00022120673681801044,0.007309789145679975,EW4,0.007049587618712674,0.007049587618712674,-0.0002602015269673
2020-09-29,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,-0.0006122845372624166,0.016403060883327283,MARKET,0.0320817260642131,0.04848478694754038,0.0320817260642131
2020-10-12,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.00014150281975890047,0.0037322337710809263,EW4,-0.017529505301968572,-0.017529505301968572,-0.0212617390730495
2020-10-19,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,-0.0008903441899186059,0.002093259719048475,MARKET,0.0012309467081121,0.003324206427160575,0.0012309467081121
2020-10-26,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,7.449652320948683e-05,0.004567411291444973,EW4,-0.016513200090948227,-0.016513200090948227,-0.0210806113823932
2020-11-02,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,-0.0005360881072359121,0.0015555802628746396,MARKET,0.0654292598177745,0.06698484008064914,0.0654292598177745
2020-11-09,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,-4.86723149901859e-05,-0.012476958939607152,MARKET,0.0409104431315659,0.02843348419195875,0.0409104431315659
2020-11-16,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.0042254727536097225,0.00024063919161320182,EW4,0.0245680167249444,0.0245680167249444,0.0243273775333312
2020-11-23,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.0034017289721499228,-0.008941078176591599,EW4,-0.015291871556622599,-0.015291871556622599,-0.006350793380031
2020-11-30,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.004319611405177127,-0.03990523661568947,EW4,0.024155232742766125,0.024155232742766125,0.0640604693584556
2020-12-07,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.002938120821819002,0.02117142117874152,EW4,0.026194246334918722,0.026194246334918722,0.0050228251561772
2020-12-14,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.0035641980310509927,0.019250179603988078,EW4,0.023305107240176277,0.023305107240176277,0.0040549276361882
2020-12-21,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.0018434776705418094,-0.03276150027564233,EW4,-0.013111041280319324,-0.013111041280319324,0.019650458995323
2020-12-29,K200,2020,DISCOVERY_2016_2022,ALPHA,5,MARKET_ONLY,0.0026433355982573873,0.008950756987904818,EW4,0.08604545744454002,0.08604545744454002,0.0770947004566352
2020-01-03,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,-0.002009332648372952,-0.027357444193846475,MARKET,0.0169130876539593,-0.010444356539887175,0.0169130876539593
2020-01-10,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,0.003385303649524523,0.0021705713148599745,EW4,0.022597853946903675,0.022597853946903675,0.0204272826320437
2020-01-17,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,0.003005567833399792,-0.0110798141682045,EW4,-0.0436024718158041,-0.0436024718158041,-0.0325226576475996
2020-01-28,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,-0.0043548101551521366,-0.01573916822366215,MARKET,-0.00887853712192,-0.02461770534558215,-0.00887853712192
2020-02-04,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,-0.0035761378478847547,-0.0007418127705576295,MARKET,0.0316533530897201,0.030911540319162472,0.0316533530897201
2020-02-11,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,-0.0012221441789306928,-0.0091951274862933,MARKET,-0.0060674535150823,-0.0152625810013756,-0.0060674535150823
2020-02-18,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,-0.0013386403779276734,-0.013646706302869474,MARKET,-0.0483189310267974,-0.061965637329666874,-0.0483189310267974
2020-02-25,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,-0.0027332576132484366,0.001228815452822149,MARKET,-0.0444181624958392,-0.04318934704301705,-0.0444181624958392
2020-03-03,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,-0.0017907548367619892,-0.008616885234008276,MARKET,-0.0248610312070806,-0.03347791644108888,-0.0248610312070806
2020-03-10,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,-0.0028156778070230586,-0.007239749107060184,MARKET,-0.1450765868387732,-0.15231633594583338,-0.1450765868387732
2020-04-22,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,0.003194556877273934,0.025686463031211578,EW4,0.052536045641273676,0.052536045641273676,0.0268495826100621
2020-04-29,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,0.002676548558127741,0.005723075382129176,EW4,-0.005928482078579025,-0.005928482078579025,-0.0116515574607082
2020-05-11,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,0.001594806441566125,0.00921503181840805,EW4,0.01110013112121545,0.01110013112121545,0.0018850993028074
2020-05-18,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,0.004979284491411887,-0.004076618473165875,EW4,0.026271205642238026,0.026271205642238026,0.0303478241154039
2020-05-25,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,0.0029736999204019927,-0.0032990254088623786,EW4,0.03348922447818532,0.03348922447818532,0.0367882498870477
2020-06-01,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,0.0034314134023147435,-0.0015403509141790964,EW4,0.060791565910176204,0.060791565910176204,0.0623319168243553
2020-06-08,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,-0.0024300993004040534,-0.016437845479543092,MARKET,-0.0708935212560569,-0.08733136673559999,-0.0708935212560569
2020-06-15,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,-0.003031143141570582,0.007292061491336425,MARKET,0.0467483895194303,0.054040451010766724,0.0467483895194303
2020-06-22,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,-0.0005657007931551732,-0.01491804320665935,MARKET,-0.0140296432478934,-0.02894768645455275,-0.0140296432478934
2020-06-29,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,-0.002956611604044785,0.0024558272627539027,MARKET,0.0414880368752635,0.0439438641380174,0.0414880368752635
2020-07-06,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,-0.005035186672184504,0.01286112947961305,MARKET,-0.0027900700184819,0.01007105946113115,-0.0027900700184819
2020-07-13,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,0.0014120510470597384,0.0016729639910411753,EW4,0.005544748207340375,0.005544748207340375,0.0038717842162992
2020-07-20,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,-0.0019241803563382882,0.01720298216670025,MARKET,0.0087899455375466,0.025992927704246847,0.0087899455375466
2020-07-27,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,0.0013545855734573128,-0.0187088813341234,EW4,-0.0011102541151049,-0.0011102541151049,0.0175986272190185
2020-08-03,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,0.001173959493737056,0.02541711632629698,EW4,0.08700715995778788,0.08700715995778788,0.0615900436314909
2020-08-10,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,0.0018987533237853663,-0.01717422310423055,EW4,-0.02886881592002505,-0.02886881592002505,-0.0116945928157945
2020-08-18,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,0.0011334903389206676,0.016354863393838747,EW4,0.021153289804289047,0.021153289804289047,0.0047984264104503
2020-08-25,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,0.0003879184533825187,0.01666999124059205,EW4,0.00541942995700255,0.00541942995700255,-0.0112505612835895
2020-09-01,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,0.0003137505322067148,-0.000530058470398373,EW4,0.019708301077847726,0.019708301077847726,0.0202383595482461
2020-09-08,K200,2020,DISCOVERY_2016_2022,ALPHA,5,FACTOR_ONLY,-0.0035561139516536527,-0.01034240493392515,MARKET,0.0173722093792846,0.00702980444535945,0.0173722093792846
