date,universe,horizon,model,chosen_family,ret,ew4,edge_vs_ew4,correct_best,sample
2020-01-03,KOSPI_KOSDAQ_ALL,5,STATIC_FAMILY,REVISION,0.0103336279579366,0.0011260584718850736,0.009207569486051526,0.0,DISCOVERY_2016_2022
2020-01-03,KOSPI_KOSDAQ_ALL,20,FAMILY_STATE,REVISION,-0.0169625159386349,-0.027475711526148226,0.010513195587513326,0.0,DISCOVERY_2016_2022
2020-01-03,KOSPI_KOSDAQ_ALL,20,FULL_INTERACTION,REVISION,-0.0169625159386349,-0.027475711526148226,0.010513195587513326,0.0,DISCOVERY_2016_2022
2020-01-03,KOSPI_KOSDAQ_ALL,20,STATIC_FAMILY,REVISION,-0.0169625159386349,-0.027475711526148226,0.010513195587513326,0.0,DISCOVERY_2016_2022
2020-01-10,K200,5,FAMILY_STATE,VALUE,0.0219777772762561,0.022597853946903675,-0.0006200766706475763,0.0,DISCOVERY_2016_2022
2020-01-10,K200,5,FULL_INTERACTION,MOMENTUM,0.0215509433270091,0.022597853946903675,-0.0010469106198945748,0.0,DISCOVERY_2016_2022
2020-01-10,K200,5,STATIC_FAMILY,REVISION,0.0242817036628435,0.022597853946903675,0.001683849715939826,1.0,DISCOVERY_2016_2022
2020-01-10,K200,20,FAMILY_STATE,VALUE,-0.0122022728168472,-0.016607885772311176,0.004405612955463977,0.0,DISCOVERY_2016_2022
2020-01-10,K200,20,FULL_INTERACTION,FLOW,-0.0150809549540333,-0.016607885772311176,0.0015269308182778753,0.0,DISCOVERY_2016_2022
2020-01-10,K200,20,STATIC_FAMILY,REVISION,-0.0105353936146993,-0.016607885772311176,0.0060724921576118755,1.0,DISCOVERY_2016_2022
2020-01-10,KOSDAQ,5,FAMILY_STATE,FLOW,0.0253426395421305,0.0322548536535051,-0.006912214111374597,0.0,DISCOVERY_2016_2022
2020-01-10,KOSDAQ,5,FULL_INTERACTION,FLOW,0.0253426395421305,0.0322548536535051,-0.006912214111374597,0.0,DISCOVERY_2016_2022
2020-01-10,KOSDAQ,5,STATIC_FAMILY,REVISION,0.0350572943983886,0.0322548536535051,0.0028024407448835054,0.0,DISCOVERY_2016_2022
2020-01-10,KOSDAQ,20,FAMILY_STATE,MOMENTUM,0.0278735383280301,0.0053348961284849,0.022538642199545197,1.0,DISCOVERY_2016_2022
2020-01-10,KOSDAQ,20,FULL_INTERACTION,REVISION,-0.0051038847213632,0.0053348961284849,-0.0104387808498481,0.0,DISCOVERY_2016_2022
2020-01-10,KOSDAQ,20,STATIC_FAMILY,REVISION,-0.0051038847213632,0.0053348961284849,-0.0104387808498481,0.0,DISCOVERY_2016_2022
2020-01-10,KOSDAQ_PLUS_KOSPI_EX_K200,5,FAMILY_STATE,REVISION,0.0257877689482215,0.0237781991719293,0.0020095697762922,1.0,DISCOVERY_2016_2022
2020-01-10,KOSDAQ_PLUS_KOSPI_EX_K200,5,FULL_INTERACTION,REVISION,0.0257877689482215,0.0237781991719293,0.0020095697762922,1.0,DISCOVERY_2016_2022
