universe,feature,action,sample,n,low_n,high_n,high_minus_low_payoff,high_payoff,low_payoff,high_beat_wplus,low_beat_wplus
K200,MKT_RET_20D,MARKET,DISCOVERY_2016_2022,328,108,108,-0.0035806739456975133,-0.0012683400627690076,0.0023123338829285057,0.5092592592592593,0.5833333333333334
K200,MKT_RET_20D,MARKET,NORMAL_2023_2024,97,32,32,0.001227967157558565,-0.000686381963810597,-0.0019143491213691622,0.5625,0.5
K200,MKT_RET_20D,MARKET,BULL_2025,49,16,16,0.011450121417859924,0.009994403850871808,-0.001455717566988117,0.625,0.5
K200,MKT_RET_20D,EW4,DISCOVERY_2016_2022,328,108,108,-0.0005312876709377876,-0.0003845076778141607,0.00014677999312362694,0.3333333333333333,0.1388888888888889
K200,MKT_RET_20D,EW4,NORMAL_2023_2024,97,32,32,0.0036294693938847527,0.001000722559659401,-0.0026287468342253515,0.375,0.0625
K200,MKT_RET_20D,EW4,BULL_2025,49,16,16,0.0028682029218719198,0.002177003052604684,-0.0006911998692672359,0.5,0.125
K200,MKT_RET_20D,MOMENTUM,DISCOVERY_2016_2022,328,108,108,0.0003250933941178247,-0.000626957372782743,-0.0009520507669005676,0.48148148148148145,0.42592592592592593
K200,MKT_RET_20D,MOMENTUM,NORMAL_2023_2024,97,32,32,0.0058467044807541686,0.00038826965290741585,-0.005458434827846753,0.53125,0.34375
K200,MKT_RET_20D,MOMENTUM,BULL_2025,49,16,16,0.0012594625108410238,-0.00041732924436578144,-0.0016767917552068053,0.375,0.375
K200,MKT_RET_20D,REVISION,DISCOVERY_2016_2022,328,108,108,0.0007339009614708957,0.0010693593594088553,0.00033545839793795956,0.42592592592592593,0.4537037037037037
K200,MKT_RET_20D,REVISION,NORMAL_2023_2024,97,32,32,0.006253105224396189,0.0023841497958219204,-0.0038689554285742684,0.5,0.4375
K200,MKT_RET_20D,REVISION,BULL_2025,49,16,16,0.005957178249222761,0.006360739020770213,0.00040356077154745144,0.75,0.4375
K200,MKT_RET_20D,VALUE,DISCOVERY_2016_2022,328,108,108,-0.0027100919733063435,-0.001977181956747187,0.0007329100165591565,0.35185185185185186,0.46296296296296297
K200,MKT_RET_20D,VALUE,NORMAL_2023_2024,97,32,32,-0.0024325235160577974,5.470909712331244e-05,0.00248723261318111,0.375,0.46875
K200,MKT_RET_20D,VALUE,BULL_2025,49,16,16,0.0009460226527312839,0.0012259014947910976,0.0002798788420598137,0.5,0.5
K200,MKT_RET_20D,FLOW,DISCOVERY_2016_2022,328,108,108,-0.0004740530660335272,-3.2507411355679253e-06,0.0004708023248979593,0.49074074074074076,0.5462962962962963
K200,MKT_RET_20D,FLOW,NORMAL_2023_2024,97,32,32,0.004850591386446452,0.0011757616927849555,-0.0036748296936614964,0.4375,0.375
K200,MKT_RET_20D,FLOW,BULL_2025,49,16,16,0.0033101482746926104,0.0015387009392232058,-0.0017714473354694046,0.5,0.375
K200,MKT_RET_60D,MARKET,DISCOVERY_2016_2022,328,108,108,-0.0020709360847666917,-0.001853884060188031,0.0002170520245786605,0.4444444444444444,0.5462962962962963
K200,MKT_RET_60D,MARKET,NORMAL_2023_2024,97,32,32,-0.004328416784045752,-0.0059422483129618845,-0.0016138315289161323,0.46875,0.5
K200,MKT_RET_60D,MARKET,BULL_2025,49,16,16,0.020849073133758403,0.010708644926836949,-0.010140428206921454,0.625,0.25
K200,MKT_RET_60D,EW4,DISCOVERY_2016_2022,328,108,108,-0.0008143034418411865,-0.0007733370357755954,4.096640606559111e-05,0.3611111111111111,0.16666666666666666
K200,MKT_RET_60D,EW4,NORMAL_2023_2024,97,32,32,-0.0010773136325472235,-0.0011853962641296038,-0.00010808263158238046,0.34375,0.21875
K200,MKT_RET_60D,EW4,BULL_2025,49,16,16,0.0030847131662238726,0.003049357747492724,-3.535541873114843e-05,0.5,0.3125
K200,MKT_RET_60D,MOMENTUM,DISCOVERY_2016_2022,328,108,108,0.0005345845661318845,-0.0007059583268096698,-0.0012405428929415543,0.46296296296296297,0.4537037037037037
K200,MKT_RET_60D,MOMENTUM,NORMAL_2023_2024,97,32,32,0.0011026363739646858,-0.0002126587069084278,-0.0013152950808731135,0.59375,0.4375
K200,MKT_RET_60D,MOMENTUM,BULL_2025,49,16,16,-0.0009583973013347776,0.0017603944796225927,0.0027187917809573703,0.375,0.625
K200,MKT_RET_60D,REVISION,DISCOVERY_2016_2022,328,108,108,-0.0008093198052377851,-0.0001471666129403973,0.0006621531922973877,0.42592592592592593,0.4722222222222222
K200,MKT_RET_60D,REVISION,NORMAL_2023_2024,97,32,32,-0.002363497535950089,-0.0018163693027225408,0.0005471282332275484,0.4375,0.46875
K200,MKT_RET_60D,REVISION,BULL_2025,49,16,16,0.005720266541545291,0.00505437219500785,-0.0006658943465374417,0.625,0.3125
K200,MKT_RET_60D,VALUE,DISCOVERY_2016_2022,328,108,108,-0.0022190323540540553,-0.001568482766764806,0.0006505495872892493,0.35185185185185186,0.4351851851851852
K200,MKT_RET_60D,VALUE,NORMAL_2023_2024,97,32,32,-0.002863228299856792,-0.0014497712732624058,0.001413457026594386,0.375,0.375
K200,MKT_RET_60D,VALUE,BULL_2025,49,16,16,0.00809252337154529,0.00556430538485698,-0.0025282179866883106,0.5,0.4375
K200,MKT_RET_60D,FLOW,DISCOVERY_2016_2022,328,108,108,-0.0007634461742047895,-0.0006717404365875085,9.170573761728097e-05,0.4722222222222222,0.49074074074074076
K200,MKT_RET_60D,FLOW,NORMAL_2023_2024,97,32,32,-0.00018516506834669651,-0.0012627857736250414,-0.001077620705278345,0.4375,0.40625
K200,MKT_RET_60D,FLOW,BULL_2025,49,16,16,-0.0005155399468603152,-0.0001816410695165252,0.0003338988773437899,0.4375,0.5
