universe,horizon,model,sample,n,mean_ret,win,edge_vs_ew4,beat_ew4,best_family_accuracy
KOSDAQ_PLUS_KOSPI_EX_K200,20,FAMILY_STATE,BULL_2025,49,0.05138513328347027,0.8571428571428571,0.011673152654159049,0.7346938775510204,0.40816326530612246
KOSDAQ_PLUS_KOSPI_EX_K200,20,FAMILY_STATE,DISCOVERY_2016_2022,144,0.008933130566520611,0.5763888888888888,0.004636286491358022,0.6319444444444444,0.2916666666666667
KOSDAQ_PLUS_KOSPI_EX_K200,20,FAMILY_STATE,NORMAL_2023_2024,96,0.011265270304923553,0.5729166666666666,0.004061091212467307,0.59375,0.2604166666666667
KOSDAQ_PLUS_KOSPI_EX_K200,20,FAMILY_STATE,YTD_2026,19,-0.009648593622479136,0.47368421052631576,-0.0006332975015989273,0.42105263157894735,0.2631578947368421
KOSDAQ_PLUS_KOSPI_EX_K200,20,FULL_INTERACTION,BULL_2025,49,0.04685276904274827,0.7959183673469388,0.007140788413437054,0.6326530612244898,0.3673469387755102
KOSDAQ_PLUS_KOSPI_EX_K200,20,FULL_INTERACTION,DISCOVERY_2016_2022,144,0.0060191272349059055,0.5694444444444444,0.0017222831597433208,0.5694444444444444,0.3194444444444444
KOSDAQ_PLUS_KOSPI_EX_K200,20,FULL_INTERACTION,NORMAL_2023_2024,96,0.009608865116474283,0.5625,0.0024046860240180376,0.5520833333333334,0.22916666666666666
KOSDAQ_PLUS_KOSPI_EX_K200,20,FULL_INTERACTION,YTD_2026,19,-0.015524528671836922,0.47368421052631576,-0.006509232550956717,0.3684210526315789,0.2631578947368421
KOSDAQ_PLUS_KOSPI_EX_K200,20,STATIC_FAMILY,BULL_2025,49,0.05215636648134302,0.8571428571428571,0.012444385852031795,0.7551020408163265,0.42857142857142855
KOSDAQ_PLUS_KOSPI_EX_K200,20,STATIC_FAMILY,DISCOVERY_2016_2022,144,0.01026835167125046,0.5972222222222222,0.005971507596087871,0.6597222222222222,0.3333333333333333
KOSDAQ_PLUS_KOSPI_EX_K200,20,STATIC_FAMILY,NORMAL_2023_2024,96,0.01252906922858199,0.59375,0.005324890136125742,0.6041666666666666,0.2604166666666667
KOSDAQ_PLUS_KOSPI_EX_K200,20,STATIC_FAMILY,YTD_2026,19,-0.0038461919792877274,0.47368421052631576,0.005169104141592482,0.47368421052631576,0.3157894736842105
KOSPI_ALL,5,FAMILY_STATE,BULL_2025,49,0.008509882620167903,0.5918367346938775,-0.0015970212748596334,0.40816326530612246,0.1836734693877551
KOSPI_ALL,5,FAMILY_STATE,DISCOVERY_2016_2022,144,0.002479312450313702,0.5486111111111112,0.0012616437848157068,0.5277777777777778,0.2569444444444444
KOSPI_ALL,5,FAMILY_STATE,NORMAL_2023_2024,97,0.002480266389573593,0.5670103092783505,0.0004820104596809382,0.4536082474226804,0.20618556701030927
KOSPI_ALL,5,FAMILY_STATE,YTD_2026,21,0.012257514621731747,0.6190476190476191,0.003958479219291657,0.5238095238095238,0.2857142857142857
KOSPI_ALL,5,FULL_INTERACTION,BULL_2025,49,0.009106732032583274,0.6530612244897959,-0.0010001718624442638,0.40816326530612246,0.24489795918367346
KOSPI_ALL,5,FULL_INTERACTION,DISCOVERY_2016_2022,144,0.0017110999240055786,0.4930555555555556,0.0004934312585075837,0.5277777777777778,0.2638888888888889
KOSPI_ALL,5,FULL_INTERACTION,NORMAL_2023_2024,97,0.002536562512932969,0.5567010309278351,0.0005383065830403145,0.44329896907216493,0.1958762886597938
KOSPI_ALL,5,FULL_INTERACTION,YTD_2026,21,0.011186781985742841,0.6190476190476191,0.0028877465833027534,0.5238095238095238,0.3333333333333333
KOSPI_ALL,5,STATIC_FAMILY,BULL_2025,49,0.011948750163453153,0.7346938775510204,0.0018418462684256177,0.5306122448979592,0.30612244897959184
KOSPI_ALL,5,STATIC_FAMILY,DISCOVERY_2016_2022,144,0.0022930918390590602,0.5486111111111112,0.0010754231735610644,0.5416666666666666,0.25
KOSPI_ALL,5,STATIC_FAMILY,NORMAL_2023_2024,97,0.002442903626133661,0.5876288659793815,0.0004446476962410063,0.4742268041237113,0.24742268041237114
KOSPI_ALL,5,STATIC_FAMILY,YTD_2026,21,0.009548569935575015,0.5714285714285714,0.0012495345331349236,0.42857142857142855,0.23809523809523808
KOSPI_ALL,20,FAMILY_STATE,BULL_2025,49,0.03959531370410862,0.7142857142857143,-0.002916212317475667,0.4489795918367347,0.2653061224489796
KOSPI_ALL,20,FAMILY_STATE,DISCOVERY_2016_2022,144,0.006570065512787848,0.5555555555555556,0.0007170088771179033,0.5972222222222222,0.2361111111111111
KOSPI_ALL,20,FAMILY_STATE,NORMAL_2023_2024,97,0.009215255756958016,0.6288659793814433,0.0013925649482422683,0.5257731958762887,0.36082474226804123
KOSPI_ALL,20,FAMILY_STATE,YTD_2026,21,0.00588921658969901,0.38095238095238093,0.00599092033547202,0.5714285714285714,0.23809523809523808
KOSPI_ALL,20,FULL_INTERACTION,BULL_2025,49,0.03842320840408971,0.7346938775510204,-0.004088317617494574,0.4489795918367347,0.2857142857142857
KOSPI_ALL,20,FULL_INTERACTION,DISCOVERY_2016_2022,144,0.00829205520090477,0.5833333333333334,0.0024389985652348276,0.625,0.2569444444444444
KOSPI_ALL,20,FULL_INTERACTION,NORMAL_2023_2024,97,0.009254950639418388,0.5876288659793815,0.0014322598307026405,0.5463917525773195,0.35051546391752575
KOSPI_ALL,20,FULL_INTERACTION,YTD_2026,21,0.017055568044650273,0.38095238095238093,0.017157271790423274,0.47619047619047616,0.38095238095238093
KOSPI_ALL,20,STATIC_FAMILY,BULL_2025,49,0.048623993235645695,0.7755102040816326,0.006112467214061409,0.5510204081632653,0.2857142857142857
KOSPI_ALL,20,STATIC_FAMILY,DISCOVERY_2016_2022,144,0.01009764494735177,0.5625,0.004244588311681826,0.6736111111111112,0.2916666666666667
KOSPI_ALL,20,STATIC_FAMILY,NORMAL_2023_2024,97,0.009860458663437838,0.6082474226804123,0.0020377678547220906,0.5154639175257731,0.36082474226804123
KOSPI_ALL,20,STATIC_FAMILY,YTD_2026,21,0.00028305116663901984,0.38095238095238093,0.00038475491241203054,0.5238095238095238,0.19047619047619047
KOSPI_EX_K200,5,FAMILY_STATE,BULL_2025,49,0.008725286866887914,0.6122448979591837,0.0009521721675514702,0.5306122448979592,0.2653061224489796
KOSPI_EX_K200,5,FAMILY_STATE,DISCOVERY_2016_2022,117,0.004467929600525457,0.5555555555555556,0.002077413345046094,0.5726495726495726,0.3504273504273504
KOSPI_EX_K200,5,FAMILY_STATE,NORMAL_2023_2024,91,-8.092765612823053e-06,0.4945054945054945,-0.0013947178059564352,0.3956043956043956,0.21978021978021978
KOSPI_EX_K200,5,FAMILY_STATE,YTD_2026,15,0.019569940222171327,0.6,0.004537624170739839,0.5333333333333333,0.4666666666666667
KOSPI_EX_K200,5,FULL_INTERACTION,BULL_2025,49,0.007697619940179304,0.6122448979591837,-7.549475915714031e-05,0.5102040816326531,0.16326530612244897
KOSPI_EX_K200,5,FULL_INTERACTION,DISCOVERY_2016_2022,117,0.0035376316316328878,0.5811965811965812,0.0011471153761535243,0.5042735042735043,0.28205128205128205
KOSPI_EX_K200,5,FULL_INTERACTION,NORMAL_2023_2024,91,0.0012282873592097568,0.5274725274725275,-0.00015833768113385463,0.46153846153846156,0.25274725274725274
KOSPI_EX_K200,5,FULL_INTERACTION,YTD_2026,15,0.012135155324430139,0.6,-0.00289716072700135,0.3333333333333333,0.26666666666666666
KOSPI_EX_K200,5,STATIC_FAMILY,BULL_2025,49,0.010080866181427844,0.6530612244897959,0.002307751482091401,0.6122448979591837,0.24489795918367346
KOSPI_EX_K200,5,STATIC_FAMILY,DISCOVERY_2016_2022,117,0.005197304357364361,0.5811965811965812,0.0028067881018849967,0.5982905982905983,0.38461538461538464
KOSPI_EX_K200,5,STATIC_FAMILY,NORMAL_2023_2024,91,0.0017835870231325856,0.5274725274725275,0.00039696198278897415,0.46153846153846156,0.26373626373626374
KOSPI_EX_K200,5,STATIC_FAMILY,YTD_2026,15,0.0172271250745889,0.6,0.0021948090231574107,0.5333333333333333,0.4
KOSPI_EX_K200,20,FAMILY_STATE,BULL_2025,49,0.03835130135878139,0.7551020408163265,0.006364653759363382,0.7755102040816326,0.32653061224489793
KOSPI_EX_K200,20,FAMILY_STATE,DISCOVERY_2016_2022,117,0.008787423566705095,0.5470085470085471,0.009293791532105312,0.6324786324786325,0.3504273504273504
KOSPI_EX_K200,20,FAMILY_STATE,NORMAL_2023_2024,91,0.007471156205842233,0.5714285714285714,1.4625624827095918e-05,0.5714285714285714,0.27472527472527475
KOSPI_EX_K200,20,FAMILY_STATE,YTD_2026,15,0.018390041726977127,0.5333333333333333,-0.0002846897219331637,0.5333333333333333,0.2
KOSPI_EX_K200,20,FULL_INTERACTION,BULL_2025,49,0.034189475151645304,0.7551020408163265,0.0022028275522273,0.7142857142857143,0.30612244897959184
KOSPI_EX_K200,20,FULL_INTERACTION,DISCOVERY_2016_2022,117,0.005763265465511055,0.5641025641025641,0.006269633430911278,0.5726495726495726,0.3076923076923077
KOSPI_EX_K200,20,FULL_INTERACTION,NORMAL_2023_2024,91,0.010459805036284894,0.5934065934065934,0.003003274455269758,0.6043956043956044,0.2967032967032967
KOSPI_EX_K200,20,FULL_INTERACTION,YTD_2026,15,0.016091516025817165,0.5333333333333333,-0.002583215423093123,0.4666666666666667,0.06666666666666667
KOSPI_EX_K200,20,STATIC_FAMILY,BULL_2025,49,0.04190037750224948,0.7959183673469388,0.009913729902831476,0.7551020408163265,0.30612244897959184
KOSPI_EX_K200,20,STATIC_FAMILY,DISCOVERY_2016_2022,117,0.008787423566705095,0.5470085470085471,0.009293791532105312,0.6324786324786325,0.3504273504273504
KOSPI_EX_K200,20,STATIC_FAMILY,NORMAL_2023_2024,91,0.008161486176800877,0.5824175824175825,0.0007049555957857421,0.5824175824175825,0.26373626373626374
KOSPI_EX_K200,20,STATIC_FAMILY,YTD_2026,15,0.018390041726977127,0.5333333333333333,-0.0002846897219331637,0.5333333333333333,0.2
KOSPI_KOSDAQ_ALL,5,FAMILY_STATE,BULL_2025,49,0.01133565307668061,0.6938775510204082,0.000753778105892201,0.5510204081632653,0.2857142857142857
KOSPI_KOSDAQ_ALL,5,FAMILY_STATE,DISCOVERY_2016_2022,144,0.0019127260964986275,0.5763888888888888,0.0010733281140605326,0.5416666666666666,0.25
KOSPI_KOSDAQ_ALL,5,FAMILY_STATE,NORMAL_2023_2024,96,0.0025001830672587,0.5416666666666666,0.0009372187475127471,0.5208333333333334,0.20833333333333334
KOSPI_KOSDAQ_ALL,5,FAMILY_STATE,YTD_2026,21,0.01119624400662303,0.5714285714285714,0.004582306048976363,0.47619047619047616,0.38095238095238093
KOSPI_KOSDAQ_ALL,5,FULL_INTERACTION,BULL_2025,49,0.010287955853754274,0.673469387755102,-0.00029391911703413804,0.46938775510204084,0.24489795918367346
KOSPI_KOSDAQ_ALL,5,FULL_INTERACTION,DISCOVERY_2016_2022,144,0.00180073372552379,0.5902777777777778,0.0009613357430856945,0.5555555555555556,0.2361111111111111
KOSPI_KOSDAQ_ALL,5,FULL_INTERACTION,NORMAL_2023_2024,96,0.0017339120951030552,0.5520833333333334,0.0001709477753571025,0.5,0.19791666666666666
KOSPI_KOSDAQ_ALL,5,FULL_INTERACTION,YTD_2026,21,0.010468954495411723,0.6190476190476191,0.0038550165377650553,0.5714285714285714,0.47619047619047616
KOSPI_KOSDAQ_ALL,5,STATIC_FAMILY,BULL_2025,49,0.013241533269674543,0.7346938775510204,0.002659658298886132,0.5714285714285714,0.20408163265306123
KOSPI_KOSDAQ_ALL,5,STATIC_FAMILY,DISCOVERY_2016_2022,144,0.002004823822745789,0.5902777777777778,0.0011654258403076938,0.5486111111111112,0.2361111111111111
KOSPI_KOSDAQ_ALL,5,STATIC_FAMILY,NORMAL_2023_2024,96,0.002374542392403541,0.5520833333333334,0.0008115780726575876,0.5208333333333334,0.19791666666666666
KOSPI_KOSDAQ_ALL,5,STATIC_FAMILY,YTD_2026,21,0.00936131686473994,0.5238095238095238,0.002747378907093273,0.47619047619047616,0.2857142857142857
KOSPI_KOSDAQ_ALL,20,FAMILY_STATE,BULL_2025,49,0.05328903493307301,0.8367346938775511,0.009098471653575737,0.6530612244897959,0.32653061224489793
KOSPI_KOSDAQ_ALL,20,FAMILY_STATE,DISCOVERY_2016_2022,144,0.006711553365869186,0.5486111111111112,0.0023675488051022285,0.5694444444444444,0.2152777777777778
KOSPI_KOSDAQ_ALL,20,FAMILY_STATE,NORMAL_2023_2024,96,0.009851282309326616,0.5833333333333334,0.0018690718782144059,0.4895833333333333,0.23958333333333334
KOSPI_KOSDAQ_ALL,20,FAMILY_STATE,YTD_2026,21,0.0031026713571071446,0.47619047619047616,0.013354345333227245,0.6190476190476191,0.38095238095238093
KOSPI_KOSDAQ_ALL,20,FULL_INTERACTION,BULL_2025,49,0.04700712270223353,0.7142857142857143,0.002816559422736252,0.5714285714285714,0.30612244897959184
KOSPI_KOSDAQ_ALL,20,FULL_INTERACTION,DISCOVERY_2016_2022,144,0.006109413068958281,0.5555555555555556,0.0017654085081913243,0.5416666666666666,0.2638888888888889
KOSPI_KOSDAQ_ALL,20,FULL_INTERACTION,NORMAL_2023_2024,96,0.007961735826121174,0.5729166666666666,-2.0474604991035927e-05,0.4270833333333333,0.20833333333333334
KOSPI_KOSDAQ_ALL,20,FULL_INTERACTION,YTD_2026,21,0.006221995316301809,0.47619047619047616,0.01647366929242192,0.6190476190476191,0.3333333333333333
KOSPI_KOSDAQ_ALL,20,STATIC_FAMILY,BULL_2025,49,0.05370673111146509,0.8367346938775511,0.009516167831967808,0.6122448979591837,0.32653061224489793
KOSPI_KOSDAQ_ALL,20,STATIC_FAMILY,DISCOVERY_2016_2022,144,0.008675835258378874,0.5555555555555556,0.004331830697611919,0.5972222222222222,0.2708333333333333
KOSPI_KOSDAQ_ALL,20,STATIC_FAMILY,NORMAL_2023_2024,96,0.011822961245152572,0.59375,0.0038407508140403603,0.53125,0.2604166666666667
KOSPI_KOSDAQ_ALL,20,STATIC_FAMILY,YTD_2026,21,-0.00301583026880475,0.47619047619047616,0.007235843707315352,0.5714285714285714,0.3333333333333333
