universe,horizon,model,sample,n,mean_ret,win,edge_vs_ew4,beat_ew4,best_family_accuracy
K200,5,FAMILY_STATE,BULL_2025,49,0.011422216073344513,0.6326530612244898,-0.000437814270909375,0.46938775510204084,0.30612244897959184
K200,5,FAMILY_STATE,DISCOVERY_2016_2022,144,0.0017780278210123499,0.5416666666666666,0.000843334639876407,0.5486111111111112,0.2986111111111111
K200,5,FAMILY_STATE,NORMAL_2023_2024,97,0.0021942800920742313,0.5154639175257731,0.0003618797790963777,0.44329896907216493,0.23711340206185566
K200,5,FAMILY_STATE,YTD_2026,20,0.012580809882532417,0.65,0.00534795487233387,0.65,0.45
K200,5,FULL_INTERACTION,BULL_2025,49,0.011793402298351642,0.6530612244897959,-6.66280459022462e-05,0.3877551020408163,0.24489795918367346
K200,5,FULL_INTERACTION,DISCOVERY_2016_2022,144,-7.855385990271088e-05,0.5277777777777778,-0.0010132470410386541,0.4791666666666667,0.2222222222222222
K200,5,FULL_INTERACTION,NORMAL_2023_2024,97,0.0022176717858316645,0.5154639175257731,0.00038527147285381054,0.4329896907216495,0.2268041237113402
K200,5,FULL_INTERACTION,YTD_2026,20,0.008602467092434802,0.6,0.0013696120822362548,0.5,0.35
K200,5,STATIC_FAMILY,BULL_2025,49,0.013862822603315922,0.6938775510204082,0.0020027922590620333,0.4897959183673469,0.2653061224489796
K200,5,STATIC_FAMILY,DISCOVERY_2016_2022,144,0.0012422767135485868,0.5347222222222222,0.000307583532412644,0.5138888888888888,0.2361111111111111
K200,5,STATIC_FAMILY,NORMAL_2023_2024,97,0.0022837607532043462,0.5567010309278351,0.00045136044022649175,0.4948453608247423,0.28865979381443296
K200,5,STATIC_FAMILY,YTD_2026,20,0.007640313506785523,0.55,0.00040745849658697095,0.4,0.25
K200,20,FAMILY_STATE,BULL_2025,49,0.05521288056556374,0.7959183673469388,0.004140233324011833,0.5918367346938775,0.3469387755102041
K200,20,FAMILY_STATE,DISCOVERY_2016_2022,144,0.005170633540751331,0.5625,0.0004532885200519213,0.5625,0.2777777777777778
K200,20,FAMILY_STATE,NORMAL_2023_2024,97,0.007914606221310044,0.5670103092783505,0.00048344905384411737,0.4845360824742268,0.3402061855670103
K200,20,FAMILY_STATE,YTD_2026,20,0.009001558740862906,0.4,-0.0016479016529160867,0.55,0.3
K200,20,FULL_INTERACTION,BULL_2025,49,0.054331215545835705,0.7755102040816326,0.0032585683042837947,0.5102040816326531,0.2857142857142857
K200,20,FULL_INTERACTION,DISCOVERY_2016_2022,144,0.005888318960507789,0.5625,0.0011709739398083779,0.5763888888888888,0.2638888888888889
K200,20,FULL_INTERACTION,NORMAL_2023_2024,97,0.006544097721470867,0.5567010309278351,-0.0008870594459950604,0.4742268041237113,0.35051546391752575
K200,20,FULL_INTERACTION,YTD_2026,20,0.013947139383302396,0.35,0.003297678989523407,0.55,0.4
K200,20,STATIC_FAMILY,BULL_2025,49,0.057319754624521824,0.7551020408163265,0.006247107382969908,0.5714285714285714,0.30612244897959184
K200,20,STATIC_FAMILY,DISCOVERY_2016_2022,144,0.005683009735200168,0.5625,0.0009656647145007589,0.5625,0.24305555555555555
K200,20,STATIC_FAMILY,NORMAL_2023_2024,97,0.009627916845471577,0.5773195876288659,0.0021967596780056507,0.5567010309278351,0.38144329896907214
K200,20,STATIC_FAMILY,YTD_2026,20,0.0097131615650245,0.45,-0.0009362988287544983,0.5,0.1
KOSDAQ,5,FAMILY_STATE,BULL_2025,45,0.009271570236803889,0.6222222222222222,-0.0005156119692230639,0.4888888888888889,0.2222222222222222
KOSDAQ,5,FAMILY_STATE,DISCOVERY_2016_2022,113,0.001042026443063018,0.5752212389380531,0.0009674847555497672,0.5221238938053098,0.2743362831858407
KOSDAQ,5,FAMILY_STATE,NORMAL_2023_2024,73,0.0018630655871219566,0.5616438356164384,0.0002859777154668619,0.6027397260273972,0.3013698630136986
KOSDAQ,5,FAMILY_STATE,YTD_2026,13,0.02386424429386376,0.6923076923076923,0.004434043553021431,0.5384615384615384,0.3076923076923077
KOSDAQ,5,FULL_INTERACTION,BULL_2025,45,0.011175605535504698,0.6666666666666666,0.001388423329477749,0.5333333333333333,0.2
KOSDAQ,5,FULL_INTERACTION,DISCOVERY_2016_2022,113,0.0015913997388030043,0.5752212389380531,0.0015168580512897537,0.5663716814159292,0.2920353982300885
KOSDAQ,5,FULL_INTERACTION,NORMAL_2023_2024,73,0.0031902095332719954,0.589041095890411,0.0016131216616169003,0.589041095890411,0.2602739726027397
KOSDAQ,5,FULL_INTERACTION,YTD_2026,13,0.03151146817925915,0.7692307692307693,0.012081267438416822,0.6923076923076923,0.5384615384615384
KOSDAQ,5,STATIC_FAMILY,BULL_2025,45,0.011754435652006907,0.6888888888888889,0.0019672534459799535,0.5555555555555556,0.24444444444444444
KOSDAQ,5,STATIC_FAMILY,DISCOVERY_2016_2022,113,0.0014072384025735347,0.5752212389380531,0.0013326967150602857,0.5486725663716814,0.30973451327433627
KOSDAQ,5,STATIC_FAMILY,NORMAL_2023_2024,73,0.0028714585051799945,0.589041095890411,0.0012943706335248998,0.5753424657534246,0.2191780821917808
KOSDAQ,5,STATIC_FAMILY,YTD_2026,13,0.024394378948766695,0.6923076923076923,0.004964178207924368,0.5384615384615384,0.46153846153846156
KOSDAQ,20,FAMILY_STATE,BULL_2025,45,0.052459035098959765,0.8,0.009794437297358903,0.6888888888888889,0.37777777777777777
KOSDAQ,20,FAMILY_STATE,DISCOVERY_2016_2022,113,0.0009199950723640126,0.5398230088495575,0.0032520633694505196,0.5309734513274337,0.2743362831858407
KOSDAQ,20,FAMILY_STATE,NORMAL_2023_2024,73,0.003060731463986977,0.5068493150684932,0.0006874841004852795,0.4657534246575342,0.2876712328767123
KOSDAQ,20,FAMILY_STATE,YTD_2026,13,0.05288677817715389,0.6153846153846154,0.028211200123418545,0.8461538461538461,0.6153846153846154
KOSDAQ,20,FULL_INTERACTION,BULL_2025,45,0.0481600052233005,0.7777777777777778,0.005495407421699612,0.6444444444444445,0.3111111111111111
KOSDAQ,20,FULL_INTERACTION,DISCOVERY_2016_2022,113,-0.001700852751968189,0.504424778761062,0.0006312155451183189,0.49557522123893805,0.25663716814159293
KOSDAQ,20,FULL_INTERACTION,NORMAL_2023_2024,73,0.0024534233790925075,0.5205479452054794,8.017601559081061e-05,0.4657534246575342,0.2602739726027397
KOSDAQ,20,FULL_INTERACTION,YTD_2026,13,0.055128263760189644,0.6153846153846154,0.030452685706454288,0.9230769230769231,0.6923076923076923
KOSDAQ,20,STATIC_FAMILY,BULL_2025,45,0.052459035098959765,0.8,0.009794437297358903,0.6888888888888889,0.37777777777777777
KOSDAQ,20,STATIC_FAMILY,DISCOVERY_2016_2022,113,0.002066074658411285,0.5309734513274337,0.004398142955497793,0.5663716814159292,0.30973451327433627
KOSDAQ,20,STATIC_FAMILY,NORMAL_2023_2024,73,0.0077507409658330115,0.5205479452054794,0.005377493602331315,0.5205479452054794,0.3287671232876712
KOSDAQ,20,STATIC_FAMILY,YTD_2026,13,0.04747703901589529,0.6153846153846154,0.022801460962159955,0.7692307692307693,0.5384615384615384
KOSDAQ_PLUS_KOSPI_EX_K200,5,FAMILY_STATE,BULL_2025,49,0.008167126632591191,0.6122448979591837,-0.0014457658241662156,0.42857142857142855,0.2857142857142857
KOSDAQ_PLUS_KOSPI_EX_K200,5,FAMILY_STATE,DISCOVERY_2016_2022,144,0.002217204040499662,0.6111111111111112,0.0014385664947321954,0.5069444444444444,0.2986111111111111
KOSDAQ_PLUS_KOSPI_EX_K200,5,FAMILY_STATE,NORMAL_2023_2024,96,0.0011293111528319678,0.5833333333333334,-0.0002530719026534693,0.5,0.14583333333333334
KOSDAQ_PLUS_KOSPI_EX_K200,5,FAMILY_STATE,YTD_2026,19,0.005828978766167591,0.631578947368421,-0.0027968251732371175,0.47368421052631576,0.3157894736842105
KOSDAQ_PLUS_KOSPI_EX_K200,5,FULL_INTERACTION,BULL_2025,49,0.010964938874029568,0.6326530612244898,0.0013520464172721604,0.5306122448979592,0.3673469387755102
KOSDAQ_PLUS_KOSPI_EX_K200,5,FULL_INTERACTION,DISCOVERY_2016_2022,144,0.0021814760056837958,0.6180555555555556,0.001402838459916328,0.5138888888888888,0.2847222222222222
KOSDAQ_PLUS_KOSPI_EX_K200,5,FULL_INTERACTION,NORMAL_2023_2024,96,0.0010863002067078222,0.5729166666666666,-0.00029608284877761533,0.4791666666666667,0.23958333333333334
KOSDAQ_PLUS_KOSPI_EX_K200,5,FULL_INTERACTION,YTD_2026,19,-0.0006418051065988617,0.5789473684210527,-0.00926760904600357,0.3157894736842105,0.10526315789473684
KOSDAQ_PLUS_KOSPI_EX_K200,5,STATIC_FAMILY,BULL_2025,49,0.012972654069979337,0.7142857142857143,0.0033597616132219274,0.6122448979591837,0.3673469387755102
KOSDAQ_PLUS_KOSPI_EX_K200,5,STATIC_FAMILY,DISCOVERY_2016_2022,144,0.002331786286597992,0.6180555555555556,0.0015531487408305257,0.5555555555555556,0.2986111111111111
KOSDAQ_PLUS_KOSPI_EX_K200,5,STATIC_FAMILY,NORMAL_2023_2024,96,0.0025766073318760647,0.5729166666666666,0.0011942242763906274,0.5833333333333334,0.21875
KOSDAQ_PLUS_KOSPI_EX_K200,5,STATIC_FAMILY,YTD_2026,19,0.011433993069954448,0.631578947368421,0.0028081891305497407,0.5789473684210527,0.3157894736842105
