signal_date,date,universe,family,top_abs_5d,bottom_abs_5d,spread_5d,n_side
2016-01-04,2016-01-11,K200,REVISION,0.012491148133691671,-0.01922427084214947,0.03171541897584114,31
2016-01-04,2016-01-11,K200,VALUE,-0.025893520784530458,0.028744188705628212,-0.05463770949015867,30
2016-01-04,2016-01-11,K200,FLOW,0.009600652148089922,-0.0298414421769656,0.03944209432505552,33
2016-01-04,2016-01-11,KOSPI_EX_K200,REVISION,-0.020992703053677775,0.0029602328301681162,-0.02395293588384589,9
2016-01-04,2016-01-11,KOSPI_EX_K200,VALUE,-0.018305591692284854,-0.004097432111569816,-0.014208159580715038,10
2016-01-04,2016-01-11,KOSPI_EX_K200,FLOW,-0.008654780893710546,-0.00981583626746408,0.0011610553737535344,16
2016-01-04,2016-01-11,KOSPI_ALL,REVISION,0.005610289967731449,-0.015192646188507429,0.020802936156238877,41
2016-01-04,2016-01-11,KOSPI_ALL,VALUE,-0.022335347860148076,0.024037911572233263,-0.04637325943238134,40
2016-01-04,2016-01-11,KOSPI_ALL,FLOW,0.005758175400663787,-0.024583276007717432,0.03034145140838122,49
2016-01-04,2016-01-11,KOSDAQ,REVISION,-0.0206737995990067,-0.04534735441630432,0.024673554817297615,10
2016-01-04,2016-01-11,KOSDAQ,VALUE,-0.024798117082584278,0.012589885252531486,-0.037388002335115765,10
2016-01-04,2016-01-11,KOSDAQ,FLOW,0.0009461631826609344,-0.024775044066277223,0.025721207248938158,15
2016-01-04,2016-01-11,KOSPI_KOSDAQ_ALL,REVISION,-0.00511144812299501,-0.02041114202335163,0.015299693900356619,51
2016-01-04,2016-01-11,KOSPI_KOSDAQ_ALL,VALUE,-0.019478529180970088,0.015259386225108543,-0.03473791540607863,51
2016-01-04,2016-01-11,KOSPI_KOSDAQ_ALL,FLOW,0.005072921743728467,-0.021678618162860052,0.026751539906588517,64
2016-01-04,2016-01-11,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,-0.016402945576752648,-0.017918719821975394,0.0015157742452227459,20
2016-01-04,2016-01-11,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,-0.017464289072352174,-0.00894495322192692,-0.008519335850425254,20
2016-01-04,2016-01-11,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,-8.375214498409966e-05,-0.02014683454378134,0.020063082398797238,31
2016-01-11,2016-01-18,K200,REVISION,0.008460569621288615,-0.022843194966415476,0.03130376458770409,34
2016-01-11,2016-01-18,K200,VALUE,-0.019102751871415205,0.009577786923397084,-0.02868053879481229,33
2016-01-11,2016-01-18,K200,FLOW,-0.009325102786903757,-0.014101805954669375,0.004776703167765618,37
2016-01-11,2016-01-18,KOSPI_EX_K200,REVISION,0.011477870079281194,-0.00957686942635508,0.021054739505636272,15
2016-01-11,2016-01-18,KOSPI_EX_K200,VALUE,-0.02285699715498837,0.012322997683476734,-0.0351799948384651,16
2016-01-11,2016-01-18,KOSPI_EX_K200,FLOW,-0.003357608370571742,-0.02598055759372198,0.022622949223150238,26
2016-01-11,2016-01-18,KOSPI_ALL,REVISION,0.008394107739484154,-0.02314529257975577,0.03153940031923992,49
2016-01-11,2016-01-18,KOSPI_ALL,VALUE,-0.019803982506088457,0.004616671050784396,-0.024420653556872854,49
2016-01-11,2016-01-18,KOSPI_ALL,FLOW,-0.009050758238001857,-0.02041626440721628,0.011365506169214425,63
2016-01-11,2016-01-18,KOSDAQ,REVISION,0.022251727326926082,0.0030429609991578996,0.019208766327768183,18
2016-01-11,2016-01-18,KOSDAQ,VALUE,0.0192652050970821,0.012141403425023237,0.0071238016720588625,18
2016-01-11,2016-01-18,KOSDAQ,FLOW,0.01057079132109952,-0.013366186255914146,0.023936977577013664,29
2016-01-11,2016-01-18,KOSPI_KOSDAQ_ALL,REVISION,0.009726116384743883,-0.014116639490810453,0.023842755875554338,67
2016-01-11,2016-01-18,KOSPI_KOSDAQ_ALL,VALUE,-0.01735836132712769,0.013701483366644654,-0.03105984469377234,67
2016-01-11,2016-01-18,KOSPI_KOSDAQ_ALL,FLOW,0.002157656656499064,-0.018907916349802375,0.02106557300630144,92
2016-01-11,2016-01-18,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,0.018309157313220338,-0.008988910916330282,0.02729806822955062,33
