sample,universe,variable,horizon,train_q1,train_q2,n_low,n_high,low_mean,high_mean,high_minus_low
TRAIN_2016_2022,K200,positive_abs_breadth,1,0.25,1.0,110,107,-0.00013146409647055266,0.0005797261478874697,0.0007111902443580223
TRAIN_2016_2022,K200,positive_abs_breadth,5,0.25,1.0,110,107,-0.0005848083204294735,0.0011252901791125674,0.0017100984995420407
TRAIN_2016_2022,K200,positive_abs_breadth,20,0.25,1.0,110,107,0.003870351263253531,0.004244106811903746,0.0003737555486502146
POST_2023_PLUS,K200,positive_abs_breadth,1,0.25,1.0,64,75,0.002233004825658252,0.0020752082728697384,-0.00015779655278851373
POST_2023_PLUS,K200,positive_abs_breadth,5,0.25,1.0,63,75,0.0075930649079782786,0.013150899647097734,0.005557834739119455
POST_2023_PLUS,K200,positive_abs_breadth,20,0.25,1.0,60,75,0.023809176980523285,0.050294275382629774,0.02648509840210649
POST_2023_2024,K200,positive_abs_breadth,1,0.25,1.0,39,32,0.001342412872732433,-0.00018342235167274337,-0.0015258352244051764
POST_2023_2024,K200,positive_abs_breadth,5,0.25,1.0,39,32,0.0043885867771755694,-0.0008965249019314684,-0.005285111679107038
POST_2023_2024,K200,positive_abs_breadth,20,0.25,1.0,39,32,0.015481625917412289,-0.001476336906086428,-0.016957962823498717
BULL_2025,K200,positive_abs_breadth,1,0.25,1.0,13,29,-0.0026146549606547863,0.006522372701680664,0.009137027662335451
BULL_2025,K200,positive_abs_breadth,5,0.25,1.0,13,29,0.016894944433368458,0.0128065854086649,-0.004088359024703558
BULL_2025,K200,positive_abs_breadth,20,0.25,1.0,13,29,0.06550830320384088,0.06686385514780127,0.0013555519439603925
YTD_2026,K200,positive_abs_breadth,1,0.25,1.0,12,14,0.01037906010783962,-0.001974190902141511,-0.012353251009981131
YTD_2026,K200,positive_abs_breadth,5,0.25,1.0,11,14,0.00796126611445404,0.045972520967346775,0.03801125485289274
YTD_2026,K200,positive_abs_breadth,20,0.25,1.0,8,14,-0.003355091699701676,0.13430440252898299,0.13765949422868468
TRAIN_2016_2022,K200,abs_confirmed_breadth,1,0.0,0.25,135,156,0.0005301624490145335,-0.0001597893753399537,-0.0006899518243544872
TRAIN_2016_2022,K200,abs_confirmed_breadth,5,0.0,0.25,135,156,0.0004826320107104125,0.000819609209118789,0.0003369771984083765
TRAIN_2016_2022,K200,abs_confirmed_breadth,20,0.0,0.25,135,156,-0.00035979517443585855,0.006465008769459246,0.006824803943895104
POST_2023_PLUS,K200,abs_confirmed_breadth,1,0.0,0.25,60,115,0.004226925956646611,0.00018684286292938712,-0.004040083093717224
POST_2023_PLUS,K200,abs_confirmed_breadth,5,0.0,0.25,59,115,0.005910553822776356,0.007440870251737911,0.001530316428961555
POST_2023_PLUS,K200,abs_confirmed_breadth,20,0.0,0.25,56,115,0.024843248980503923,0.030733125296649177,0.0058898763161452546
POST_2023_2024,K200,abs_confirmed_breadth,1,0.0,0.25,39,58,0.0016050344664398249,-0.0011110252007146782,-0.0027160596671545034
POST_2023_2024,K200,abs_confirmed_breadth,5,0.0,0.25,39,58,0.002242825479320009,-0.0003461596122713654,-0.0025889850915913745
POST_2023_2024,K200,abs_confirmed_breadth,20,0.0,0.25,39,58,0.014441913560400529,-0.005321254410959868,-0.019763167971360397
BULL_2025,K200,abs_confirmed_breadth,1,0.0,0.25,10,39,-0.003501554140072048,0.00445785799774934,0.007959412137821389
BULL_2025,K200,abs_confirmed_breadth,5,0.0,0.25,10,39,0.00933176855230711,0.015508330323711572,0.006176561771404462
BULL_2025,K200,abs_confirmed_breadth,20,0.0,0.25,10,39,0.05902221907215375,0.061255410340601064,0.0022331912684473154
YTD_2026,K200,abs_confirmed_breadth,1,0.0,0.25,11,18,0.02054861405530582,-0.004885003946327415,-0.025433618001633233
YTD_2026,K200,abs_confirmed_breadth,5,0.0,0.25,10,18,0.016793479632725365,0.015052914102047085,-0.0017405655306782803
TRAIN_2016_2022,K200,bearish_reverse_breadth,1,0.0,0.25,147,144,0.0003377101146868939,-2.0823602743362756e-05,-0.00035853371743025666
TRAIN_2016_2022,K200,bearish_reverse_breadth,5,0.0,0.25,147,144,0.0014768636664569945,-0.00016725417292181574,-0.0016441178393788102
TRAIN_2016_2022,K200,bearish_reverse_breadth,20,0.0,0.25,147,144,0.003947974417483195,0.0026362276396998036,-0.001311746777783391
POST_2023_PLUS,K200,bearish_reverse_breadth,1,0.0,0.25,105,70,0.001260411734078537,0.0020394179222489968,0.0007790061881704597
POST_2023_PLUS,K200,bearish_reverse_breadth,5,0.0,0.25,105,69,0.008277239088071138,0.004859603626756451,-0.0034176354613146866
POST_2023_PLUS,K200,bearish_reverse_breadth,20,0.0,0.25,105,66,0.034308385465274406,0.020047740578319137,-0.014260644886955269
POST_2023_2024,K200,bearish_reverse_breadth,1,0.0,0.25,54,43,0.00029374026762088814,-0.00041174632329828154,-0.0007054865909191697
POST_2023_2024,K200,bearish_reverse_breadth,5,0.0,0.25,54,43,-0.0007365428905933386,0.0024922384249716624,0.0032287813155650012
POST_2023_2024,K200,bearish_reverse_breadth,20,0.0,0.25,54,43,0.0002983436897813632,0.005546309622598949,0.005247965932817586
BULL_2025,K200,bearish_reverse_breadth,1,0.0,0.25,34,15,0.005444479040336352,-0.00308475779066214,-0.008529236830998491
BULL_2025,K200,bearish_reverse_breadth,5,0.0,0.25,34,15,0.011512846723988834,0.02044705196881346,0.008934205244824626
BULL_2025,K200,bearish_reverse_breadth,20,0.0,0.25,34,15,0.0641809725226391,0.053135341882349994,-0.011045630640289107
YTD_2026,K200,bearish_reverse_breadth,1,0.0,0.25,17,12,-0.004037119396748085,0.01722797610993233,0.021265095506680414
YTD_2026,K200,bearish_reverse_breadth,5,0.0,0.25,17,11,0.030438037160228786,-0.007141761959980748,-0.037579799120209534
YTD_2026,K200,bearish_reverse_breadth,20,0.0,0.25,17,8,0.08259510875505234,0.03595367952025733,-0.04664142923479501
TRAIN_2016_2022,K200,spread_dispersion,1,0.02465016492988699,0.04076039461549401,97,97,-0.001282086056505658,-0.0005489088469236566,0.0007331772095820014
TRAIN_2016_2022,K200,spread_dispersion,5,0.02465016492988699,0.04076039461549401,97,97,-0.004672558511281325,0.0033344574210323564,0.00800701593231368
TRAIN_2016_2022,K200,spread_dispersion,20,0.02465016492988699,0.04076039461549401,97,97,-0.011046853200847731,0.012359505285872645,0.023406358486720374
POST_2023_PLUS,K200,spread_dispersion,1,0.02465016492988699,0.04076039461549401,42,74,0.004153643497676374,0.0022813650577382634,-0.001872278439938111
POST_2023_PLUS,K200,spread_dispersion,5,0.02465016492988699,0.04076039461549401,42,73,0.003651024613212182,0.01283367010695526,0.009182645493743079
POST_2023_PLUS,K200,spread_dispersion,20,0.02465016492988699,0.04076039461549401,42,70,0.020451870517743897,0.03474954736685752,0.014297676849113625
POST_2023_2024,K200,spread_dispersion,1,0.02465016492988699,0.04076039461549401,35,25,0.0016461113863889159,-0.0009525671140148728,-0.002598678500403789
POST_2023_2024,K200,spread_dispersion,5,0.02465016492988699,0.04076039461549401,35,25,-0.0017990010981163147,0.00276428134781458,0.004563282445930895
POST_2023_2024,K200,spread_dispersion,20,0.02465016492988699,0.04076039461549401,35,25,-0.001265981882877905,-0.0033251003863152633,-0.002059118503437358
TRAIN_2016_2022,K200,avg_corr_60d,1,-0.023485732923231403,0.14819480315762157,97,97,0.00023395060161678397,-0.0002746376102903413,-0.0005085882119071252
TRAIN_2016_2022,K200,avg_corr_60d,5,-0.023485732923231403,0.14819480315762157,97,97,0.0032218046071674396,-0.0002642948829278161,-0.0034860994900952555
TRAIN_2016_2022,K200,avg_corr_60d,20,-0.023485732923231403,0.14819480315762157,97,97,0.010679777220868308,0.0023686913207776193,-0.008311085900090689
POST_2023_PLUS,K200,avg_corr_60d,1,-0.023485732923231403,0.14819480315762157,46,70,0.004925199084953777,0.0025841397729411335,-0.002341059312012644
POST_2023_PLUS,K200,avg_corr_60d,5,-0.023485732923231403,0.14819480315762157,45,70,-0.0002506545160996177,0.010196016011486429,0.010446670527586046
POST_2023_PLUS,K200,avg_corr_60d,20,-0.023485732923231403,0.14819480315762157,42,70,0.023599628078018825,0.03508038339669286,0.011480755318674034
POST_2023_2024,K200,avg_corr_60d,1,-0.023485732923231403,0.14819480315762157,16,46,-0.0041147724161414885,0.002733321963761931,0.006848094379903419
POST_2023_2024,K200,avg_corr_60d,5,-0.023485732923231403,0.14819480315762157,16,46,-0.010129624993117162,0.005098224514624716,0.015227849507741878
POST_2023_2024,K200,avg_corr_60d,20,-0.023485732923231403,0.14819480315762157,16,46,-0.012843358551374048,0.014696318017341115,0.027539676568715164
BULL_2025,K200,avg_corr_60d,1,-0.023485732923231403,0.14819480315762157,8,24,8.499417549770374e-05,0.002298207240534608,0.002213213065036904
BULL_2025,K200,avg_corr_60d,5,-0.023485732923231403,0.14819480315762157,8,24,-0.007234162862821468,0.01996678304713804,0.027200945909959508
BULL_2025,K200,avg_corr_60d,20,-0.023485732923231403,0.14819480315762157,8,24,0.018785197179602846,0.07414984204045037,0.05536464486084752
TRAIN_2016_2022,KOSDAQ,positive_abs_breadth,1,0.25,1.0,105,99,0.0008662396216924807,0.0004504172701897134,-0.00041582235150276726
