sample,universe,state,horizon,n,mean,median,positive_share,nw_tstat_mean
TRAIN_2016_2022,K200,BROAD_CONFIRMATION,1,41,-0.000322480819604879,-0.00038578256839011155,0.4634146341463415,-0.1549940923698113
TRAIN_2016_2022,K200,BROAD_CONFIRMATION,5,41,-0.003953533396979773,-0.002233347040367431,0.4634146341463415,-1.0522685117938555
TRAIN_2016_2022,K200,BROAD_CONFIRMATION,20,41,-0.012768274548715314,-0.011654339634202909,0.36585365853658536,-1.1440011321096497
TRAIN_2016_2022,K200,BULLISH_STYLE_SHIFT,1,43,0.0005192187670118203,-0.0005629220178795265,0.4883720930232558,0.26650676292651637
TRAIN_2016_2022,K200,BULLISH_STYLE_SHIFT,5,43,-0.0013730814384747246,0.0015134322502686065,0.5348837209302325,-0.43049462190966176
TRAIN_2016_2022,K200,BULLISH_STYLE_SHIFT,20,43,-0.007163246368374832,-0.018576254199120595,0.46511627906976744,-0.5860107530963086
TRAIN_2016_2022,K200,MOM_BROAD_RISK_OFF,1,30,0.003326025386219474,0.0037711002597324815,0.8,2.7009726029115066
TRAIN_2016_2022,K200,MOM_BROAD_RISK_OFF,5,30,0.005707347980423893,0.007124384354583544,0.7,1.614270235864304
TRAIN_2016_2022,K200,MOM_BROAD_RISK_OFF,20,30,0.009683433709927686,0.011060040141268256,0.6666666666666666,1.2721660349295065
TRAIN_2016_2022,K200,MOM_RISK_ROTATION_SUPPORT,1,38,-0.0004125014735667294,0.000446018632912636,0.5263157894736842,-0.41799227879117096
TRAIN_2016_2022,K200,MOM_RISK_ROTATION_SUPPORT,5,38,0.002738656313596646,0.0025223887657395668,0.5526315789473685,0.9348877269862905
TRAIN_2016_2022,K200,MOM_RISK_ROTATION_SUPPORT,20,38,0.011462753047555643,0.016514694629318757,0.6578947368421053,1.0391300983461322
POST_2023_PLUS,K200,BROAD_CONFIRMATION,1,45,-0.00019778111171047798,0.0039467110183242105,0.6222222222222222,-0.04892654734869935
POST_2023_PLUS,K200,BROAD_CONFIRMATION,5,45,0.016609299631984147,0.013185749408694991,0.6222222222222222,2.8340249104961632
POST_2023_PLUS,K200,BROAD_CONFIRMATION,20,45,0.05732993028766879,0.03700777290893164,0.6888888888888889,2.9746377464813434
POST_2023_PLUS,K200,BULLISH_STYLE_SHIFT,1,18,0.0016218289368852405,0.0005730885884661415,0.5,0.575539387607998
POST_2023_PLUS,K200,BULLISH_STYLE_SHIFT,5,18,0.00046128645500513165,0.0008788954755979108,0.5555555555555556,0.08822267605031796
POST_2023_PLUS,K200,BULLISH_STYLE_SHIFT,20,18,0.008661883425720942,-0.0003361717842494342,0.5,0.5755393100208036
POST_2023_PLUS,K200,MOM_BROAD_RISK_OFF,1,27,0.003134419290648822,-0.0006885308955594727,0.48148148148148145,0.7672915240475355
POST_2023_PLUS,K200,MOM_BROAD_RISK_OFF,5,26,0.007768937111496038,0.008035852674208786,0.6538461538461539,1.0859656453169924
POST_2023_PLUS,K200,MOM_BROAD_RISK_OFF,20,23,0.03162655856606056,0.03282849933824059,0.7391304347826086,2.041131607564715
POST_2023_PLUS,K200,MOM_RISK_ROTATION_SUPPORT,1,14,-0.0038173360914903246,0.0018003526161215247,0.5714285714285714,-0.6027307392932302
