sample,universe,family_a,family_b,corr
TRAIN_2016_2022,K200,FLOW,MOMENTUM,0.42784489596608416
TRAIN_2016_2022,K200,FLOW,REVISION,0.22890245675076726
TRAIN_2016_2022,K200,FLOW,VALUE,-0.12261336636981673
TRAIN_2016_2022,K200,MOMENTUM,REVISION,0.5507732842605806
TRAIN_2016_2022,K200,MOMENTUM,VALUE,-0.34282319635046743
TRAIN_2016_2022,K200,REVISION,VALUE,-0.17716031615877909
POST_2023_PLUS,K200,FLOW,MOMENTUM,0.2273273691597574
POST_2023_PLUS,K200,FLOW,REVISION,0.24717944085358617
POST_2023_PLUS,K200,FLOW,VALUE,0.02382536066878645
POST_2023_PLUS,K200,MOMENTUM,REVISION,0.47574254679458167
POST_2023_PLUS,K200,MOMENTUM,VALUE,-0.24438129134470185
POST_2023_PLUS,K200,REVISION,VALUE,-0.48298594188347915
POST_2023_2024,K200,FLOW,MOMENTUM,0.3585931319014248
POST_2023_2024,K200,FLOW,REVISION,0.24322140683206422
POST_2023_2024,K200,FLOW,VALUE,0.04549428244513892
POST_2023_2024,K200,MOMENTUM,REVISION,0.43326732866225853
POST_2023_2024,K200,MOMENTUM,VALUE,0.03602702867190577
POST_2023_2024,K200,REVISION,VALUE,-0.39454801303234416
BULL_2025,K200,FLOW,MOMENTUM,0.3826987537836824
BULL_2025,K200,FLOW,REVISION,0.3365825070714396
BULL_2025,K200,FLOW,VALUE,-0.07252151773349261
BULL_2025,K200,MOMENTUM,REVISION,0.5454795867868643
BULL_2025,K200,MOMENTUM,VALUE,-0.2960706446379536
BULL_2025,K200,REVISION,VALUE,-0.38515191935022247
YTD_2026,K200,FLOW,MOMENTUM,-0.15816804377379412
YTD_2026,K200,FLOW,REVISION,0.1542627446652081
YTD_2026,K200,FLOW,VALUE,0.0706479600858144
YTD_2026,K200,MOMENTUM,REVISION,0.46927238176233244
YTD_2026,K200,MOMENTUM,VALUE,-0.516060011495337
YTD_2026,K200,REVISION,VALUE,-0.6634553848175166
TRAIN_2016_2022,KOSDAQ,FLOW,MOMENTUM,0.15155476101510632
