universe,family,cut_q,abs_spread_cut,train_n
K200,MOMENTUM,0.3333333333333333,0.01987786381638242,291
K200,REVISION,0.3333333333333333,0.015959419274731695,341
K200,VALUE,0.3333333333333333,0.021993762934587657,341
K200,FLOW,0.3333333333333333,0.012765879005901204,341
KOSDAQ,MOMENTUM,0.3333333333333333,0.029266953969161458,291
KOSDAQ,REVISION,0.3333333333333333,0.01959174767106164,341
KOSDAQ,VALUE,0.3333333333333333,0.02325917633202716,341
KOSDAQ,FLOW,0.3333333333333333,0.013769601987900115,341
KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,0.3333333333333333,0.02829490706003268,291
KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,0.3333333333333333,0.017313695489821236,341
KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,0.3333333333333333,0.026302459623027234,341
KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,0.3333333333333333,0.00929117839730753,341
KOSPI_ALL,MOMENTUM,0.3333333333333333,0.017068004147112955,291
KOSPI_ALL,REVISION,0.3333333333333333,0.014759334261266667,341
KOSPI_ALL,VALUE,0.3333333333333333,0.021663753624615697,341
KOSPI_ALL,FLOW,0.3333333333333333,0.009997625420529435,341
KOSPI_EX_K200,MOMENTUM,0.3333333333333333,0.024796242592125265,291
KOSPI_EX_K200,REVISION,0.3333333333333333,0.020771881250219188,341
KOSPI_EX_K200,VALUE,0.3333333333333333,0.027510419973944208,341
KOSPI_EX_K200,FLOW,0.3333333333333333,0.014377183773342406,341
KOSPI_KOSDAQ_ALL,MOMENTUM,0.3333333333333333,0.024046070639160495,291
KOSPI_KOSDAQ_ALL,REVISION,0.3333333333333333,0.014568989198000943,341
KOSPI_KOSDAQ_ALL,VALUE,0.3333333333333333,0.02288027153566226,341
KOSPI_KOSDAQ_ALL,FLOW,0.3333333333333333,0.007976408416376219,341
