universe,factor,period,n_valid_dates,replacement_event_rate,avg_replacements_all_valid_dates,n_events,n_pairs,mean_removed_fwd10,mean_added_fwd10,mean_pair_delta_fwd10,median_pair_delta_fwd10,pair_win_rate,mean_event_delta_fwd10,positive_event_rate,phase_win_count,n_phases,mean_removed_act5,mean_added_act5,mean_removed_act5_rank,mean_added_act5_rank,mean_removed_r1m,mean_added_r1m,mean_removed_factor_rank,mean_added_factor_rank
KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE0,LATE_2020_2022,692,0.9826589595375722,4.109826589595376,680,2844,0.0049845791968862905,0.006084980888113018,0.0011004016912267301,0.008692843813471407,0.5291842475386779,-0.004608659099987995,0.525,4,10,0.4385049349059862,2.796924197647961,0.14483821186901724,0.7314498916957262,0.28360916670520053,0.17011205244266803,10.590365682137834,24.073488045007032
KOSPI_ALL,WEIGHTED_MOM,LATE_2020_2022,742,0.9784366576819407,4.866576819407008,726,3611,0.0014862014096345961,-0.0023670472867313073,-0.0038532486963659047,0.0036963812542948338,0.5123234561063418,-0.008134552903946157,0.5055096418732782,2,10,0.48454957535697085,2.8096362322403983,0.1294199365972316,0.7441141984509166,0.23196504293961914,0.19437075711428978,10.59235668789809,25.053724729991693
KOSPI_ALL,WEIGHTED_MOM_R1M_GE0,LATE_2020_2022,727,0.9752407152682255,4.202200825309491,709,3055,0.00105484178490415,0.0011131178921134598,5.827610720930741e-05,0.008768055746413816,0.5286415711947627,-0.001748444492597548,0.5232722143864598,4,10,0.4888560632803832,2.8805377737095554,0.13460222883676234,0.757486573004687,0.3148595300888038,0.2132689366242671,10.466775777414075,24.28314238952537
KOSDAQ,WEIGHTED_MOM,LATE_2020_2022,742,0.9919137466307277,4.828840970350404,736,3583,-0.007098882276030394,-0.005764799778535333,0.0013340824974950637,0.01197738269035753,0.5286073123081216,0.005332014826495481,0.5339673913043478,7,10,0.44017048096857475,2.8044547923168235,0.13655723101498424,0.7372777068017227,0.2881620960885654,0.23351704503408127,10.440971253139827,24.588612894222717
KOSDAQ,WEIGHTED_MOM_R1M_GE0,LATE_2020_2022,724,0.9806629834254144,4.092541436464089,710,2963,-0.01176799084505913,-0.003886367365033518,0.007881623480025609,0.017653526671225106,0.5474181572730341,0.01225809250510327,0.5577464788732395,7,10,0.44637730427127176,2.9613077854511363,0.14041454406703627,0.7468281227424598,0.40175855296647867,0.26365385093375393,10.213972325345933,23.9260884238947
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM,LATE_2020_2022,742,0.9838274932614556,4.886792452830188,730,3626,-0.005370568504511269,-0.0008213077724723245,0.004549260732038942,0.011205921294941135,0.5281301709873139,0.000932832847702936,0.5219178082191781,5,10,0.45860753653690023,3.469872327797439,0.12762093930994942,0.758668360430981,0.3599600121442252,0.3244201795533191,10.528130170987314,24.745173745173744
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM_R1M_GE0,LATE_2020_2022,733,0.9727148703956344,4.259208731241474,713,3122,-0.009298695958489114,-0.0030768037766096407,0.006221892181879473,0.016526124076982007,0.539718129404228,0.0051257026352665765,0.5231416549789621,7,10,0.4649142867991767,3.600906949666486,0.13271408428516224,0.7674423525383783,0.47182468382904585,0.3459245488789479,10.357142857142858,24.20691864189622
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,LATE_2020_2022,742,0.9784366576819407,4.660377358490566,726,3458,-0.005362587012280121,-0.0009049749652188055,0.004457612047061316,0.0126887957035684,0.5271833429728167,-0.00011918328297343109,0.5206611570247934,6,10,0.43971505013237455,3.7705334390939926,0.13712661397011097,0.7475589552963444,0.34504834585382527,0.30169502567390694,10.473684210526315,24.53875072296125
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE0,LATE_2020_2022,732,0.9631147540983607,4.051912568306011,705,2966,-0.00967332374777926,-0.005656380193420167,0.004016943554359093,0.012820042123309339,0.5269723533378288,0.0010571996441670595,0.5134751773049645,6,10,0.44227805216689764,3.6984155685191613,0.1404461172156813,0.7578080853026813,0.45883754700459967,0.3285929802388801,10.391099123398517,23.957181389076197
K200,WEIGHTED_MOM,NORMAL_2023_2024,489,0.9754601226993865,4.1676891615541924,477,2038,0.005352018198405061,0.0026796812589720614,-0.0026723369394330014,0.004890317054182303,0.5215897939156036,-0.000595231156138446,0.5157232704402516,6,10,0.5811267688125535,1.5400236603623478,0.14602020376860494,0.7131121274522767,0.12296495879519276,0.10063766077188559,10.574092247301277,23.96810598626104
K200,WEIGHTED_MOM_R1M_GE0,NORMAL_2023_2024,489,0.9611451942740287,3.6993865030674846,470,1809,0.005782737505199525,0.0071823242095834785,0.0013995867043839533,0.007099570656411758,0.5301271420674406,0.0059199024505736655,0.5361702127659574,7,10,0.5903140143746116,1.6146792513771326,0.1499387199886251,0.728108196175614,0.1548659633830856,0.10785847339888179,10.51354339414041,23.625207296849087
KOSPI_EX_K200,WEIGHTED_MOM,NORMAL_2023_2024,489,0.9918200408997955,4.676891615541923,485,2287,-0.006738329847652263,0.0042828338536765416,0.011021163701328803,0.013287862770127834,0.5373852208132925,0.01852268872523599,0.5876288659793815,10,10,0.44522873602122814,3.0413994834397897,0.14731881002393285,0.7299872052598058,0.18977361429561132,0.12998933432928397,10.770441626585045,24.40052470485352
KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE0,NORMAL_2023_2024,487,0.9876796714579056,4.186858316221766,481,2039,-0.0061761189699490425,0.0023543746711117853,0.008530493641060828,0.017800876799215937,0.5512506130456106,0.016187303541432066,0.5696465696465697,8,10,0.45110456192184994,3.0531868378831506,0.1503753592964225,0.7405799181226486,0.24716957424168717,0.1387532595837138,10.719470328592447,23.91221186856302
KOSPI_ALL,WEIGHTED_MOM,NORMAL_2023_2024,489,0.9877300613496932,4.742331288343558,483,2319,0.0031619278127605847,-0.0019087396753570815,-0.005070667488117669,0.0009748965007341237,0.5023717119448038,0.0014424545559173347,0.5134575569358178,5,10,0.49706840615998876,3.261184973801173,0.1398629707811823,0.7473028411868464,0.21566886308445246,0.1887536524854128,10.40620957309185,24.377317809400605
KOSPI_ALL,WEIGHTED_MOM_R1M_GE0,NORMAL_2023_2024,489,0.9856850715746421,4.179959100204499,482,2044,0.0021619293767576315,-0.0011750289244189774,-0.0033369583011766107,0.008544261804353248,0.5181017612524462,0.004416331878604441,0.520746887966805,7,10,0.5035520540845644,3.416500927878041,0.14154053544307232,0.7514924115993118,0.2758897011560317,0.1940477814887247,10.169275929549903,23.88894324853229
KOSDAQ,WEIGHTED_MOM,NORMAL_2023_2024,489,0.967280163599182,3.9447852760736195,473,1929,0.0013674647535654582,0.00427137873102283,0.0029039139774573695,0.019564225776916522,0.5427682737169518,0.0024898287694021526,0.5348837209302325,5,10,0.4519300003298963,3.3765330413076518,0.15380513965674752,0.7364361333459621,0.3015441156160743,0.2601320575997633,10.867807153965785,24.12960082944531
