universe,factor,period,n_valid_dates,replacement_event_rate,avg_replacements_all_valid_dates,n_events,n_pairs,mean_removed_fwd10,mean_added_fwd10,mean_pair_delta_fwd10,median_pair_delta_fwd10,pair_win_rate,mean_event_delta_fwd10,positive_event_rate,phase_win_count,n_phases,mean_removed_act5,mean_added_act5,mean_removed_act5_rank,mean_added_act5_rank,mean_removed_r1m,mean_added_r1m,mean_removed_factor_rank,mean_added_factor_rank
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM_R1M_GE0,BULL_2025,242,0.987603305785124,3.5041322314049586,239,848,0.014895317032638513,0.019294604964279417,0.004399287931640903,-0.004600677603555814,0.49174528301886794,-0.0010793524186897554,0.4686192468619247,4,10,0.5150986856576744,7.791921826564203,0.1477084508871962,0.7411870141809896,0.5213951411388855,0.3770567463952129,10.402122641509434,23.44811320754717
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,BULL_2025,242,0.9834710743801653,3.7768595041322315,238,914,0.012789429070219236,0.016181604907738078,0.0033921758375188424,0.0010412610023621816,0.5032822757111597,-0.006025272444614468,0.5126050420168067,5,10,0.4801278650816746,7.360371194309274,0.14917461693734912,0.7270257859429465,0.4286030569674557,0.34839843270638604,10.718818380743983,23.62691466083151
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE0,BULL_2025,242,0.9834710743801653,3.4958677685950414,238,846,0.017254973499660396,0.02396860121204776,0.006713627712387357,0.009117938420004856,0.5177304964539007,-0.0025154724883215502,0.5378151260504201,4,10,0.4884939824792671,7.974589855443571,0.15278198119522007,0.7312126905778136,0.4927067280025022,0.3572018571425755,10.53191489361702,23.426713947990542
K200,WEIGHTED_MOM,YTD_2026,137,0.9708029197080292,3.54014598540146,133,485,-0.018489243945006187,0.01591952049712023,0.034408764442126406,0.03787419044364815,0.5835051546391753,0.040394313263170535,0.6240601503759399,9,10,0.6072339643050292,1.6636935717384531,0.12951209170854272,0.7343288607988396,0.20303032430693435,0.20900648850564107,11.010309278350515,23.738144329896908
K200,WEIGHTED_MOM_R1M_GE0,YTD_2026,130,0.9076923076923077,2.9307692307692306,118,381,0.01869533306859989,0.028911819496848193,0.010216486428248302,0.009957441516142529,0.5170603674540682,0.017392906604917976,0.5677966101694916,7,10,0.6414887776286193,1.8369280884693675,0.1358521998289319,0.7382025613632467,0.34560031784778095,0.24635584120457532,11.766404199475065,23.695538057742784
KOSPI_EX_K200,WEIGHTED_MOM,YTD_2026,137,0.9927007299270073,5.145985401459854,136,705,-0.026885828967836714,0.02471845618181172,0.051604285149648446,0.026032624455359255,0.577304964539007,0.03800388746706823,0.6323529411764706,9,10,0.43574893037752044,3.2498696415021264,0.12033881305605146,0.7467501492535714,0.2708618099200721,0.19519949562445058,10.578723404255319,24.666666666666668
KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE0,YTD_2026,127,0.9606299212598425,4.070866141732283,122,517,-0.011916927282550076,0.044375020963359775,0.05629194824590984,0.02213553834611437,0.5647969052224371,0.04195714267750019,0.639344262295082,9,10,0.48487332747841594,3.429679956194653,0.13516011749905749,0.7486538935722808,0.4464692737245806,0.2404621167050592,10.272727272727273,24.065764023210832
KOSPI_ALL,WEIGHTED_MOM,YTD_2026,137,0.9927007299270073,4.087591240875913,136,560,-0.04033884424463094,0.0036606579085814487,0.04399950215321238,0.041487128240600746,0.5875,0.05036850335711782,0.6397058823529411,10,10,0.4936843606317318,3.5814752505381175,0.12241470221377146,0.7628160586646727,0.3592223931040294,0.32782706831448116,10.710714285714285,23.744642857142857
KOSPI_ALL,WEIGHTED_MOM_R1M_GE0,YTD_2026,136,0.9485294117647058,3.1691176470588234,129,431,-0.020572140802074673,0.023092017900466732,0.04366415870254141,0.038372708036887415,0.5661252900232019,0.05905353552512864,0.6124031007751938,10,10,0.5298340740048484,3.6688402297966665,0.12401005366032182,0.764828029878946,0.5637020909767059,0.3710512523268182,10.728538283062646,23.468677494199536
KOSDAQ,WEIGHTED_MOM,YTD_2026,137,0.9927007299270073,4.357664233576642,136,597,0.010289101570146354,-0.00023182698878723368,-0.010520928558933594,0.005367031837790304,0.509212730318258,-0.00327587102357894,0.4852941176470588,5,10,0.4837305678175685,2.7624508726994095,0.1348525730773721,0.7386917867803131,0.49135763997462395,0.49466441492478136,10.775544388609715,24.609715242881073
KOSDAQ,WEIGHTED_MOM_R1M_GE0,YTD_2026,134,0.8955223880597015,3.4328358208955225,120,460,0.04305364491894804,0.012609946082573816,-0.03044369883637423,0.005659649434789249,0.5152173913043478,-0.0037190556346910412,0.4666666666666667,6,10,0.5215627828342008,2.621885133406693,0.14239667583820356,0.7296062566330626,0.7596560780453395,0.5696485218335773,10.684782608695652,24.408695652173915
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM,YTD_2026,137,0.9927007299270073,4.532846715328467,136,621,-0.006324162882554067,0.029755024787353125,0.036079187669907205,0.04274241174863003,0.5877616747181964,0.031360064189962636,0.5808823529411765,7,10,0.4764899159108384,2.9040080449878283,0.1207549870388078,0.7394755126563015,0.5902152522656555,0.5904859453404263,10.769726247987117,24.816425120772948
KOSPI_KOSDAQ_ALL,WEIGHTED_MOM_R1M_GE0,YTD_2026,137,0.9197080291970803,3.5036496350364965,126,480,0.02499203365752984,0.0566960339993698,0.03170400034183996,0.047966430775351954,0.5645833333333333,0.04967848863930125,0.6031746031746031,8,10,0.5175716066010995,3.230680893060392,0.12783960898234487,0.7427172690061092,0.8754636098089627,0.6451498487510935,10.43125,24.539583333333333
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM,YTD_2026,137,0.9927007299270073,4.547445255474453,136,623,0.0026216614151223644,0.021831864497299548,0.019210203082177187,0.021883623900375015,0.5345104333868379,0.035625603012148656,0.5955882352941176,9,10,0.4623112905410604,2.642090153520817,0.12695967433493419,0.7326851946032901,0.5820240937401475,0.5390212274327986,10.757624398073837,24.98234349919743
KOSDAQ_PLUS_KOSPI_EX_K200,WEIGHTED_MOM_R1M_GE0,YTD_2026,137,0.9197080291970803,3.576642335766423,126,490,0.026603835732819818,0.025798260257992162,-0.000805575474827653,0.024055776918545435,0.536734693877551,0.028690930410737607,0.5634920634920635,7,10,0.506869654709323,2.719790762882603,0.1372195360817865,0.7383712099602588,0.8542278563855942,0.5882747597281595,10.526530612244898,24.761224489795918
