universe,period,threshold_pct,median_cagr,median_mdd,median_sharpe,median_excess_cagr,median_turnover,positive_cagr_phases,positive_excess_phases
K200,BULL_2025,-10.0,0.5306127500822232,-0.1882053687817216,1.5567298318996612,-0.1715015384496179,10.800814040737704,10,0
K200,BULL_2025,-5.0,0.5084808787836249,-0.1902400702561181,1.5151800471914156,-0.1834811990928056,11.393312361146965,10,0
K200,BULL_2025,0.0,0.4784973999295084,-0.2023692096512334,1.4514934161985955,-0.1997108209231661,11.965007937828716,10,0
K200,BULL_2025,5.0,0.4191688311302842,-0.2019816693673354,1.3341574483026704,-0.2318245139350017,12.61800833843992,10,0
K200,BULL_2025,10.0,0.4784668120930043,-0.1867298277283333,1.4671132919775984,-0.199727377675019,11.75315607088782,10,0
KOSDAQ,BULL_2025,-10.0,0.6348020692679699,-0.2247058353199753,1.5759637164461684,0.1675426841776409,12.673465293378008,10,9
KOSDAQ,BULL_2025,-5.0,0.6261786953565098,-0.2201624416257481,1.596246305806642,0.1613840443566353,13.130961436333894,10,9
KOSDAQ,BULL_2025,0.0,0.6106746647742693,-0.2162137702306418,1.5686594709117188,0.1503113782389172,13.289580144389696,10,10
KOSDAQ,BULL_2025,5.0,0.6195520256080655,-0.2146842194995528,1.5610386873400313,0.1566514104000872,13.595144979212424,10,9
KOSDAQ,BULL_2025,10.0,0.6464897045515913,-0.2012761512303508,1.6049394629357077,0.1758897577024729,14.073678370564174,10,9
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,-10.0,0.4184059825744819,-0.2287504861103176,1.2047252715118069,0.0248401434608656,13.473346087435049,10,6
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,-5.0,0.4284572859278189,-0.2215946698483706,1.2082979588595348,0.0321025064917277,13.704685151895518,10,6
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,0.0,0.4339317885154256,-0.2162499334210824,1.2306434743027652,0.0360579960244749,13.892679523252202,10,6
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,5.0,0.4592600090563432,-0.2169721270962084,1.2820864441970503,0.0543583821562707,14.112869341707484,10,7
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,10.0,0.4421559009897381,-0.2243907537490923,1.2546231607255531,0.0420001597713566,14.585251080317637,10,6
KOSPI_ALL,BULL_2025,-10.0,0.3046726092381955,-0.2225502335656975,0.9573906963190084,-0.2763103932383514,11.470742820342746,10,0
KOSPI_ALL,BULL_2025,-5.0,0.2842357056938012,-0.2224372397549844,0.9149000300015232,-0.2876465511255815,11.88826090098971,10,0
KOSPI_ALL,BULL_2025,0.0,0.3007922658431413,-0.2196236212682297,0.9451536321088112,-0.2784627831680424,12.4256301698075,9,0
KOSPI_ALL,BULL_2025,5.0,0.2887045658792938,-0.2129501290903738,0.9426281127970784,-0.2851677164758681,13.15934092890285,10,0
KOSPI_ALL,BULL_2025,10.0,0.2345858331748265,-0.212836014110114,0.8195682103551045,-0.3151868677265437,13.802036310375176,10,0
KOSPI_EX_K200,BULL_2025,-10.0,0.1952908788255458,-0.2153441951258047,0.7243474652545572,-0.1109233004367468,11.23109103520052,10,0
KOSPI_EX_K200,BULL_2025,-5.0,0.1899331140494503,-0.2157963512519883,0.717979305678518,-0.1149084925841572,11.470825788999964,10,0
KOSPI_EX_K200,BULL_2025,0.0,0.1585918183007235,-0.2215180519533125,0.6328375662679497,-0.1382206555713747,12.085787549559935,10,0
KOSPI_EX_K200,BULL_2025,5.0,0.1469017456797678,-0.2307160081962377,0.6031762285782096,-0.1469159207721816,12.6141432400081,10,0
KOSPI_EX_K200,BULL_2025,10.0,0.170049000550057,-0.2281553845442098,0.6653417915065776,-0.1296986179979418,12.275012733404004,9,0
