universe,strategy,period,cost_bp,n_phases,median_delta_cagr,median_delta_excess_cagr,median_delta_sharpe,median_delta_mdd,cagr_better_phases,excess_better_phases,sharpe_better_phases,mdd_better_phases
K200,WEIGHTED_MOM_R1M_GE_M10,BULL_2025,0,10,0.0016394316511841867,0.0008874005529799223,0.003884722678280106,0.0,6,6,6,3
K200,WEIGHTED_MOM_R1M_GE_M10,BULL_2025,30,10,0.0008859887221247531,0.0004795728332932514,0.002467755695886864,0.0,5,5,6,2
K200,WEIGHTED_MOM_R1M_GE_M10,BULL_2025,60,10,0.00017663661945921394,9.561083785997182e-05,0.0010331283800645297,0.0,5,5,6,2
K200,WEIGHTED_MOM_R1M_GE_M10,EARLY_2017_2019,0,10,0.0016721982349457432,0.0016382762155526809,0.008736886425482107,0.0035486405600875792,7,7,7,6
K200,WEIGHTED_MOM_R1M_GE_M10,EARLY_2017_2019,30,10,0.001570070441292204,0.0015382656734682643,0.007878796155486506,0.0030940528229283504,7,7,7,6
K200,WEIGHTED_MOM_R1M_GE_M10,EARLY_2017_2019,60,10,0.0014729388358409867,0.0014431468742672204,0.007036373515331207,0.002668654383418234,7,7,6,6
K200,WEIGHTED_MOM_R1M_GE_M10,LATE_2020_2022,0,10,0.01357414331844975,0.0135320303395296,0.06674735682294876,-0.0020080028744389744,7,7,7,4
K200,WEIGHTED_MOM_R1M_GE_M10,LATE_2020_2022,30,10,0.012578525028639875,0.012539500896734335,0.06657177189268432,-0.00576830370779885,7,7,7,3
K200,WEIGHTED_MOM_R1M_GE_M10,LATE_2020_2022,60,10,0.011633266317598367,0.01159717479508382,0.06647323247168331,-0.00465512409987795,7,7,6,2
K200,WEIGHTED_MOM_R1M_GE_M10,NORMAL_2023_2024,0,10,-0.0026350490409245975,-0.0025448938312822578,-0.016530693019143353,-0.004890604013136901,4,4,4,4
K200,WEIGHTED_MOM_R1M_GE_M10,NORMAL_2023_2024,30,10,-0.0033553449289025483,-0.003240545613675039,-0.020733904265302944,0.0003541072832553005,4,4,4,5
K200,WEIGHTED_MOM_R1M_GE_M10,NORMAL_2023_2024,60,10,-0.004024358643335446,-0.0038866697838381703,-0.02473973637656189,0.00020910442753124814,4,4,4,5
