universe,period,variant,n_dates,avg_eligible_retention,median_eligible_retention,filtered_top20_valid_rate,avg_top20_overlap_when_valid,avg_names_replaced_when_valid,median_names_replaced_when_valid
K200,BULL_2025,WEIGHTED_MOM_R1M_GE_M10,242,0.9023849378250408,0.9289340101522843,1.0,19.694214876033058,0.30578512396694213,0.0
K200,BULL_2025,WEIGHTED_MOM_R1M_GE_M5,242,0.7657870631144476,0.8020304568527918,1.0,19.293388429752067,0.7066115702479339,0.0
K200,BULL_2025,WEIGHTED_MOM_R1M_GE_P0,242,0.5614313398355617,0.5623381332228323,0.987603305785124,18.581589958158997,1.4184100418410042,1.0
K200,BULL_2025,WEIGHTED_MOM_R1M_GE_P10,242,0.23405878144759484,0.20356365896612452,0.8305785123966942,16.577114427860696,3.4228855721393034,3.0
K200,BULL_2025,WEIGHTED_MOM_R1M_GE_P5,242,0.37038056135168024,0.3435071998342484,0.9586776859504132,17.530172413793103,2.4698275862068964,2.0
K200,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_M10,733,0.8799039922308804,0.9267015706806283,0.9972714870395635,19.93160054719562,0.06839945280437756,0.0
K200,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_M5,733,0.7150969613927755,0.7643979057591623,0.9972714870395635,19.70451436388509,0.2954856361149111,0.0
K200,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_P0,733,0.4682904785642827,0.47368421052631576,0.9795361527967258,18.95682451253482,1.043175487465181,0.0
K200,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_P10,733,0.11796771653371509,0.10106382978723404,0.48840381991814463,15.85195530726257,4.148044692737431,4.0
K200,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_P5,733,0.25127049569429244,0.24083769633507854,0.8512960436562074,17.559294871794872,2.440705128205128,2.0
K200,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_M10,742,0.8449008324800706,0.911914733676976,0.9905660377358491,19.487074829931974,0.5129251700680272,0.0
K200,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_M5,742,0.6900837517077129,0.7407407407407407,0.9824797843665768,18.938271604938272,1.0617283950617284,0.0
K200,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_P0,742,0.47567365324716604,0.4639175257731959,0.9501347708894878,18.130496453900708,1.8695035460992908,1.0
K200,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_P10,742,0.169890810111541,0.1276595744680851,0.5727762803234502,16.743529411764705,3.256470588235294,3.0
K200,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_P5,742,0.28795215921344025,0.24064171122994651,0.8221024258760108,17.134426229508197,2.865573770491803,2.0
K200,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_M10,489,0.862402120543958,0.8928571428571429,1.0,19.75869120654397,0.24130879345603273,0.0
K200,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_M5,489,0.6984893811442263,0.7106598984771574,1.0,19.43558282208589,0.5644171779141104,0.0
K200,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_P0,489,0.46660823275889773,0.4467005076142132,1.0,18.63803680981595,1.361963190184049,1.0
K200,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_P10,489,0.1421119233938596,0.12244897959183673,0.6625766871165644,16.151234567901234,3.8487654320987654,4.0
K200,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_P5,489,0.2620933104908244,0.23979591836734693,0.9447852760736196,17.428571428571427,2.5714285714285716,2.0
K200,YTD_2026,WEIGHTED_MOM_R1M_GE_M10,147,0.7352123428936062,0.7437185929648241,1.0,18.517006802721088,1.4829931972789117,0.0
K200,YTD_2026,WEIGHTED_MOM_R1M_GE_M5,147,0.5986691514329701,0.5778894472361809,1.0,17.972789115646258,2.0272108843537415,1.0
K200,YTD_2026,WEIGHTED_MOM_R1M_GE_P0,147,0.4526735926592351,0.35678391959798994,0.9659863945578231,17.37323943661972,2.6267605633802815,1.0
K200,YTD_2026,WEIGHTED_MOM_R1M_GE_P10,147,0.2390964304101422,0.16080402010050251,0.7414965986394558,17.220183486238533,2.779816513761468,2.0
K200,YTD_2026,WEIGHTED_MOM_R1M_GE_P5,147,0.33114828592215534,0.24623115577889448,0.8843537414965986,17.115384615384617,2.8846153846153846,2.0
KOSDAQ,BULL_2025,WEIGHTED_MOM_R1M_GE_M10,242,0.850055820286286,0.8782169552464756,1.0,19.50413223140496,0.49586776859504134,0.0
KOSDAQ,BULL_2025,WEIGHTED_MOM_R1M_GE_M5,242,0.7240462154023793,0.7426272003858211,1.0,19.144628099173552,0.8553719008264463,0.0
KOSDAQ,BULL_2025,WEIGHTED_MOM_R1M_GE_P0,242,0.5642304417529664,0.5584539994841753,1.0,18.677685950413224,1.322314049586777,1.0
KOSDAQ,BULL_2025,WEIGHTED_MOM_R1M_GE_P10,242,0.2911217025162919,0.2818942133815552,1.0,17.516528925619834,2.4834710743801653,2.0
KOSDAQ,BULL_2025,WEIGHTED_MOM_R1M_GE_P5,242,0.40208809561137754,0.39343772412144395,1.0,18.206611570247933,1.7933884297520661,1.0
KOSDAQ,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_M10,733,0.8315526649941246,0.883248730964467,0.9972714870395635,19.285909712722297,0.7140902872777017,0.0
KOSDAQ,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_M5,733,0.6908468064087233,0.7272727272727273,0.9945429740791268,18.8079561042524,1.1920438957475994,1.0
KOSDAQ,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_P0,733,0.5169256272783227,0.5211267605633803,0.9822646657571623,18.09027777777778,1.9097222222222223,1.0
KOSDAQ,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_P10,733,0.2285523250420997,0.20833333333333334,0.8035470668485676,16.551782682512734,3.4482173174872663,3.0
KOSDAQ,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_P5,733,0.3482391291777831,0.33505154639175255,0.9454297407912687,17.215007215007216,2.784992784992785,2.0
KOSDAQ,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_M10,742,0.8059665960872558,0.8661790277789794,0.9919137466307277,18.974184782608695,1.0258152173913044,1.0
KOSDAQ,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_M5,742,0.6712974605936933,0.7025559795521636,0.9905660377358491,18.477551020408164,1.5224489795918368,1.0
KOSDAQ,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_P0,742,0.5080702834775052,0.5020109142558122,0.9851752021563343,17.80437756497948,2.19562243502052,2.0
KOSDAQ,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_P10,742,0.24445070754237042,0.21007160260553925,0.9231805929919138,16.497810218978103,3.502189781021898,3.0
KOSDAQ,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_P5,742,0.35214469595535314,0.3268955596486688,0.9703504043126685,17.07638888888889,2.923611111111111,2.0
KOSDAQ,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_M10,489,0.7953277483729906,0.8290322580645161,1.0,19.012269938650306,0.9877300613496932,0.0
KOSDAQ,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_M5,489,0.6505048469160045,0.6614785992217899,1.0,18.50920245398773,1.49079754601227,1.0
KOSDAQ,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_P0,489,0.47886296799597267,0.470404984423676,0.9979550102249489,17.883196721311474,2.1168032786885247,1.0
KOSDAQ,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_P10,489,0.22639079144317809,0.2217741935483871,0.9406952965235174,16.684782608695652,3.3152173913043477,3.0
KOSDAQ,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_P5,489,0.3279138901654824,0.32075471698113206,0.9979550102249489,17.1577868852459,2.8422131147540983,2.0
KOSDAQ,YTD_2026,WEIGHTED_MOM_R1M_GE_M10,147,0.6525276971798342,0.6898395721925134,1.0,17.86394557823129,2.1360544217687076,1.0
KOSDAQ,YTD_2026,WEIGHTED_MOM_R1M_GE_M5,147,0.5507943094624842,0.5510204081632653,1.0,17.35374149659864,2.6462585034013606,2.0
KOSDAQ,YTD_2026,WEIGHTED_MOM_R1M_GE_P0,147,0.44714283357666096,0.4144385026737968,1.0,16.789115646258505,3.2108843537414966,2.0
KOSDAQ,YTD_2026,WEIGHTED_MOM_R1M_GE_P10,147,0.2751674761650932,0.22332506203473945,0.9183673469387755,16.266666666666666,3.7333333333333334,3.0
KOSDAQ,YTD_2026,WEIGHTED_MOM_R1M_GE_P5,147,0.34584038324639177,0.30097087378640774,0.9523809523809523,16.542857142857144,3.4571428571428573,3.0
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,WEIGHTED_MOM_R1M_GE_M10,242,0.8701245817351654,0.8971697145085483,1.0,19.636363636363637,0.36363636363636365,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,WEIGHTED_MOM_R1M_GE_M5,242,0.7449853612322185,0.7649187124112676,1.0,19.388429752066116,0.6115702479338843,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,WEIGHTED_MOM_R1M_GE_P0,242,0.5637942229474774,0.5639082597241594,1.0,19.02892561983471,0.9710743801652892,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,WEIGHTED_MOM_R1M_GE_P10,242,0.26126908613405014,0.24998699634479074,1.0,18.10330578512397,1.896694214876033,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,BULL_2025,WEIGHTED_MOM_R1M_GE_P5,242,0.38052676693676907,0.3711665372670807,1.0,18.64876033057851,1.3512396694214877,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_M10,733,0.8505048050731311,0.8986928104575164,0.9972714870395635,19.388508891928865,0.6114911080711354,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_M5,733,0.7071978874088206,0.7428571428571429,0.9972714870395635,18.90013679890561,1.0998632010943912,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_P0,733,0.5031361868436556,0.509090909090909,0.990450204638472,18.263085399449036,1.7369146005509641,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_P10,733,0.19532028488450828,0.17766497461928935,0.9249658935879945,16.51769911504425,3.482300884955752,3.0
KOSDAQ_PLUS_KOSPI_EX_K200,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_P5,733,0.3143576800935118,0.29874213836477986,0.9768076398362893,17.410614525139664,2.589385474860335,2.0
