date,sample,horizon,universe,strategy,gross,turnover
2016-02-01,EARLY_2016_2019,5,KOSDAQ,VETO_LOW20,-0.04793254131521729,1.0
2016-02-01,EARLY_2016_2019,5,KOSDAQ,VETO_LOW30,-0.04652329595031879,1.0
2016-02-01,EARLY_2016_2019,5,KOSDAQ,VETO_TOP1_LOW05,-0.04783564013336388,1.0
2016-02-01,EARLY_2016_2019,5,KOSDAQ,VETO_TOP1_LOW10,-0.04783564013336388,1.0
2016-02-01,EARLY_2016_2019,5,KOSDAQ,VETO_TOP1_LOW20,-0.04793254131521729,1.0
2016-02-01,EARLY_2016_2019,5,KOSDAQ,VETO_TOP1_LOW30,-0.04652329595031879,1.0
2016-02-01,EARLY_2016_2019,5,KOSDAQ,VETO_TOP1_ONLY,-0.04783564013336388,1.0
2016-02-01,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,-0.04772173857538439,0.25
2016-02-01,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,VETO_LOW05,-0.048064000909600224,1.0
2016-02-01,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,VETO_LOW10,-0.04798240935922874,1.0
2016-02-01,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,VETO_LOW20,-0.04807406102810765,1.0
2016-02-01,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,VETO_LOW30,-0.04569932756310983,1.0
2016-02-01,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,VETO_TOP1_LOW05,-0.048064000909600224,1.0
2016-02-01,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,VETO_TOP1_LOW10,-0.04798240935922874,1.0
2016-02-01,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,VETO_TOP1_LOW20,-0.04807406102810765,1.0
2016-02-01,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,VETO_TOP1_LOW30,-0.04569932756310983,1.0
2016-02-01,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,VETO_TOP1_ONLY,-0.048064000909600224,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_ALL,CF20,-0.0384632713687269,0.19374999999999998
2016-02-01,EARLY_2016_2019,5,KOSPI_ALL,VETO_LOW05,-0.03882852097416826,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_ALL,VETO_LOW10,-0.03969749987664223,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_ALL,VETO_LOW20,-0.03904186597721943,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_ALL,VETO_LOW30,-0.03734506031106238,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_ALL,VETO_TOP1_LOW05,-0.03920643934606654,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_ALL,VETO_TOP1_LOW10,-0.0400245983938739,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_ALL,VETO_TOP1_LOW20,-0.03936896449445111,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_ALL,VETO_TOP1_LOW30,-0.037367111359471086,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_ALL,VETO_TOP1_ONLY,-0.038841189740625184,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_EX_K200,CF20,-0.038169902569859075,0.1875
2016-02-01,EARLY_2016_2019,5,KOSPI_EX_K200,VETO_LOW05,-0.038169902569859075,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_EX_K200,VETO_LOW10,-0.03772755744585198,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_EX_K200,VETO_LOW20,-0.03825415796545018,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_EX_K200,VETO_LOW30,-0.03736311250722468,1.0
