weight,universe,horizon,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60
0.05,K200,10,BULL_2025,25,0.0010918607104786618,0.000750000000000004,0.0010918607104786618,0.001089610710478662,0.0010873607104786617
0.05,K200,10,EARLY_2016_2019,98,3.5076897363175034e-05,-0.0002551020408163262,3.5076897363175034e-05,3.5842203485623974e-05,3.660750960807298e-05
0.05,K200,10,LATE_2020_2022,75,8.413881382932924e-05,-0.00033333333333333435,8.413881382932924e-05,8.51388138293292e-05,8.613881382932923e-05
0.05,K200,10,NORMAL_2023_2024,48,0.0002000957718627329,-0.0005208333333333292,0.0002000957718627329,0.00020165827186273294,0.00020322077186273285
0.05,K200,10,YTD_2026,13,-0.0005544401906714397,0.004326923076923072,-0.0005544401906714397,-0.000567420959902209,-0.0005804017291329782
0.05,KOSDAQ,10,BULL_2025,25,5.579228921957238e-05,0.007000000000000002,5.579228921957238e-05,3.479228921957244e-05,1.3792289219572429e-05
0.05,KOSDAQ,10,EARLY_2016_2019,98,2.8986866521523765e-05,0.00025510204081632504,2.8986866521523765e-05,2.8221560399074804e-05,2.7456254276625823e-05
0.05,KOSDAQ,10,LATE_2020_2022,75,0.0001982368695120045,0.002333333333333335,0.0001982368695120045,0.00019123686951200437,0.00018423686951200434
0.05,KOSDAQ,10,NORMAL_2023_2024,48,-0.0005013386263403203,0.004687499999999995,-0.0005013386263403203,-0.0005154011263403202,-0.0005294636263403202
0.05,KOSDAQ,10,YTD_2026,13,0.0003729376146801268,0.007211538461538465,0.0003729376146801268,0.00035130299929551136,0.000329668383910896
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,25,0.0011122899923474436,0.003500000000000001,0.0011122899923474436,0.0011017899923474437,0.0010912899923474436
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,98,0.00046167348500795335,0.0034438775510204065,0.00046167348500795335,0.00045134185235489203,0.0004410102197018308
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,75,0.0006886972520466822,0.007499999999999994,0.0006886972520466822,0.0006661972520466822,0.0006436972520466823
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,48,-0.00021848820022301303,0.008854166666666661,-0.00021848820022301303,-0.000245050700223013,-0.0002716132002230129
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,13,0.0010214294945606489,0.01442307692307693,0.0010214294945606489,0.000978160263791418,0.0009348910330221871
0.05,KOSPI_ALL,10,BULL_2025,25,0.0004092950578798419,-0.0012500000000000022,0.0004092950578798419,0.00041304505787984183,0.0004167950578798419
0.05,KOSPI_ALL,10,EARLY_2016_2019,98,0.0001324784951862004,0.0014030612244897954,0.0001324784951862004,0.00012826931151273103,0.0001240601278392617
0.05,KOSPI_ALL,10,LATE_2020_2022,75,0.00015073171549327024,0.002500000000000003,0.00015073171549327024,0.00014323171549327027,0.00013573171549327034
0.05,KOSPI_ALL,10,NORMAL_2023_2024,48,0.00016049165563087326,0.004947916666666663,0.00016049165563087326,0.0001456479056308733,0.00013080415563087328
0.05,KOSPI_ALL,10,YTD_2026,13,0.00047178332443339837,0.007211538461538465,0.00047178332443339837,0.00045014870904878294,0.0004285140936641676
0.05,KOSPI_EX_K200,10,BULL_2025,25,0.0005950146169354454,0.0005000000000000071,0.0005950146169354454,0.0005935146169354454,0.0005920146169354454
0.05,KOSPI_EX_K200,10,EARLY_2016_2019,98,5.771323658591424e-05,-1.699320956058913e-18,5.771323658591424e-05,5.771323658591423e-05,5.771323658591423e-05
0.05,KOSPI_EX_K200,10,LATE_2020_2022,75,-1.0562112299264172e-06,0.0022499999999999985,-1.0562112299264172e-06,-7.806211229926443e-06,-1.4556211229926399e-05
0.05,KOSPI_EX_K200,10,NORMAL_2023_2024,48,-0.00012502243605554437,0.003124999999999997,-0.00012502243605554437,-0.00013439743605554437,-0.00014377243605554434
0.05,KOSPI_EX_K200,10,YTD_2026,13,6.973127725056662e-05,0.0014423076923076807,6.973127725056662e-05,6.540435417364354e-05,6.107743109672063e-05
0.05,KOSPI_KOSDAQ_ALL,10,BULL_2025,25,0.0018179785601855909,0.0067500000000000095,0.0018179785601855909,0.0017977285601855908,0.0017774785601855907
0.05,KOSPI_KOSDAQ_ALL,10,EARLY_2016_2019,98,0.000581946431761163,0.0037627551020408194,0.000581946431761163,0.0005706581664550407,0.0005593699011489181
0.05,KOSPI_KOSDAQ_ALL,10,LATE_2020_2022,75,0.000581787178866368,0.01608333333333334,0.000581787178866368,0.000533537178866368,0.00048528717886636816
0.05,KOSPI_KOSDAQ_ALL,10,NORMAL_2023_2024,48,-8.936350404886056e-05,0.012890624999999998,-8.936350404886056e-05,-0.0001280353790488606,-0.00016670725404886047
0.05,KOSPI_KOSDAQ_ALL,10,YTD_2026,13,0.004598102305162535,0.01346153846153846,0.004598102305162535,0.004557717689777919,0.004517333074393303
0.1,K200,5,BULL_2025,49,0.0005817663229524557,0.0030612244897959243,0.0005817663229524557,0.0005725826494830679,0.0005633989760136801
0.1,K200,5,EARLY_2016_2019,196,-2.0271362049971247e-05,0.0014030612244897924,-2.0271362049971247e-05,-2.4480545723440598e-05,-2.8689729396909983e-05
0.1,K200,5,LATE_2020_2022,149,1.901585431803985e-05,0.0019714765100671138,1.901585431803985e-05,1.3101424787838514e-05,7.186995257637172e-06
0.1,K200,5,NORMAL_2023_2024,97,0.00042878509386372934,0.0036082474226804117,0.00042878509386372934,0.0004179603515956882,0.00040713560932764686
0.1,K200,5,YTD_2026,28,0.0003037424521256695,0.007142857142857136,0.0003037424521256695,0.00028231388069709806,0.0002608853092685267
0.1,K200,10,BULL_2025,25,0.0015201532476403728,0.00600000000000001,0.0015201532476403728,0.0015021532476403726,0.0014841532476403728
0.1,K200,10,EARLY_2016_2019,98,-7.113230735123353e-05,6.377551020407687e-05,-7.113230735123353e-05,-7.132363388184573e-05,-7.151496041245798e-05
0.1,K200,10,LATE_2020_2022,75,0.00018139344116015028,0.0030000000000000027,0.00018139344116015028,0.0001723934411601502,0.0001633934411601502
0.1,K200,10,NORMAL_2023_2024,48,0.0007648182326326745,0.0018229166666666695,0.0007648182326326745,0.0007593494826326746,0.0007538807326326746
0.1,K200,10,YTD_2026,13,9.448710510650971e-05,0.007692307692307697,9.448710510650971e-05,7.141018202958663e-05,4.8333258952663565e-05
0.1,K200,20,BULL_2025,12,0.0019567582883363278,0.00572916666666667,0.0019567582883363278,0.0019395707883363277,0.0019223832883363276
0.1,K200,20,EARLY_2016_2019,49,-0.0001949968277242392,0.0029336734693877504,-0.0001949968277242392,-0.00020379784813240247,-0.00021259886854056573
0.1,K200,20,LATE_2020_2022,38,0.0011716275648505122,0.00032894736842104124,0.0011716275648505122,0.0011706407227452488,0.001169653880639986
0.1,K200,20,NORMAL_2023_2024,24,-0.0005615149029714969,-0.0013020833333333356,-0.0005615149029714969,-0.0005576086529714968,-0.000553702402971497
0.1,K200,20,YTD_2026,6,-0.00010971258013993343,0.0,-0.00010971258013993343,-0.00010971258013993358,-0.00010971258013993373
0.1,KOSDAQ,5,BULL_2025,49,0.00022400338931900148,0.01147959183673469,0.00022400338931900148,0.00018956461380879744,0.00015512583829859335
0.1,KOSDAQ,5,EARLY_2016_2019,196,0.00028811086025030735,0.001371173469387757,0.00028811086025030735,0.00028399733984214414,0.0002798838194339809
0.1,KOSDAQ,5,LATE_2020_2022,149,0.000427619256067026,0.0075083892617449684,0.000427619256067026,0.00040509408828179105,0.0003825689204965561
0.1,KOSDAQ,5,NORMAL_2023_2024,97,-0.00013772776790902568,0.008956185567010309,-0.00013772776790902568,-0.00016459632461005662,-0.00019146488131108753
0.1,KOSDAQ,5,YTD_2026,28,0.00031774452425304317,0.014508928571428565,0.00031774452425304317,0.0002742177385387574,0.0002306909528244718
0.1,KOSDAQ,10,BULL_2025,25,0.0007730054201284331,0.01600000000000001,0.0007730054201284331,0.0007250054201284332,0.0006770054201284329
0.1,KOSDAQ,10,EARLY_2016_2019,98,0.0002207097793570748,0.0015306122448979578,0.0002207097793570748,0.000216117942622381,0.0002115261058876871
0.1,KOSDAQ,10,LATE_2020_2022,75,0.0003715720839258239,0.010166666666666662,0.0003715720839258239,0.0003410720839258239,0.00031057208392582403
0.1,KOSDAQ,10,NORMAL_2023_2024,48,-0.00026046616243891816,0.011979166666666666,-0.00026046616243891816,-0.0002964036624389181,-0.0003323411624389181
