weight,universe,horizon,sample,family,n_dates,gross_delta
0.05,KOSDAQ,10,EARLY_2016_2019,REVISION,98,0.0002423204405388554
0.05,KOSDAQ,10,EARLY_2016_2019,VALUE,98,0.0002381873493305232
0.05,KOSDAQ,10,LATE_2020_2022,FLOW,75,-0.00015911205718380965
0.05,KOSDAQ,10,LATE_2020_2022,MOMENTUM,75,0.00030325389147817147
0.05,KOSDAQ,10,LATE_2020_2022,REVISION,75,0.0002961400128753152
0.05,KOSDAQ,10,LATE_2020_2022,VALUE,75,0.0003526656308783393
0.05,KOSDAQ,10,NORMAL_2023_2024,FLOW,48,-0.0018975956461555416
0.05,KOSDAQ,10,NORMAL_2023_2024,MOMENTUM,48,-0.0003889600415707083
0.05,KOSDAQ,10,NORMAL_2023_2024,REVISION,48,0.00019394979077384618
0.05,KOSDAQ,10,NORMAL_2023_2024,VALUE,48,8.725139159111946e-05
0.05,KOSDAQ,10,YTD_2026,FLOW,13,-0.0030962408734478077
0.05,KOSDAQ,10,YTD_2026,MOMENTUM,13,0.0034058366683021825
0.05,KOSDAQ,10,YTD_2026,REVISION,13,0.0009210122812557434
0.05,KOSDAQ,10,YTD_2026,VALUE,13,0.0002611423826103917
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,FLOW,25,0.00016222545549907596
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,MOMENTUM,25,0.004708194929882137
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,REVISION,25,-0.0010006354287917993
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,VALUE,25,0.0005793750128003654
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,FLOW,98,0.00013923425135971884
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,MOMENTUM,98,0.001472053883297632
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,REVISION,98,-0.00015241845599151048
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,VALUE,98,0.0003878242613659726
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,FLOW,75,0.0006318878696518276
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,MOMENTUM,75,0.0010419829270210774
